season,cccaa_season,IP,H,R,ER,BB,K,HR,ERA,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2012,2011-12,14114.34,14574.0,8388.0,6412.0,5665.0,9333.0,310.0,4.088607756366929,1.4339317318415172,9.293101909122212,0.19767130450307985,3.612283677451443,5.951181564281433,1.6474845542806709,5.348602910231722
2013,2012-13,5886.006,6450.0,3916.0,3009.0,2338.0,3715.0,122.0,4.600912741169479,1.4930327967725483,9.862375267711245,0.18654415235050728,3.574919903241689,5.680422344115857,1.5889649272882806,5.987761480365463
2014,2013-14,6705.99,7147.0,4379.0,3335.0,2745.0,4206.0,174.0,4.475849203473313,1.475099127794703,9.59187234099663,0.23352256713773806,3.684019809155695,5.644804122881185,1.53224043715847,5.87698460629974
2015,2014-15,5963.653,6518.0,3730.0,2906.0,2467.0,3718.0,110.0,4.385567034165133,1.5066268946231445,9.836588413175615,0.1660056344659892,3.723053638432685,5.610990444950436,1.5070936359951357,5.629100150528544
2016,2015-16,6020.009,6770.0,4059.0,3144.0,2540.0,3917.0,213.0,4.70032519884937,1.54650931584986,10.12124732703888,0.3184380621357875,3.79733651560986,5.855971311670796,1.5421259842519686,6.068263353094655
2017,2016-17,7686.671,8475.0,5529.0,4302.0,3538.0,5411.0,327.0,5.037030985195021,1.562835198748587,9.923021292312367,0.3828705560573621,4.142495496424916,6.335512473475188,1.5293951384963256,6.473673713887325
2018,2017-18,8708.989,10039.0,6526.0,5234.0,4035.0,6215.0,433.0,5.408894189670007,1.6160314360254675,10.374453337809934,0.4474687015909654,4.169829586419274,6.422674319602424,1.540272614622057,6.744066389336351
2019,2018-19,8990.98,9966.0,6927.0,5438.0,4558.0,6690.0,455.0,5.443455552120014,1.6153967643126779,9.975998167051868,0.4554564685940799,4.562572711762233,6.696711593174493,1.4677490127248793,6.933949358134487
2020,2019-20,3519.658,4032.0,2910.0,2277.0,1835.0,2825.0,177.0,5.82244070304558,1.666923320390788,10.310092628317864,0.4526007924633587,4.6922172551992265,7.223713213045131,1.5395095367847411,7.441063876092507
2021,2020-21,2372.329,3009.0,2398.0,1916.0,1365.0,1981.0,196.0,7.268806308062667,1.843757758725708,11.415364395073363,0.7435730878811497,5.178455433458007,7.515399423941619,1.4512820512820512,9.097389105811207
2022,2021-22,8079.662,9741.0,6856.0,5597.0,3949.0,6441.0,549.0,6.234542979644446,1.6943778093687583,10.850577660303117,0.6115354825486512,4.398822624015708,7.174681317114503,1.6310458343884529,7.63695312997004
2023,2022-23,246.002,241.0,183.0,150.0,152.0,200.0,10.0,5.487760262111689,1.5975479874147365,8.817001487792782,0.3658506841407793,5.560930398939846,7.317013682815587,1.3157894736842106,6.695067519776261
