season,cccaa_season,IP,H,R,ER,BB,K,HR,ERA,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2012,2011-12,14114.34,14574.0,8388.0,6412.0,5665.0,9333.0,310.0,4.089,1.434,9.293,0.198,3.612,5.951,1.647,5.349
2013,2012-13,5886.006,6450.0,3916.0,3009.0,2338.0,3715.0,122.0,4.601,1.493,9.862,0.187,3.575,5.68,1.589,5.988
2014,2013-14,6705.99,7147.0,4379.0,3335.0,2745.0,4206.0,174.0,4.476,1.475,9.592,0.234,3.684,5.645,1.532,5.877
2015,2014-15,5963.653,6518.0,3730.0,2906.0,2467.0,3718.0,110.0,4.386,1.507,9.837,0.166,3.723,5.611,1.507,5.629
2016,2015-16,6020.009,6770.0,4059.0,3144.0,2540.0,3917.0,213.0,4.7,1.547,10.121,0.318,3.797,5.856,1.542,6.068
2017,2016-17,7686.671,8475.0,5529.0,4302.0,3538.0,5411.0,327.0,5.037,1.563,9.923,0.383,4.142,6.336,1.529,6.474
2018,2017-18,8708.989,10039.0,6526.0,5234.0,4035.0,6215.0,433.0,5.409,1.616,10.374,0.447,4.17,6.423,1.54,6.744
2019,2018-19,8990.98,9966.0,6927.0,5438.0,4558.0,6690.0,455.0,5.443,1.615,9.976,0.455,4.563,6.697,1.468,6.934
2020,2019-20,3519.658,4032.0,2910.0,2277.0,1835.0,2825.0,177.0,5.822,1.667,10.31,0.453,4.692,7.224,1.54,7.441
2021,2020-21,2372.329,3009.0,2398.0,1916.0,1365.0,1981.0,196.0,7.269,1.844,11.415,0.744,5.178,7.515,1.451,9.097
2022,2021-22,8079.662,9741.0,6856.0,5597.0,3949.0,6441.0,549.0,6.235,1.694,10.851,0.612,4.399,7.175,1.631,7.637
2023,2022-23,5321.986,6378.0,4901.0,4083.0,3017.0,4249.0,376.0,6.905,1.765,10.786,0.636,5.102,7.185,1.408,8.288
