season,cccaa_season,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,2017-18,Allan Hancock,allanhancock,brendangomezkus1,Brendan Gomez,29,120,107,22.0,36.0,6.0,4.0,1.0,16.0,7.0,3.0,10.0,20.0,53,2.0,1.0,0.0,11,3.0,27.0,24.0,1.125,0.336,0.4,0.598,0.998,121.0,0.407,0.447,0.008,0.167,0.083,0.084,0.5
2018,2017-18,Allan Hancock,allanhancock,briandowello9cf,Brian Dowell,18,51,41,5.0,9.0,2.0,0.0,1.0,8.0,0.0,1.0,7.0,14.0,14,1.0,0.0,2.0,3,2.0,8.0,11.0,0.727,0.22,0.333,0.415,0.748,90.0,0.286,0.25,0.02,0.275,0.137,0.138,0.5
2018,2017-18,Allan Hancock,allanhancock,chadjoneseob8,Chad Jones,38,174,138,24.0,42.0,10.0,0.0,0.0,21.0,5.0,3.0,21.0,18.0,52,8.0,7.0,0.0,10,1.0,50.0,34.0,1.471,0.304,0.408,0.449,0.857,104.0,0.35,0.338,0.0,0.103,0.121,-0.018,1.167
2018,2017-18,Allan Hancock,allanhancock,cordellbowieiltq,Cordell Bowie,40,171,139,22.0,46.0,10.0,0.0,1.0,28.0,4.0,1.0,27.0,33.0,59,4.0,0.0,1.0,11,3.0,22.0,33.0,0.667,0.331,0.45,0.504,0.954,115.0,0.425,0.276,0.006,0.193,0.158,0.035,0.818
2018,2017-18,Allan Hancock,allanhancock,danielcuriel8ah5,Daniel Curiel,35,163,133,26.0,44.0,6.0,0.0,3.0,30.0,10.0,1.0,15.0,24.0,59,4.0,6.0,5.0,9,4.0,33.0,41.0,0.805,0.331,0.387,0.511,0.898,108.0,0.369,0.383,0.018,0.147,0.092,0.055,0.625
2018,2017-18,Allan Hancock,allanhancock,davydemeter3xiw,Davy Demeter,17,21,13,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3,2.0,4.0,0.0,1,0.0,8.0,3.0,2.667,0.154,0.286,0.308,0.594,72.0,0.182,0.667,0.0,0.095,0.095,0.0,1.0
2018,2017-18,Allan Hancock,allanhancock,diegomartinezszn6,Diego Martinez,8,11,7,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2,0.0,0.0,0.0,1,0.0,2.0,4.0,0.5,0.143,0.455,0.429,0.884,107.0,0.143,0.4,0.0,0.0,0.364,-0.364,
2018,2017-18,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden,29,78,61,17.0,20.0,2.0,1.0,0.0,8.0,6.0,1.0,7.0,10.0,24,6.0,3.0,1.0,3,1.0,13.0,20.0,0.65,0.328,0.423,0.443,0.866,105.0,0.385,0.515,0.0,0.128,0.09,0.038,0.7
2018,2017-18,Allan Hancock,allanhancock,ismaelhernandezw8ru,Ismael Hernandez,36,115,105,19.0,34.0,3.0,0.0,1.0,14.0,0.0,0.0,6.0,23.0,40,2.0,1.0,1.0,4,5.0,29.0,20.0,1.45,0.324,0.365,0.419,0.784,95.0,0.402,0.439,0.009,0.2,0.052,0.148,0.261
2018,2017-18,Allan Hancock,allanhancock,jacobcamarenaavfs,Jacob Camarena,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0,1.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.333,0.0,0.333,0.0
