season,cccaa_season,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,2022-23,American River,americanriver,marcusbabautax8q9,Marcus Babauta,15,48,47,4.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,7,0.0,0.0,0.0,0,0.0,12.0,5.0,2.4,0.149,0.167,0.149,0.316,37.0,0.269,0.5,0.0,0.438,0.021,0.417,0.048
2023,2022-23,American River,americanriver,rylondruck1qvy,Rylon Druck,15,55,49,8.0,14.0,4.0,1.0,0.0,8.0,3.0,0.0,4.0,15.0,20,1.0,1.0,0.0,5,1.0,8.0,12.0,0.667,0.286,0.345,0.51,0.855,100.0,0.412,0.421,0.0,0.273,0.073,0.2,0.267
2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore,9,3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0,0.0,1.0,0.0,,0.333,0.333,0.333,0.666,78.0,0.5,0.0,0.0,0.333,0.0,0.333,0.0
2023,2022-23,American River,americanriver,willietatumw47i,Willie Tatum,16,62,52,9.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,8.0,17.0,9,1.0,1.0,0.0,2,0.0,14.0,12.0,1.167,0.115,0.242,0.212,0.454,53.0,0.171,0.6,0.0,0.274,0.129,0.145,0.471
2023,2022-23,American River,americanriver,wyattbahlkeb5t6,Wyatt Bahlke,13,41,39,5.0,11.0,4.0,0.0,1.0,7.0,0.0,0.0,2.0,17.0,18,0.0,0.0,0.0,5,0.0,8.0,3.0,2.667,0.282,0.317,0.59,0.907,106.0,0.476,0.333,0.024,0.415,0.049,0.366,0.118
2023,2022-23,Antelope Valley,antelopevalley,aidanjbarae8qh,Aidan Jbara,13,51,43,14.0,19.0,3.0,2.0,2.0,13.0,0.0,1.0,8.0,14.0,32,0.0,0.0,0.0,7,0.0,1.0,7.0,0.143,0.442,0.529,0.907,1.436,169.0,0.63,0.48,0.039,0.275,0.157,0.118,0.571
2023,2022-23,Antelope Valley,antelopevalley,chisumdemmersxqp5,Chisum Demmers,6,8,8,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3,0.0,0.0,0.0,1,0.0,0.0,2.0,0.0,0.25,0.25,0.5,0.75,88.0,0.5,2.0,0.0,0.5,0.0,0.5,0.0
2023,2022-23,Antelope Valley,antelopevalley,chucklangaixb,Chuck Lang,4,4,4,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.25,0.25,1.0,1.25,147.0,0.333,1.0,0.0,0.25,0.0,0.25,0.0
2023,2022-23,Antelope Valley,antelopevalley,danielmunozo79q,Daniel Munoz,11,45,36,6.0,10.0,3.0,0.0,0.0,9.0,0.0,0.0,4.0,7.0,13,2.0,2.0,1.0,3,1.0,5.0,13.0,0.385,0.278,0.356,0.444,0.8,94.0,0.333,0.375,0.0,0.156,0.089,0.067,0.571
2023,2022-23,Antelope Valley,antelopevalley,gabeperkins17my,Gabe Perkins,7,9,7,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,0.0,0.0,0.0,0,0.0,2.0,0.0,,0.286,0.444,0.286,0.73,86.0,0.4,1.0,0.0,0.222,0.222,0.0,1.0
2023,2022-23,Antelope Valley,antelopevalley,hunterloganmjj9,Hunter Logan,10,19,16,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,2,0.0,1.0,0.0,0,1.0,6.0,4.0,1.5,0.125,0.211,0.125,0.336,39.0,0.182,0.5,0.0,0.263,0.105,0.158,0.4
2023,2022-23,Antelope Valley,antelopevalley,jackrogersigv2,Jack Rogers,15,71,56,17.0,13.0,1.0,2.0,2.0,10.0,2.0,0.0,13.0,17.0,24,2.0,0.0,0.0,5,0.0,10.0,11.0,0.909,0.232,0.394,0.518,0.912,107.0,0.297,0.577,0.028,0.239,0.183,0.056,0.765
2023,2022-23,Antelope Valley,antelopevalley,jacktaylor6lue,Jack Taylor,10,35,28,3.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,3.0,5.0,9,0.0,0.0,4.0,1,1.0,6.0,12.0,0.5,0.286,0.314,0.357,0.671,79.0,0.296,0.273,0.0,0.143,0.086,0.057,0.6
2023,2022-23,Antelope Valley,antelopevalley,jasonzhang7wgu,Jason Zhang,15,44,33,11.0,10.0,3.0,1.0,0.0,7.0,1.0,0.0,9.0,5.0,15,1.0,0.0,1.0,4,0.0,7.0,10.0,0.7,0.303,0.455,0.576,1.031,121.0,0.345,0.55,0.0,0.114,0.205,-0.091,1.8
2023,2022-23,Antelope Valley,antelopevalley,jimmywilliamsnaf0,Jimmy Williams,3,2,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,0.5,0.5,1.0,117.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0
2023,2022-23,Antelope Valley,antelopevalley,joeuribet4sk,Joe Uribe,11,37,33,5.0,11.0,3.0,0.0,0.0,6.0,1.0,0.0,4.0,8.0,14,0.0,0.0,0.0,3,1.0,4.0,8.0,0.5,0.333,0.405,0.515,0.92,108.0,0.44,0.333,0.0,0.216,0.108,0.108,0.5
2023,2022-23,Antelope Valley,antelopevalley,joshnunopgw7,Josh Nuno,11,49,38,14.0,15.0,3.0,2.0,0.0,9.0,2.0,0.0,5.0,9.0,22,5.0,0.0,1.0,5,1.0,6.0,7.0,0.857,0.395,0.51,0.711,1.221,143.0,0.5,0.56,0.0,0.184,0.102,0.082,0.556
2023,2022-23,Antelope Valley,antelopevalley,keetonbellcjnq,Keeton Bell,12,49,38,14.0,16.0,3.0,1.0,0.0,6.0,7.0,1.0,10.0,5.0,21,1.0,0.0,0.0,4,1.0,8.0,8.0,1.0,0.421,0.551,0.658,1.209,142.0,0.485,0.519,0.0,0.102,0.204,-0.102,2.0
2023,2022-23,Antelope Valley,antelopevalley,keonmosenild5d,Keon Moseni,16,63,48,14.0,22.0,3.0,1.0,0.0,15.0,2.0,0.0,4.0,4.0,27,11.0,0.0,0.0,4,1.0,12.0,8.0,1.5,0.458,0.587,0.646,1.233,145.0,0.5,0.378,0.0,0.063,0.063,0.0,1.0
2023,2022-23,Antelope Valley,antelopevalley,masonjohnson2xsn,Mason Johnson,14,55,48,12.0,12.0,3.0,1.0,2.0,8.0,1.0,0.0,6.0,9.0,23,1.0,0.0,0.0,6,1.0,14.0,12.0,1.167,0.25,0.345,0.604,0.949,111.0,0.27,0.588,0.036,0.164,0.109,0.055,0.667
2023,2022-23,Antelope Valley,antelopevalley,nickhagendv3k,Nick Hagen,13,43,34,13.0,14.0,5.0,0.0,1.0,11.0,0.0,1.0,6.0,8.0,22,3.0,0.0,0.0,6,0.0,6.0,5.0,1.2,0.412,0.535,0.824,1.359,160.0,0.52,0.545,0.023,0.186,0.14,0.046,0.75
2023,2022-23,Antelope Valley,antelopevalley,shealewismdio,Shea Lewis,8,11,10,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,5,0.0,0.0,0.0,1,0.0,1.0,5.0,0.2,0.2,0.273,0.6,0.873,102.0,0.143,0.0,0.091,0.182,0.091,0.091,0.5
2023,2022-23,Antelope Valley,antelopevalley,treythomas1161,Trey Thomas,16,75,63,13.0,22.0,6.0,1.0,1.0,17.0,1.0,0.0,9.0,14.0,33,1.0,0.0,2.0,8,1.0,9.0,19.0,0.474,0.349,0.427,0.651,1.078,127.0,0.42,0.387,0.013,0.187,0.12,0.067,0.643
2023,2022-23,Antelope Valley,antelopevalley,willjosephffsm,Will Joseph,6,17,14,3.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,6,0.0,0.0,0.0,2,2.0,5.0,1.0,5.0,0.286,0.412,0.571,0.983,115.0,0.364,0.429,0.0,0.176,0.176,0.0,1.0
2023,2022-23,Antelope Valley,antelopevalley,zachterrylsru,Zach Terry,14,54,44,13.0,13.0,3.0,1.0,1.0,14.0,3.0,0.0,8.0,15.0,21,1.0,0.0,1.0,5,0.0,6.0,9.0,0.667,0.295,0.407,0.591,0.998,117.0,0.414,0.571,0.019,0.278,0.148,0.13,0.533
2023,2022-23,Bakersfield,bakersfield,alekmartinezb5zh,Alek Martinez,17,79,65,11.0,20.0,5.0,1.0,0.0,16.0,3.0,0.0,9.0,15.0,27,1.0,1.0,3.0,6,2.0,13.0,19.0,0.684,0.308,0.38,0.508,0.888,104.0,0.377,0.367,0.0,0.19,0.114,0.076,0.6
2023,2022-23,Bakersfield,bakersfield,andrewtownsont2dk,Andrew Townson,18,87,73,10.0,20.0,5.0,0.0,0.0,10.0,4.0,2.0,10.0,23.0,25,2.0,1.0,1.0,5,1.0,11.0,20.0,0.55,0.274,0.368,0.411,0.779,91.0,0.392,0.312,0.0,0.264,0.115,0.149,0.435
