season,cccaa_season,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2019,2018-19,Allan Hancock,allanhancock,cameronhiraharag5jx,Cameron Hirahara,21,67,58,5.0,12.0,4.0,0.0,0.0,5.0,0.0,1.0,8.0,23.0,16,0.0,1.0,0.0,4,0.0,12.0,11.0,1.091,0.207,0.299,0.345,0.644,78.0,0.343,0.25,0.0,0.343,0.119,0.224,0.348
2019,2018-19,Allan Hancock,allanhancock,christanieicc,Chris Tani,29,85,68,12.0,18.0,1.0,0.0,2.0,10.0,7.0,1.0,11.0,6.0,25,2.0,3.0,1.0,3,1.0,35.0,8.0,4.375,0.265,0.365,0.412,0.777,94.0,0.262,0.345,0.024,0.071,0.129,-0.058,1.833
2019,2018-19,Allan Hancock,allanhancock,daveydemeterkrwx,Davey Demeter,20,50,46,2.0,7.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,6.0,8,0.0,1.0,0.0,1,1.0,20.0,12.0,1.667,0.152,0.2,0.196,0.396,48.0,0.175,0.2,0.0,0.12,0.06,0.06,0.5
2019,2018-19,Allan Hancock,allanhancock,dylankelleyfvqm,Dylan Kelley,18,8,8,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,1,1.0,3.0,3.0,1.0,0.125,0.125,0.375,0.5,61.0,0.143,0.0,0.0,0.125,0.0,0.125,0.0
2019,2018-19,Allan Hancock,allanhancock,elijahdigginsok83,Elijah Diggins,7,10,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1.0,0.0,0.0,0,0.0,2.0,4.0,0.5,0.0,0.1,0.0,0.1,12.0,0.0,1.0,0.0,0.3,0.0,0.3,0.0
2019,2018-19,Allan Hancock,allanhancock,evankling9msi,Evan Kling,29,81,72,8.0,18.0,4.0,0.0,2.0,7.0,0.0,1.0,9.0,19.0,28,0.0,0.0,0.0,6,3.0,17.0,14.0,1.214,0.25,0.333,0.472,0.805,98.0,0.314,0.24,0.025,0.235,0.111,0.124,0.474
2019,2018-19,Allan Hancock,allanhancock,ismaelhernandezu8oy,Ismael Hernandez,38,155,132,22.0,39.0,8.0,1.0,0.0,24.0,2.0,2.0,15.0,30.0,49,3.0,4.0,1.0,9,3.0,33.0,26.0,1.269,0.295,0.368,0.439,0.807,98.0,0.379,0.386,0.0,0.194,0.097,0.097,0.5
2019,2018-19,Allan Hancock,allanhancock,jakeshusterichl1kj,Jake Shusterich,34,121,94,19.0,24.0,9.0,0.0,4.0,17.0,2.0,1.0,20.0,26.0,45,6.0,0.0,1.0,13,3.0,15.0,29.0,0.517,0.255,0.413,0.617,1.03,125.0,0.308,0.326,0.033,0.215,0.165,0.05,0.769
2019,2018-19,Allan Hancock,allanhancock,jeffraymou0,Jeff Ray,36,160,141,31.0,37.0,12.0,2.0,2.0,13.0,7.0,2.0,14.0,20.0,59,3.0,1.0,1.0,16,5.0,33.0,47.0,0.702,0.262,0.338,0.532,0.87,106.0,0.292,0.558,0.012,0.125,0.088,0.037,0.7
2019,2018-19,Allan Hancock,allanhancock,josephboivintt1x,Joseph Boivin,16,24,19,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,2,0.0,1.0,0.0,0,0.0,8.0,4.0,2.0,0.105,0.25,0.105,0.355,43.0,0.143,0.667,0.0,0.208,0.167,0.041,0.8
2019,2018-19,Allan Hancock,allanhancock,mikemcleanficx,Mike McLean,34,129,104,14.0,29.0,4.0,0.0,1.0,14.0,8.0,5.0,20.0,36.0,36,2.0,1.0,2.0,5,0.0,14.0,21.0,0.667,0.279,0.395,0.394,0.789,96.0,0.406,0.26,0.008,0.279,0.155,0.124,0.556
2019,2018-19,Allan Hancock,allanhancock,nathanalcantarl7lf,Nathan Alcantar,12,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,1.0,,,,,0.5,0.0,0.0,0.5,-0.5,
2019,2018-19,Allan Hancock,allanhancock,reedodlandsnig,Reed Odland,36,164,127,24.0,34.0,8.0,0.0,5.0,22.0,1.0,2.0,22.0,30.0,57,14.0,0.0,1.0,13,3.0,31.0,29.0,1.069,0.268,0.427,0.551,0.978,119.0,0.312,0.292,0.03,0.183,0.134,0.049,0.733
2019,2018-19,Allan Hancock,allanhancock,romanmartinezkxl7,Roman Martinez,4,6,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,61.0,0.0,0.333,0.0,0.333,0.5,-0.167,1.5
2019,2018-19,Allan Hancock,allanhancock,ryanpearceuwxi,Ryan Pearce,29,94,75,13.0,14.0,6.0,0.0,0.0,9.0,2.0,0.0,9.0,23.0,20,4.0,3.0,3.0,6,3.0,25.0,14.0,1.786,0.187,0.287,0.347,0.634,77.0,0.255,0.481,0.0,0.245,0.096,0.149,0.391
2019,2018-19,Allan Hancock,allanhancock,slimlopezzxnq,Slim Lopez,29,37,32,2.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,16.0,6,1.0,2.0,1.0,1,0.0,5.0,8.0,0.625,0.156,0.189,0.219,0.408,50.0,0.294,0.286,0.0,0.432,0.027,0.405,0.062
2019,2018-19,Allan Hancock,allanhancock,traviswelkert4qn,Travis Welker,29,117,107,20.0,30.0,12.0,0.0,0.0,13.0,3.0,0.0,5.0,9.0,42,2.0,3.0,0.0,12,1.0,25.0,42.0,0.595,0.28,0.316,0.505,0.821,100.0,0.306,0.541,0.0,0.077,0.043,0.034,0.556
2019,2018-19,Allan Hancock,allanhancock,trevorgarciamtf5,Trevor Garcia,36,92,81,9.0,20.0,3.0,0.0,0.0,7.0,0.0,0.0,11.0,32.0,23,0.0,0.0,0.0,3,3.0,14.0,13.0,1.077,0.247,0.337,0.321,0.658,80.0,0.408,0.29,0.0,0.348,0.12,0.228,0.344
2019,2018-19,Allan Hancock,allanhancock,tristengutierrezpfi0,Tristen Gutierrez,20,54,50,5.0,12.0,1.0,0.0,0.0,7.0,1.0,0.0,3.0,6.0,13,0.0,0.0,1.0,1,1.0,12.0,20.0,0.6,0.24,0.278,0.28,0.558,68.0,0.267,0.333,0.0,0.111,0.056,0.055,0.5
