No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
21,Luke Reinert,OF/LHP,So,https://www.cccaasports.org/sports/bsb/2017-18/players/lukereinertwubh,lukereinertwubh,Mt. San Jacinto,2017-18,mtsanjacinto,2018
22,Joseph Wall,OF,So,https://www.cccaasports.org/sports/bsb/2017-18/players/josephwall5emh,josephwall5emh,Mt. San Jacinto,2017-18,mtsanjacinto,2018
32,Shane Mittleman,INF,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/shanemittlemandccj,shanemittlemandccj,Mt. San Jacinto,2017-18,mtsanjacinto,2018
19,Rigo Cano,1B,So,https://www.cccaasports.org/sports/bsb/2017-18/players/rigocanohujk,rigocanohujk,Mt. San Jacinto,2017-18,mtsanjacinto,2018
23,John Peukert,UTIL,So,https://www.cccaasports.org/sports/bsb/2017-18/players/johnpeukert17jh,johnpeukert17jh,Mt. San Jacinto,2017-18,mtsanjacinto,2018
25,Trevor Castillo,1B/3B,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/trevorcastillo4r43,trevorcastillo4r43,Mt. San Jacinto,2017-18,mtsanjacinto,2018
1,Trae Erikson,3B/RHP,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/traeeriksonwqcd,traeeriksonwqcd,Mt. San Jacinto,2017-18,mtsanjacinto,2018
10,Jordan Santa Cruz,Of,So,https://www.cccaasports.org/sports/bsb/2017-18/players/jordansantacruzfjas,jordansantacruzfjas,Mt. San Jacinto,2017-18,mtsanjacinto,2018
9,Brian Wolford,INF,So,https://www.cccaasports.org/sports/bsb/2017-18/players/brianwolfordollb,brianwolfordollb,Mt. San Jacinto,2017-18,mtsanjacinto,2018
4,Abraham Rascon,OF,So,https://www.cccaasports.org/sports/bsb/2017-18/players/abrahamrascont2fv,abrahamrascont2fv,Mt. San Jacinto,2017-18,mtsanjacinto,2018
5,Nick DeLaRosa,UTIL,So,https://www.cccaasports.org/sports/bsb/2017-18/players/nickdelarosao884,nickdelarosao884,Mt. San Jacinto,2017-18,mtsanjacinto,2018
11,Steve Silvas,RHP/INF,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/stevesilvasskhb,stevesilvasskhb,Mt. San Jacinto,2017-18,mtsanjacinto,2018
12,John Mendoza,SS,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/johnmendozafija,johnmendozafija,Mt. San Jacinto,2017-18,mtsanjacinto,2018
27,Jacob Boney,1B/RHP,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/jacobboneyth9b,jacobboneyth9b,Mt. San Jacinto,2017-18,mtsanjacinto,2018
16,Ian Byers,3B,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/ianbyerss4sy,ianbyerss4sy,Mt. San Jacinto,2017-18,mtsanjacinto,2018
8,Rafael Segovia,C,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/rafaelsegoviagxrw,rafaelsegoviagxrw,Mt. San Jacinto,2017-18,mtsanjacinto,2018
31,Robert Doerr,C/1B,Fr,https://www.cccaasports.org/sports/bsb/2017-18/players/robertdoerrriah,robertdoerrriah,Mt. San Jacinto,2017-18,mtsanjacinto,2018
6,Michael Alonzo,C,So,https://www.cccaasports.org/sports/bsb/2017-18/players/michaelalonzocu8x,michaelalonzocu8x,Mt. San Jacinto,2017-18,mtsanjacinto,2018
20,Shane Sanders,RHP,So,https://www.cccaasports.org/sports/bsb/2017-18/players/shanesanders9yh9,shanesanders9yh9,Mt. San Jacinto,2017-18,mtsanjacinto,2018
