No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
10,Marcus Steen,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/marcussteen3dy8,marcussteen3dy8,Napa Valley,2021-22,napavalley,2022
19,Chris Blyskal,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/chrisblyskal13ml,chrisblyskal13ml,Napa Valley,2021-22,napavalley,2022
31,Andrew (AJ) McMahon,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/andrewajmcmahon6ybk,andrewajmcmahon6ybk,Napa Valley,2021-22,napavalley,2022
3,Tyler Crudo,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/tylercrudoi2na,tylercrudoi2na,Napa Valley,2021-22,napavalley,2022
16,Wyatt Dorman,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/wyattdormang84k,wyattdormang84k,Napa Valley,2021-22,napavalley,2022
7,Caleb Jeske,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/calebjeske0d4w,calebjeske0d4w,Napa Valley,2021-22,napavalley,2022
4,Tyler Toland,,SO,https://www.cccaasports.org/sports/bsb/2021-22/players/tylertolandwjiz,tylertolandwjiz,Napa Valley,2021-22,napavalley,2022
9,Angel Cota,2B,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/angelcota320d,angelcota320d,Napa Valley,2021-22,napavalley,2022
26,John Adkins,,SO,https://www.cccaasports.org/sports/bsb/2021-22/players/johnadkins27fp,johnadkins27fp,Napa Valley,2021-22,napavalley,2022
2,Eric Thomas Jr.,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/ericthomasjr1ghn,ericthomasjr1ghn,Napa Valley,2021-22,napavalley,2022
1,DJ Pautin,IF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/djpautinsygh,djpautinsygh,Napa Valley,2021-22,napavalley,2022
12,Alec Nunes,,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/alecnunes1i8t,alecnunes1i8t,Napa Valley,2021-22,napavalley,2022
24,Bronson Wyman,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/bronsonwymannzut,bronsonwymannzut,Napa Valley,2021-22,napavalley,2022
28,Michael Reagan,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/michaelreaganxe3f,michaelreaganxe3f,Napa Valley,2021-22,napavalley,2022
17,Calvin Snider,OF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/calvinsnidereoh3,calvinsnidereoh3,Napa Valley,2021-22,napavalley,2022
5,Derrick Robinson Jr.,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/derrickrobinsonjrlqi2,derrickrobinsonjrlqi2,Napa Valley,2021-22,napavalley,2022
13,Dylan Minton,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/dylanmintonkjz4,dylanmintonkjz4,Napa Valley,2021-22,napavalley,2022
6,Forrest Kistner,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/forrestkistnerdktu,forrestkistnerdktu,Napa Valley,2021-22,napavalley,2022
21,Owen Schnaible,,Fr,https://www.cccaasports.org/sports/bsb/2021-22/players/owenschnaiblepajq,owenschnaiblepajq,Napa Valley,2021-22,napavalley,2022
