No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
3,Ryan McSwain,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/ryanmcswainumcm,ryanmcswainumcm,Skyline,2016-17,skyline,2017
6,Kyle Barret,INF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/kylebarretfqbs,kylebarretfqbs,Skyline,2016-17,skyline,2017
32,Felix Aberouette,C,So,https://www.cccaasports.org/sports/bsb/2016-17/players/felixaberouetteiuys,felixaberouetteiuys,Skyline,2016-17,skyline,2017
15,Aaron Albaum,INF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/aaronalbaumjmx6,aaronalbaumjmx6,Skyline,2016-17,skyline,2017
13,Ramon Enriquez,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/ramonenriquezcax1,ramonenriquezcax1,Skyline,2016-17,skyline,2017
9,Chet Silveria,INF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/chetsilveriabpj3,chetsilveriabpj3,Skyline,2016-17,skyline,2017
10,Brennan Carey,INF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/brennancareypx08,brennancareypx08,Skyline,2016-17,skyline,2017
20,Kaimana Bartolome,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/kaimanabartolomekq73,kaimanabartolomekq73,Skyline,2016-17,skyline,2017
18,Cole March,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/colemarchvutf,colemarchvutf,Skyline,2016-17,skyline,2017
17,Joey Pledger,OF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/joeypledgerf489,joeypledgerf489,Skyline,2016-17,skyline,2017
2,Harley Torres,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/harleytorressmk8,harleytorressmk8,Skyline,2016-17,skyline,2017
34,Cole Watts,P,So,https://www.cccaasports.org/sports/bsb/2016-17/players/colewattsnz8j,colewattsnz8j,Skyline,2016-17,skyline,2017
25,Melvin Brown,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/melvinbrowno3yh,melvinbrowno3yh,Skyline,2016-17,skyline,2017
31,Mitchel Swanson,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/mitchelswansong9z1,mitchelswansong9z1,Skyline,2016-17,skyline,2017
11,Nick Healey,OF,So,https://www.cccaasports.org/sports/bsb/2016-17/players/nickhealey4mfo,nickhealey4mfo,Skyline,2016-17,skyline,2017
26,Andrew Kennedy,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/andrewkennedy5w5w,andrewkennedy5w5w,Skyline,2016-17,skyline,2017
44,jack Kelly,INF,Fr,https://www.cccaasports.org/sports/bsb/2016-17/players/jackkellye1m4,jackkellye1m4,Skyline,2016-17,skyline,2017
21,Richard Boe,P,So,https://www.cccaasports.org/sports/bsb/2016-17/players/richardboe0g3j,richardboe0g3j,Skyline,2016-17,skyline,2017
