No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
5,Chaz Meadows,INF/RHP,So,https://www.cccaasports.org/sports/bsb/2013-14/players/chazmeadowsqhld,chazmeadowsqhld,Los Medanos,2013-14,losmedanos,2014
15,Ryan Lacey,INF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/ryanlaceya6s2,ryanlaceya6s2,Los Medanos,2013-14,losmedanos,2014
10,Matt Jacobson,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/mattjacobsondamy,mattjacobsondamy,Los Medanos,2013-14,losmedanos,2014
6,Ryan Welsh,INF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/ryanwelshbywd,ryanwelshbywd,Los Medanos,2013-14,losmedanos,2014
22,Wyatt Foreman,C/RHP,So,https://www.cccaasports.org/sports/bsb/2013-14/players/wyattforeman6gec,wyattforeman6gec,Los Medanos,2013-14,losmedanos,2014
21,Steven Otaguro,INF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/stevenotaguroogsi,stevenotaguroogsi,Los Medanos,2013-14,losmedanos,2014
11,Will George,OF/INF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/willgeorget9jh,willgeorget9jh,Los Medanos,2013-14,losmedanos,2014
24,Jerome Hill,OF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/jeromehillzija,jeromehillzija,Los Medanos,2013-14,losmedanos,2014
4,Hunter Stone,OF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/hunterstone0315,hunterstone0315,Los Medanos,2013-14,losmedanos,2014
17,Ben Polansky,RHP/Utl,So,https://www.cccaasports.org/sports/bsb/2013-14/players/benpolanskyhroo,benpolanskyhroo,Los Medanos,2013-14,losmedanos,2014
3,Leonard Aue,OF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/leonardaueeh20,leonardaueeh20,Los Medanos,2013-14,losmedanos,2014
13,Eric Sickles,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/ericsicklespys1,ericsicklespys1,Los Medanos,2013-14,losmedanos,2014
7,Jose Arebalo,OF,So,https://www.cccaasports.org/sports/bsb/2013-14/players/josearebalohjol,josearebalohjol,Los Medanos,2013-14,losmedanos,2014
8,Derek Slate,INF/OF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/derekslateby93,derekslateby93,Los Medanos,2013-14,losmedanos,2014
12,Johnny Bloom,1B,So,https://www.cccaasports.org/sports/bsb/2013-14/players/johnnybloomsf52,johnnybloomsf52,Los Medanos,2013-14,losmedanos,2014
18,Joey Lingenfelter,C,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/joeylingenfelterefht,joeylingenfelterefht,Los Medanos,2013-14,losmedanos,2014
28,Cameron Darling,OF,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/camerondarling7zzf,camerondarling7zzf,Los Medanos,2013-14,losmedanos,2014
2,Matt Shingler,,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/mattshinglerg8gz,mattshinglerg8gz,Los Medanos,2013-14,losmedanos,2014
36,Steven Zermeno,C,Fr,https://www.cccaasports.org/sports/bsb/2013-14/players/stevenzermenogvza,stevenzermenogvza,Los Medanos,2013-14,losmedanos,2014
