No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
5,Jake Lorenzini,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/jakelorenzinigsxo,jakelorenzinigsxo,West Hills Coalinga,2015-16,westhillscoalinga,2016
33,Evan Walter,1B,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/evanwalterou6b,evanwalterou6b,West Hills Coalinga,2015-16,westhillscoalinga,2016
13,Alante Uribe,1B,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/alanteuribehgn5,alanteuribehgn5,West Hills Coalinga,2015-16,westhillscoalinga,2016
17,Scotty Ingle,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/scottyingleunth,scottyingleunth,West Hills Coalinga,2015-16,westhillscoalinga,2016
2,Adrian Flores,,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/adrianfloresrpwf,adrianfloresrpwf,West Hills Coalinga,2015-16,westhillscoalinga,2016
6,Andrew Bladt,,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/andrewbladtiydg,andrewbladtiydg,West Hills Coalinga,2015-16,westhillscoalinga,2016
25,Mckay Glines,,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/mckayglinesx76p,mckayglinesx76p,West Hills Coalinga,2015-16,westhillscoalinga,2016
30,Torin Miller,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/torinmillervkdx,torinmillervkdx,West Hills Coalinga,2015-16,westhillscoalinga,2016
4,Matt Siedem,C,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/mattsiedemnwtg,mattsiedemnwtg,West Hills Coalinga,2015-16,westhillscoalinga,2016
24,Preston Riley,OF,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/prestonrileyj9sc,prestonrileyj9sc,West Hills Coalinga,2015-16,westhillscoalinga,2016
18,Brandon Barker,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/brandonbarkerri9r,brandonbarkerri9r,West Hills Coalinga,2015-16,westhillscoalinga,2016
28,Jacob Evangelo,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/jacobevangelom8pi,jacobevangelom8pi,West Hills Coalinga,2015-16,westhillscoalinga,2016
1,Christian Dent,,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/christiandentxrby,christiandentxrby,West Hills Coalinga,2015-16,westhillscoalinga,2016
20,Skylar Frantz,C,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/skylarfrantzbqq3,skylarfrantzbqq3,West Hills Coalinga,2015-16,westhillscoalinga,2016
36,Cristian Arredondo,OF,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/cristianarredondovrjg,cristianarredondovrjg,West Hills Coalinga,2015-16,westhillscoalinga,2016
7,Austin Trinidad,,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/austintrinidadm8ql,austintrinidadm8ql,West Hills Coalinga,2015-16,westhillscoalinga,2016
23,Juan Garcia,C,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/juangarcia09al,juangarcia09al,West Hills Coalinga,2015-16,westhillscoalinga,2016
44,Torrey Patterson,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/torreypattersonhhe3,torreypattersonhhe3,West Hills Coalinga,2015-16,westhillscoalinga,2016
3,Jake Sharpe,,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/jakesharpeuwcl,jakesharpeuwcl,West Hills Coalinga,2015-16,westhillscoalinga,2016
16,Nate Olvera,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/nateolveraxadi,nateolveraxadi,West Hills Coalinga,2015-16,westhillscoalinga,2016
10,Jacob Duncil,,FR,https://www.cccaasports.org/sports/bsb/2015-16/players/jacobduncilayxg,jacobduncilayxg,West Hills Coalinga,2015-16,westhillscoalinga,2016
15,Mack Morford,,SO,https://www.cccaasports.org/sports/bsb/2015-16/players/mackmorford2mp5,mackmorford2mp5,West Hills Coalinga,2015-16,westhillscoalinga,2016
