No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
8,Austin Coleman,INF,So,https://www.cccaasports.org/sports/bsb/2014-15/players/austincolemansxyp,austincolemansxyp,Shasta,2014-15,shasta,2015
14,Kodiak O'Ravez,OF,So,https://www.cccaasports.org/sports/bsb/2014-15/players/kodiakoravezq327,kodiakoravezq327,Shasta,2014-15,shasta,2015
24,Zack Trueblood,C,So,https://www.cccaasports.org/sports/bsb/2014-15/players/zacktruebloodvp2j,zacktruebloodvp2j,Shasta,2014-15,shasta,2015
10,Kody Corbell,INF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/kodycorbell8j6l,kodycorbell8j6l,Shasta,2014-15,shasta,2015
35,Jake Mekeel,INF,So,https://www.cccaasports.org/sports/bsb/2014-15/players/jakemekeel2095,jakemekeel2095,Shasta,2014-15,shasta,2015
26,Avery Foltz,OF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/averyfoltzlmp2,averyfoltzlmp2,Shasta,2014-15,shasta,2015
9,Carson Parks,INF,So,https://www.cccaasports.org/sports/bsb/2014-15/players/carsonparks0kn8,carsonparks0kn8,Shasta,2014-15,shasta,2015
5,Zach Cahill,C,So,https://www.cccaasports.org/sports/bsb/2014-15/players/zachcahillv0ag,zachcahillv0ag,Shasta,2014-15,shasta,2015
17,JD Sadowski,OF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/jdsadowskin4a0,jdsadowskin4a0,Shasta,2014-15,shasta,2015
4,Luke Kelly,INF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/lukekellyfgmh,lukekellyfgmh,Shasta,2014-15,shasta,2015
7,Tucker Wilson,OF,So,https://www.cccaasports.org/sports/bsb/2014-15/players/tuckerwilsonqqyv,tuckerwilsonqqyv,Shasta,2014-15,shasta,2015
3,Taylor Angley-Holman,INF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/taylorangleyholmanoqdj,taylorangleyholmanoqdj,Shasta,2014-15,shasta,2015
2,Luke Corriea,INF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/lukecorriea4pfe,lukecorriea4pfe,Shasta,2014-15,shasta,2015
23,Mason Mekeel,INF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/masonmekeelxamc,masonmekeelxamc,Shasta,2014-15,shasta,2015
1,Jordan Wade,OF,So,https://www.cccaasports.org/sports/bsb/2014-15/players/jordanwade9ueo,jordanwade9ueo,Shasta,2014-15,shasta,2015
31,Matt Barrett,OF,Fr,https://www.cccaasports.org/sports/bsb/2014-15/players/mattbarrettlyax,mattbarrettlyax,Shasta,2014-15,shasta,2015
