No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
2,Bryson McArn,IF,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/brysonmcarnpgqk,brysonmcarnpgqk,Cosumnes River,2020-21,cosumnesriver,2021
6,Nathan Ade,IF,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/nathanadeixsy,nathanadeixsy,Cosumnes River,2020-21,cosumnesriver,2021
8,Rudy Rodriguez,IF,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/rudyrodriguezs5x6,rudyrodriguezs5x6,Cosumnes River,2020-21,cosumnesriver,2021
25,Vinny Fong,,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/vinnyfongzw59,vinnyfongzw59,Cosumnes River,2020-21,cosumnesriver,2021
24,JD Madrigal,,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/jdmadrigal7cbw,jdmadrigal7cbw,Cosumnes River,2020-21,cosumnesriver,2021
18,Gabriel Ramirez,IF,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/gabrielramirezhi0g,gabrielramirezhi0g,Cosumnes River,2020-21,cosumnesriver,2021
4,Nick Keller,C,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/nickkellert774,nickkellert774,Cosumnes River,2020-21,cosumnesriver,2021
1,Jack Painter,IF,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/jackpainteryazo,jackpainteryazo,Cosumnes River,2020-21,cosumnesriver,2021
19,Jonathan Charboneau,P,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/jonathancharboneaukah4,jonathancharboneaukah4,Cosumnes River,2020-21,cosumnesriver,2021
7,Troy Melendez,OF,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/troymelendezq27e,troymelendezq27e,Cosumnes River,2020-21,cosumnesriver,2021
23,Ryan Dobson,OF,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/ryandobsond266,ryandobsond266,Cosumnes River,2020-21,cosumnesriver,2021
11,LaKeal Morris,P/OF,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/lakealmorrisxjz7,lakealmorrisxjz7,Cosumnes River,2020-21,cosumnesriver,2021
9,Ryan Speer,P,FR,https://www.cccaasports.org/sports/bsb/2020-21/players/ryanspeercgxq,ryanspeercgxq,Cosumnes River,2020-21,cosumnesriver,2021
28,Alejandro Barron,1B,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/alejandrobarroncnwh,alejandrobarroncnwh,Cosumnes River,2020-21,cosumnesriver,2021
14,Cole Bendle,OF,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/colebendledk74,colebendledk74,Cosumnes River,2020-21,cosumnesriver,2021
30,Robert Blachly,,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/robertblachly902d,robertblachly902d,Cosumnes River,2020-21,cosumnesriver,2021
27,Brian Freitas,P,SO,https://www.cccaasports.org/sports/bsb/2020-21/players/brianfreitaszame,brianfreitaszame,Cosumnes River,2020-21,cosumnesriver,2021
5,Joshua Kerin,,Fr,https://www.cccaasports.org/sports/bsb/2020-21/players/joshuakerinrkoh,joshuakerinrkoh,Cosumnes River,2020-21,cosumnesriver,2021
