No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_id,team_season
3,Jared Bujanda,OF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/jaredbujandahl59,jaredbujandahl59,Chaffey,2021-22,chaffey,2022
24,Cole Howarth,1B,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/colehowarthv2dn,colehowarthv2dn,Chaffey,2021-22,chaffey,2022
34,Bradley Chesterton,C,SO,https://www.cccaasports.org/sports/bsb/2021-22/players/bradleychesterton6uxj,bradleychesterton6uxj,Chaffey,2021-22,chaffey,2022
8,Steven Mara,OF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/stevenmaramxbq,stevenmaramxbq,Chaffey,2021-22,chaffey,2022
22,Ricky Mejia,IF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/rickymejiad8cr,rickymejiad8cr,Chaffey,2021-22,chaffey,2022
2,Zach Kim,UTL,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/zachkimspkm,zachkimspkm,Chaffey,2021-22,chaffey,2022
35,Emilio Garcia,IF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/emiliogarciakbl9,emiliogarciakbl9,Chaffey,2021-22,chaffey,2022
18,Alex Cummings,C,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/alexcummingseb0i,alexcummingseb0i,Chaffey,2021-22,chaffey,2022
1,Tyvon Moore,UTL,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/tyvonmoore28uh,tyvonmoore28uh,Chaffey,2021-22,chaffey,2022
28,Matthew Chavez,C,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/matthewchavez9u1b,matthewchavez9u1b,Chaffey,2021-22,chaffey,2022
26,Nate Slaman,OF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/nateslamanpzrs,nateslamanpzrs,Chaffey,2021-22,chaffey,2022
14,Marty Grisso,OF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/martygrisso8azx,martygrisso8azx,Chaffey,2021-22,chaffey,2022
12,Javier Mendez,IF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/javiermendez6edp,javiermendez6edp,Chaffey,2021-22,chaffey,2022
41,Troy Holland,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/troyholland557l,troyholland557l,Chaffey,2021-22,chaffey,2022
9,Andrew Cordero,UTL,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/andrewcorderoxcze,andrewcorderoxcze,Chaffey,2021-22,chaffey,2022
21,Clay Porter,IF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/clayporter84kq,clayporter84kq,Chaffey,2021-22,chaffey,2022
31,Brandon Link,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/brandonlinkxi2w,brandonlinkxi2w,Chaffey,2021-22,chaffey,2022
19,David Fimbres,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/davidfimbresfpkr,davidfimbresfpkr,Chaffey,2021-22,chaffey,2022
25,Adam Aguirre,OF,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/adamaguirretw2x,adamaguirretw2x,Chaffey,2021-22,chaffey,2022
7,Tyler Tilton,RHP,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/tylertiltonsy9n,tylertiltonsy9n,Chaffey,2021-22,chaffey,2022
38,Brandon Wedge,RHP,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/brandonwedgehaon,brandonwedgehaon,Chaffey,2021-22,chaffey,2022
11,Braden Hofmeyer,RHP,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/bradenhofmeyermmth,bradenhofmeyermmth,Chaffey,2021-22,chaffey,2022
33,Ricky Rodarte,,FR,https://www.cccaasports.org/sports/bsb/2021-22/players/rickyrodartecse9,rickyrodartecse9,Chaffey,2021-22,chaffey,2022
