date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 3,home,Moorpark,L,12-10,12,10,2,win,20150203_sppj,1,1,0,,,,1,1,1,,,,,,0,0,,,,,2,2015,2014-15,East Los Angeles,eastlosangeles,brandonmoralesn8n7,Brandon Morales
Feb 18,home,Victor Valley,W,11-5,11,5,6,win,20150218_jp05,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2015,2014-15,East Los Angeles,eastlosangeles,brandonmoralesn8n7,Brandon Morales
