date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Cuesta,L,12-8,12,8,4,win,20230127_vquc,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Riverside,riverside,anthonygibbons7xvz,Anthony Gibbons
Jan 28,home,Cuesta,L,12-2,12,2,10,win,20230128_dgzv,2,0,0,,,,0,,1,,,,,,0,0,,,1,,2,2023,2022-23,Riverside,riverside,anthonygibbons7xvz,Anthony Gibbons
Feb 2,home,Barstow,W,16-4,16,4,12,win,20230202_tvrm,0,0,0,,,,1,,,,,,1,,0,0,,,1,,1,2023,2022-23,Riverside,riverside,anthonygibbons7xvz,Anthony Gibbons
Feb 3,home,East Los Angeles,W,6-0,6,0,6,win,20230203_ktji,1,2,0,,,,0,1,1,,,1,,,0,0,,,,,3,2023,2022-23,Riverside,riverside,anthonygibbons7xvz,Anthony Gibbons
Feb 4,home,East Los Angeles,W,12-5,12,5,7,win,20230204_19zs,5,0,0,,,,0,,3,,,,,,0,0,,1,1,1.00,5,2023,2022-23,Riverside,riverside,anthonygibbons7xvz,Anthony Gibbons
