date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 24,home,Mission,W,9-5,9,5,4,win,20200124_coft,3,1,0,,,,1,,,,,,1,,0,0,,3,1,3.00,4,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Jan 25,home,Mission,W,4-3,4,3,1,win,20200125_2i63,1,0,0,,,,0,,,,1,,,,0,0,,1,,,1,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Jan 31,home,Modesto,L,5-4,5,4,1,win,20200131_fl3g,2,1,1,,,,0,,1,,,,,,1,0,,,,,2,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Feb 6,home,Sacramento City,L,18-3,18,3,15,win,20200206_ochg,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Feb 14,home,Cabrillo,L,10-2,10,2,8,win,20200214_gljo,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Feb 15,home,West Valley,L,6-3,6,3,3,win,20200215_2eh4,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Feb 18,home,Fresno City,L,8-4,8,4,4,win,20200218_vqi8,3,0,1,,,,0,,,,,,,,1,0,,1,,,3,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Feb 19,home,Sierra,L,11-4,11,4,7,win,20200219_s66k,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Feb 21,home,Folsom Lake,W,5-2,5,2,3,win,20200221_a4w2,2,1,1,,,,0,,1,,,,,,1,0,,,,,2,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
Mar 10,home,Los Medanos,L,5-1,5,1,4,win,20200310_oej3,3,0,0,,,,0,,2,,,,,,0,0,,1,,,3,2020,2019-20,Contra Costa,contracosta,joshfairchild37mn,Josh Fairchild
