date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 25,home,LA Harbor,W,7-6,7,6,1,win,20190125_shpa,4,0,0,,,,0,1,1,,,,,,0,0,,,2,,5,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Jan 26,home,East Los Angeles,L,13-1,13,1,12,win,20190126_ddv7,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Jan 29,home,Fullerton,W,6-4,6,4,2,win,20190129_r5sw,4,0,1,,1,,2,,2,,,1,,,3,1,,1,,,5,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 1,home,Pasadena City,W,5-2,5,2,3,win,20190201_xs8w,3,1,0,,,,0,,1,,,2,,,0,0,,,2,,5,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 6,home,East Los Angeles,W,5-3,5,3,2,win,20190206_wg5e,4,0,3,1,,,2,,,,,,1,,4,1,,,2,,5,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 7,home,Irvine Valley,L,11-6,11,6,5,win,20190207_cvk4,4,0,1,,,,1,,,,,,,,1,0,,1,2,0.50,4,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 8,home,Cerritos,L,3-2,3,2,1,win,20190208_xn8z,5,0,3,1,,,1,,1,,,,,,4,1,,2,,,5,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 12,home,Citrus,W,8-6,8,6,2,win,20190212_tgyq,4,1,1,1,,,1,,1,,,,1,,2,1,,1,2,0.50,5,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 18,home,Irvine Valley,L,7-0,7,0,7,win,20190218_zef7,4,0,0,,,,0,,,,,,,,0,0,1,2,2,1.00,4,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 20,home,Cerritos,W,11-6,11,6,5,win,20190220_u8aj,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 22,home,Riverside,L,11-6,11,6,5,win,20190222_6vri,4,1,2,,,1,2,,2,,,,,,5,1,,,,,4,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 26,home,Imperial Valley,W,12-1,12,1,11,win,20190226_nmr1,2,1,0,,,,0,1,,,,,,,0,0,,1,1,1.00,3,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Feb 28,home,Imperial Valley,W,11-3,11,3,8,win,20190228_hi61,3,1,1,1,,,1,1,1,,,1,,,2,1,,1,,,5,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Mar 1,home,Imperial Valley,W,3-1,3,1,2,win,20190301_txsb,2,0,0,,,,0,2,1,,,,,,0,0,,1,,,4,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
Mar 5,home,Southwestern,L,5-0,5,0,5,win,20190305_wr9z,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2019,,Mt. San Jacinto,mtsanjacinto,carsonmccaffertyecpu,Carson McCafferty
