date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 24,home,West LA,W,11-2,11,2,9,win,20200124_3t1p,1,0,0,,,,0,1,,,,,,,0,0,,,1,,2,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Jan 31,home,Saddleback,L,15-6,15,6,9,win,20200131_here,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Feb 7,home,San Diego City,L,1-0,1,0,1,win,20200207_jbr6,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Feb 8,home,San Diego City,L,4-1,4,1,3,win,20200208_ee8j,3,0,0,,,,0,1,1,,,,,,0,0,,1,1,1.00,4,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Feb 9,home,San Diego City,W,9-5,9,5,4,win,20200209_ljh8,4,1,1,,1,,2,1,1,,,,,,3,1,,1,1,1.00,5,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Feb 13,home,East Los Angeles,W,11-0,11,0,11,win,20200213_thum,4,1,2,,,,1,,,1,,,,,2,0,,,2,,4,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Feb 15,home,Cerro Coso,W,8-0,8,0,8,win,20200215_km9e,4,0,0,,,,0,1,,,,,,,0,0,,1,3,0.33,5,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Feb 18,home,Oxnard,L,3-1,3,1,2,win,20200218_2sfa,4,1,0,,,,0,,1,,,,,,0,0,,,1,,4,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
Mar 7,home,Ventura,W,8-3,8,3,5,win,20200307_d5m3,3,0,0,,,,0,,1,,,,,,0,0,,1,1,1.00,3,2020,,Santa Barbara,santabarbara,chaserowecjwm,Chase Rowe
