date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 28,home,Barstow,W,6-5,6,5,1,win,20160128_nifm,4,0,1,,,,2,,,,,,,,1,0,,2,1,2.00,4,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Jan 28,home,Bakersfield,L,5-3,5,3,2,win,20160128_w0pk,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Jan 29,home,Taft,L,9-4,9,4,5,win,20160129_yn2z,4,0,1,,,,0,1,,,,,,,1,0,,2,,,5,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Feb 5,home,American River,W,7-6,7,6,1,win,20160205_3pnj,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Feb 5,home,Cabrillo,W,7-6,7,6,1,win,20160205_ao16,4,0,0,,,,0,,,,,,,,0,0,,2,2,1.00,4,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Feb 6,home,Sierra,L,7-6,7,6,1,win,20160206_t8ar,1,1,1,,,,0,1,,,,,,,1,0,,,,,2,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Feb 11,home,Yuba,W,4-1,4,1,3,win,20160211_zrqt,3,0,0,,,,0,,1,,,,,,0,0,,1,1,1.00,3,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Feb 12,home,Cabrillo,L,11-7,11,7,4,win,20160212_ghez,1,0,0,,,,0,1,,,,,,,0,0,,,1,,2,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Feb 20,home,Canada,L,7-6,7,6,1,win,20160220_tr62,2,0,1,,,,1,,,,,,,,1,0,,,,,2,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Feb 27,home,Redwoods,W,9-4,9,4,5,win,20160227_q19s,2,0,0,,,,0,,,,,,,,0,0,,2,,,2,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Mar 4,home,Butte,L,7-5,7,5,2,win,20160304_lasm,2,1,1,1,,,1,,,,,,,,2,1,,,1,,2,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Mar 19,home,Shasta,W,10-0,10,0,10,win,20160319_x01u,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Mar 24,home,Siskiyous,W,12-4,12,4,8,win,20160324_uojq,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Mar 25,home,Siskiyous,W,10-0,10,0,10,win,20160325_szqn,3,1,1,,,,0,1,,1,,,,,1,0,,1,1,1.00,4,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Apr 1,home,Redwoods,W,13-2,13,2,11,win,20160401_z251,2,0,1,,,,0,,,,,,,,1,0,,,,,2,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Apr 8,home,Lassen,L,6-5,6,5,1,win,20160408_lhl5,1,0,0,,,,0,,,,,,,,0,0,1,1,,,1,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Apr 16,home,Butte,W,10-2,10,2,8,win,20160416_8kto,3,0,0,,,,0,,,,,,,,0,0,,3,,,3,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
Apr 26,home,Siskiyous,W,11-1,11,1,10,win,20160426_czwj,3,1,1,1,,,0,,1,,,,,,2,1,,,1,,3,2016,2015-16,Feather River,featherriver,colbystevens56oh,Colby Stevens
