date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 29,home,Cerro Coso,L,20-1,20,1,19,win,20220129_84lw,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2022,2021-22,Imperial Valley,imperialvalley,carlosquintana3gy1,Carlos Quintana
Feb 8,home,Mt. San Jacinto,L,21-5,21,5,16,win,20220208_mell,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,Imperial Valley,imperialvalley,carlosquintana3gy1,Carlos Quintana
Feb 12,home,Desert,L,15-1,15,1,14,win,20220212_6vl5,2,1,1,,,,0,,,,,1,,,1,0,,,1,,3,2022,2021-22,Imperial Valley,imperialvalley,carlosquintana3gy1,Carlos Quintana
