date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,American River,L,5-1,5,1,4,win,20170127_c95y,1,0,0,,,,0,2,,,,,,1,0,0,,1,1,1.00,4,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Jan 28,home,American River,L,5-2,5,2,3,win,20170128_bkvr,4,0,3,,,,1,,1,2,,,,,3,0,,,,,4,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Jan 31,home,San Joaquin Delta,L,10-1,10,1,9,win,20170131_5k8h,4,0,1,,,,0,1,1,,,,,,1,0,,1,1,1.00,5,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Feb 1,home,San Joaquin Delta,L,8-4,8,4,4,win,20170201_qdqu,3,0,0,,,,0,1,1,,,,,1,0,0,1,3,,,5,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Feb 4,home,San Joaquin Delta,L,17-0,17,0,17,win,20170204_mi51,3,0,0,,,,0,,1,,,,,1,0,0,,2,1,2.00,4,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Feb 11,home,Cabrillo,L,2-0,2,0,2,win,20170211_3wn3,4,0,0,,,,0,,2,,,,,,0,0,,2,,,4,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Feb 12,home,Yuba,L,8-6,8,6,2,win,20170212_hhf1,4,0,1,,,,0,,,,,,,,1,0,,2,1,2.00,4,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Feb 12,home,Yuba,W,7-6,7,6,1,win,20170212_skda,4,0,2,,,,1,,,,,,,,2,0,,1,1,1.00,4,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Feb 14,home,Modesto,L,8-6,8,6,2,win,20170214_br3r,3,2,0,,,,1,1,1,,,,,,0,0,,,,,4,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
Feb 18,home,Modesto,W,8-6,8,6,2,win,20170218_rl7d,5,0,0,,,,0,,1,,,,,,0,0,,2,2,1.00,5,2017,,West Valley,westvalley,calethompsonpqix,Cale Thompson
