date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 28,home,LA Harbor,W,8-3,8,3,5,win,20230128_779k,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Feb 2,home,San Diego City,L,8-3,8,3,5,win,20230202_v6ox,1,1,0,,,,0,1,1,,,,,,0,0,,,,,2,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Feb 7,home,Imperial Valley,W,18-1,18,1,17,win,20230207_760m,2,1,1,,,,0,,,,,1,,,1,0,,,1,,3,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Feb 8,home,Compton,W,14-0,14,0,14,win,20230208_q0hb,4,2,3,1,,,4,2,1,2,,,,,4,1,,,,,6,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Feb 9,home,Imperial Valley,W,7-0,7,0,7,win,20230209_wrmx,3,0,0,,,,0,,1,,,,,,0,0,,2,,,3,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Feb 14,home,Cerritos,W,17-3,17,3,14,win,20230214_fgrv,1,1,0,,,,0,,,,,,,,0,0,,,,,1,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Feb 16,home,Cerritos,L,6-0,6,0,6,win,20230216_12k1,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Feb 21,home,LA Mission,L,7-5,7,5,2,win,20230221_w7n4,1,0,0,,,,0,1,,,,,,,0,0,,1,,,2,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
Mar 4,home,Barstow,W,13-2,13,2,11,win,20230304_3q4g,5,2,3,,,,2,,2,,,,,,3,0,,,,,5,2023,2022-23,Desert,desert,jadenpickowitz9b4f,Jaden Pickowitz
