date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Apr 14,home,Reedley,L,16-2,16,2,14,win,20210414_oroe,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2021,2020-21,Cerro Coso,cerrocoso,nateparker82ue,Nate Parker
Apr 20,home,Antelope Valley,W,32-6,32,6,26,win,20210420_q9gv,2,2,1,,,,1,1,,,,,,,1,0,,,1,,3,2021,2020-21,Cerro Coso,cerrocoso,nateparker82ue,Nate Parker
Apr 20,home,Antelope Valley,W,23-5,23,5,18,win,20210420_v0py,0,0,0,,,,1,1,,,,,1,,0,0,,,1,,2,2021,2020-21,Cerro Coso,cerrocoso,nateparker82ue,Nate Parker
May 5,home,Merced,W,24-2,24,2,22,win,20210505_8q4y,0,1,0,,,,1,1,,,,,,,0,0,,,,,1,2021,2020-21,Cerro Coso,cerrocoso,nateparker82ue,Nate Parker
May 11,home,Sequoias,L,20-8,20,8,12,win,20210511_k8ha,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,Cerro Coso,cerrocoso,nateparker82ue,Nate Parker
