date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 7,home,LA Valley,L,5-4,5,4,1,win,20130207_ld1n,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2013,2012-13,LA Harbor,laharbor,shanemonreals820,Shane Monreal
Feb 19,home,Santa Barbara,L,7-4,7,4,3,win,20130219_yn86,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2013,2012-13,LA Harbor,laharbor,shanemonreals820,Shane Monreal
Feb 23,home,Irvine Valley,L,5-4,5,4,1,win,20130223_wnu2,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2013,2012-13,LA Harbor,laharbor,shanemonreals820,Shane Monreal
Mar 26,home,LA Mission,L,5-3,5,3,2,win,20130326_e18k,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2013,2012-13,LA Harbor,laharbor,shanemonreals820,Shane Monreal
