date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,San Diego City,W,13-8,13,8,5,win,20230127_4ltt,5,1,2,,1,,0,,1,,,,,,4,1,,,2,,5,2023,2022-23,Mt. San Jacinto,mtsanjacinto,christiansmith808o,Christian Smith
Jan 28,home,Antelope Valley,W,15-5,15,5,10,win,20230128_3vez,6,1,2,,,,1,,3,1,,,,,2,0,,1,,,6,2023,2022-23,Mt. San Jacinto,mtsanjacinto,christiansmith808o,Christian Smith
Feb 7,home,Irvine Valley,W,7-6,7,6,1,win,20230207_ogv1,5,2,3,,2,,0,,2,,,,,,7,2,,,,,5,2023,2022-23,Mt. San Jacinto,mtsanjacinto,christiansmith808o,Christian Smith
Feb 9,home,Irvine Valley,W,14-3,14,3,11,win,20230209_apq2,3,1,0,,,,1,,2,,,,1,,0,0,,,1,,4,2023,2022-23,Mt. San Jacinto,mtsanjacinto,christiansmith808o,Christian Smith
