date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Chabot,W,7-0,7,0,7,win,20170127_51t5,5,1,2,1,,,1,,1,,,,,,3,1,,2,,,5,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Jan 28,home,Chabot,W,4-0,4,0,4,win,20170128_jvt6,4,1,1,1,,,0,1,1,,,,,,2,1,1,1,,,5,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Jan 31,home,De Anza,L,6-1,6,1,5,win,20170131_nk2u,4,0,0,,,,0,,1,,,,,,0,0,,2,1,2.00,4,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Feb 3,home,Mendocino,W,12-4,12,4,8,win,20170203_j29a,5,0,1,,,,1,,,,,,,,1,0,,2,1,2.00,5,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Feb 3,home,Mendocino,W,7-3,7,3,4,win,20170203_aroj,3,1,1,,,,2,,,,,,,,1,0,,,,,3,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Feb 8,home,Canada,W,12-3,12,3,9,win,20170208_5hej,5,0,1,,,,0,,1,,,,,,1,0,,2,1,2.00,5,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Feb 11,home,Canada,W,11-3,11,3,8,win,20170211_u3ke,4,2,3,,,,0,,,,,,,,3,0,,,1,,4,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Feb 13,home,Laney,W,6-2,6,2,4,win,20170213_am0f,3,0,0,,,,0,1,1,,,,,,0,0,,1,1,1.00,4,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Feb 18,home,Solano,L,6-4,6,4,2,win,20170218_gx3y,4,1,1,1,,,0,,,,1,,,,2,1,,2,,,4,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
Feb 18,home,Solano,W,14-1,14,1,13,win,20170218_u08p,5,0,1,,1,,3,,,,,,,,3,1,,1,3,0.33,5,2017,2016-17,Santa Rosa,santarosa,joshlenney4gj0,Josh Lenney
