date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 3,home,Mt. San Jacinto,W,10-1,10,1,9,win,20120203_rhet,3,1,1,1,,,0,2,1,,,,,,2,1,,1,,,5,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 4,home,Mt. San Jacinto,L,3-2,3,2,1,win,20120204_dnql,3,0,0,,,,0,1,1,,,,,,0,0,,1,1,1.00,4,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 7,home,Desert,W,6-3,6,3,3,win,20120207_nvcy,4,1,2,1,,,0,,,1,,,,,3,1,,1,1,1.00,4,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 10,home,Rio Hondo,L,14-3,14,3,11,win,20120210_o55i,3,0,0,,,,0,2,1,,,,,,0,0,,1,1,1.00,5,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 11,home,Rio Hondo,L,5-3,5,3,2,win,20120211_8vi8,4,0,2,,,,0,,1,,,,,,2,0,,,1,,4,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 14,home,Santa Ana,L,11-6,11,6,5,win,20120214_6foo,5,2,2,,,,1,,1,,,,,,2,0,,,2,,5,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 17,home,Moorpark,W,7-4,7,4,3,win,20120217_yrad,4,0,0,,,,0,,2,,,,,,0,0,,,2,,4,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 18,home,Bakersfield,W,10-6,10,6,4,win,20120218_d498,2,1,1,,,,2,,1,,,,1,,1,0,,,1,,3,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 19,home,Oxnard,W,6-2,6,2,4,win,20120219_u2yd,3,0,1,,,,0,,,,,,,,1,0,,,2,,3,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 21,home,Saddleback,L,18-12,18,12,6,win,20120221_kn1a,5,1,0,,,,0,1,,,,,,,0,0,,,4,,6,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Feb 29,home,Southwestern,L,9-2,9,2,7,win,20120229_0waw,4,0,0,,,,0,,2,,,,,,0,0,,2,,,4,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Mar 8,home,Grossmont,L,11-2,11,2,9,win,20120308_lhb3,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Mar 21,home,Palomar,W,3-2,3,2,1,win,20120321_sr5x,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Mar 22,home,Palomar,W,4-1,4,1,3,win,20120322_ivw5,1,0,1,,,,1,,,,,,,,1,0,,,,,1,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Mar 24,home,Palomar,W,10-8,10,8,2,win,20120324_1jd0,3,1,1,,,,1,,1,,,,,,1,0,,1,,,3,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Mar 27,home,San Diego City,W,10-0,10,0,10,win,20120327_xqhj,5,1,1,,,,0,,1,,,,,,1,0,,1,2,0.50,5,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Mar 29,home,San Diego City,W,3-2,3,2,1,win,20120329_ogvi,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Mar 31,home,San Diego City,W,5-0,5,0,5,win,20120331_vnjz,4,0,0,,,,0,,,,,,,,0,0,1,3,1,3.00,4,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Apr 3,home,Imperial Valley,W,10-8,10,8,2,win,20120403_427g,2,1,1,,,,0,1,1,,,,,,1,0,,,,,3,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Apr 5,home,Imperial Valley,L,7-5,7,5,2,win,20120405_002n,3,0,0,,,,0,1,1,,,,,,0,0,,,1,,4,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Apr 6,home,Imperial Valley,W,4-3,4,3,1,win,20120406_j18n,2,0,0,,,,0,,1,,,,,,0,0,,1,,,2,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Apr 18,home,Grossmont,L,14-1,14,1,13,win,20120418_lpep,1,0,0,,,,0,1,,,,,,,0,0,,,1,,2,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Apr 24,home,Imperial Valley,W,14-2,14,2,12,win,20120424_qz3c,3,1,1,,,,0,,1,,,,,,1,0,,,1,,3,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
Apr 27,home,Grossmont,L,3-1,3,1,2,win,20120427_vrt2,1,0,1,1,,,1,,,,,,,,2,1,,,,,1,2012,2011-12,San Diego Mesa,sandiegomesa,connerwilsontarx,Conner Wilson
