date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 31,home,West Hills Coalinga,W,13-1,13,1,12,win,20230131_jckn,4,1,1,,,,1,,,,,1,,,1,0,,1,2,0.50,5,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Feb 2,home,Gavilan,W,11-0,11,0,11,win,20230202_lqsl,4,0,0,,,,0,,,,,,,,0,0,,3,1,3.00,4,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Feb 9,home,West Hills Coalinga,L,7-6,7,6,1,win,20230209_kd5y,2,0,1,,,,0,,,,,,,,1,0,,1,,,2,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Feb 11,home,Porterville,W,15-7,15,7,8,win,20230211_z7pi,3,3,2,1,,,1,1,,,,,,,3,1,,1,,,4,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Feb 14,home,West Valley,W,10-4,10,4,6,win,20230214_hfwf,5,1,3,2,,,1,,,,,,,,5,2,1,2,,,5,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Feb 16,home,West Valley,W,6-5,6,5,1,win,20230216_c95q,3,1,2,1,,,1,1,,,,,1,,3,1,,,2,,5,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Feb 17,home,West Valley,W,6-5,6,5,1,win,20230217_afwc,5,1,0,,,,0,,,,,,,,0,0,1,3,1,3.00,5,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Feb 22,home,Mission,L,7-6,7,6,1,win,20230222_eekp,3,0,0,,,,1,,1,,,,1,,0,0,,1,2,0.50,4,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Mar 1,home,American River,W,4-2,4,2,2,win,20230301_hynd,5,0,0,,,,0,,1,,,,,,0,0,,4,,,5,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
Mar 2,home,American River,L,13-2,13,2,11,win,20230302_gu74,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2023,2022-23,Modesto,modesto,kaiyoung10f6,Kai Young
