school_name,cccaa_season,team_id,season
Allan Hancock,2011-12,allanhancock,2012
American River,2011-12,americanriver,2012
Antelope Valley,2011-12,antelopevalley,2012
Bakersfield,2011-12,bakersfield,2012
Barstow,2011-12,barstow,2012
Butte,2011-12,butte,2012
Cabrillo,2011-12,cabrillo,2012
Canada,2011-12,canada,2012
Canyons,2011-12,canyons,2012
Cerritos,2011-12,cerritos,2012
Cerro Coso,2011-12,cerrocoso,2012
Chabot,2011-12,chabot,2012
Chaffey,2011-12,chaffey,2012
Citrus,2011-12,citrus,2012
Compton,2011-12,compton,2012
Contra Costa,2011-12,contracosta,2012
Cosumnes River,2011-12,cosumnesriver,2012
Cuesta,2011-12,cuesta,2012
Cypress,2011-12,cypress,2012
De Anza,2011-12,deanza,2012
Desert,2011-12,desert,2012
Diablo Valley,2011-12,diablovalley,2012
East Los Angeles,2011-12,eastlosangeles,2012
El Camino,2011-12,elcamino,2012
Feather River,2011-12,featherriver,2012
Fresno City,2011-12,fresno,2012
Fullerton,2011-12,fullerton,2012
Gavilan,2011-12,gavilan,2012
Glendale,2011-12,glendale,2012
Golden West,2011-12,goldenwest,2012
Grossmont,2011-12,grossmont,2012
Hartnell,2011-12,hartnell,2012
Imperial Valley,2011-12,imperialvalley,2012
Irvine Valley,2011-12,irvinevalley,2012
LA Harbor,2011-12,laharbor,2012
LA Mission,2011-12,lamission,2012
Laney,2011-12,laney,2012
LA Pierce,2011-12,lapierce,2012
Lassen,2011-12,lassen,2012
LA Valley,2011-12,lavalley,2012
Long Beach,2011-12,longbeach,2012
Los Medanos,2011-12,losmedanos,2012
Marin,2011-12,marin,2012
Mendocino,2011-12,mendocino,2012
Merced,2011-12,merced,2012
Mission,2011-12,mission,2012
Modesto,2011-12,modesto,2012
Monterey,2011-12,monterey,2012
Moorpark,2011-12,moorpark,2012
Mt. San Antonio,2011-12,mtsanantonio,2012
Mt. San Jacinto,2011-12,mtsanjacinto,2012
Napa,2011-12,napa,2012
Ohlone,2011-12,ohlone,2012
Orange Coast,2011-12,orangecoast,2012
Oxnard,2011-12,oxnard,2012
Palomar,2011-12,palomar,2012
Pasadena,2011-12,pasadena,2012
Porterville,2011-12,porterville,2012
Redwoods,2011-12,redwoods,2012
Reedley,2011-12,reedley,2012
Rio Hondo,2011-12,riohondo,2012
Riverside,2011-12,riverside,2012
Sacramento City,2011-12,sacramentocity,2012
