season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2016,2015-16,Allan Hancock,allanhancock,Apr 12,home,LA Pierce,L,6,3,20160412_u2e2,11,0,0,0,0,,2.0,0.0,0.0,,3.0,4.0
2016,2015-16,Allan Hancock,allanhancock,Apr 14,home,Oxnard,L,11,5,20160414_zk0s,10,1,0,1,0,1.0,12.0,10.0,8.0,0.8,1.0,2.0
2016,2015-16,Allan Hancock,allanhancock,Apr 16,home,Oxnard,W,7,2,20160416_chmc,11,1,1,0,0,1.0,7.0,2.0,1.0,0.5,1.0,5.0
2016,2015-16,Allan Hancock,allanhancock,Apr 2,home,Ventura,W,5,3,20160402_tila,11,1,1,0,1,0.5,8.0,3.0,1.0,0.333,2.0,5.0
2016,2015-16,Allan Hancock,allanhancock,Apr 23,home,Moorpark,W,8,3,20160423_c7ja,11,1,1,0,0,1.0,10.0,3.0,3.0,1.0,4.0,2.0
2016,2015-16,Allan Hancock,allanhancock,Apr 26,home,Moorpark,L,7,5,20160426_vyhx,10,0,0,1,0,1.0,5.0,4.0,4.0,1.0,2.0,4.0
2016,2015-16,Allan Hancock,allanhancock,Apr 28,home,Santa Barbara,L,11,0,20160428_0mqo,14,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Allan Hancock,allanhancock,Apr 29,home,Santa Barbara,W,7,3,20160429_rlvs,13,1,1,0,0,1.0,8.0,3.0,3.0,1.0,4.0,7.0
2016,2015-16,Allan Hancock,allanhancock,Apr 5,home,Cuesta,L,12,3,20160405_ulnk,16,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Allan Hancock,allanhancock,Apr 7,home,Cuesta,L,6,2,20160407_01nw,10,1,0,1,0,1.0,8.0,5.0,5.0,1.0,3.0,6.0
2016,2015-16,Allan Hancock,allanhancock,Apr 8,home,LA Pierce,W,14,5,20160408_t7ch,12,1,1,0,0,1.0,6.0,3.0,2.0,0.667,3.0,2.0
2016,2015-16,Allan Hancock,allanhancock,Feb 11,home,Canyons,L,14,5,20160211_ywec,15,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Allan Hancock,allanhancock,Feb 12,home,San Diego Mesa,L,5,4,20160212_vg61,11,1,0,0,0,,6.0,1.0,0.0,0.0,1.0,2.0
2016,2015-16,Allan Hancock,allanhancock,Feb 13,home,Rio Hondo,W,8,4,20160213_6rvv,13,0,0,0,0,,0.0,0.0,0.0,,0.0,2.0
2016,2015-16,Allan Hancock,allanhancock,Feb 18,home,Canyons,L,3,2,20160218_d89l,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
