season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2018,2017-18,Allan Hancock,allanhancock,Apr 10,home,Oxnard,W,14,9,20180410_9qql,12,0,1,0,0,1.0,4.0,3.0,2.0,0.667,0.0,4.0
2018,2017-18,Allan Hancock,allanhancock,Apr 12,home,Oxnard,L,6,2,20180412_hxyk,14,1,0,1,0,1.0,7.0,5.0,5.0,1.0,0.0,1.0
2018,2017-18,Allan Hancock,allanhancock,Apr 14,home,Moorpark,L,8,5,20180414_dlc5,11,0,0,0,0,,2.0,2.0,2.0,1.0,1.0,1.0
2018,2017-18,Allan Hancock,allanhancock,Apr 17,home,Moorpark,W,4,3,20180417_whn5,13,0,1,0,0,1.0,3.0,2.0,0.0,0.0,2.0,0.0
2018,2017-18,Allan Hancock,allanhancock,Apr 19,home,Ventura,W,8,3,20180419_5ajs,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2018,2017-18,Allan Hancock,allanhancock,Apr 2,home,Cuesta,L,9,6,20180402_72xx,13,0,0,1,0,1.0,4.0,3.0,0.0,0.0,3.0,4.0
2018,2017-18,Allan Hancock,allanhancock,Apr 21,home,Ventura,W,14,10,20180421_pdyc,13,0,1,0,0,1.0,6.0,3.0,3.0,1.0,3.0,3.0
2018,2017-18,Allan Hancock,allanhancock,Apr 24,home,Cuesta,L,12,4,20180424_ipi8,13,0,0,0,0,,4.0,3.0,3.0,1.0,0.0,0.0
2018,2017-18,Allan Hancock,allanhancock,Apr 26,home,Cuesta,L,8,2,20180426_k751,13,0,0,0,0,,1.0,0.0,0.0,,2.0,1.0
2018,2017-18,Allan Hancock,allanhancock,Apr 3,home,Cuesta,W,6,5,20180403_6qcm,11,0,0,0,1,0.0,0.0,0.0,0.0,,0.0,1.0
2018,2017-18,Allan Hancock,allanhancock,Apr 5,home,Santa Barbara,W,8,4,20180405_b27x,13,1,1,0,1,0.5,7.0,4.0,3.0,0.75,7.0,5.0
