season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2015,2014-15,Allan Hancock,allanhancock,Apr 11,home,Oxnard,W,4,3,20150411_8dke,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 14,home,West Hills Coalinga,W,6,1,20150414_63wl,14,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 18,home,Moorpark,L,7,1,20150418_kb5i,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 2,home,Cypress,L,7,4,20150402_fkxa,13,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 21,home,Moorpark,L,10,2,20150421_f7ot,14,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 23,home,Santa Barbara,L,14,0,20150423_eqgz,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 24,home,Santa Barbara,L,3,1,20150424_2lmp,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 8,home,LA Pierce,W,11,4,20150408_7y2s,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Apr 9,home,Oxnard,L,7,5,20150409_z6jy,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Feb 10,home,Bakersfield,W,6,3,20150210_1lj1,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Feb 12,home,Canyons,L,2,1,20150212_rchf,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allan Hancock,allanhancock,Feb 14,home,Ventura,W,5,1,20150214_2rav,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
