season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2023,2022-23,Allan Hancock,allanhancock,Apr 1,home,Ventura,W,8,4,20230401_1gpd,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Apr 11,home,Pasadena City,W,7,5,20230411_kb6j,13,1,0,0,0,,6.0,4.0,4.0,1.0,3.0,5.0
2023,2022-23,Allan Hancock,allanhancock,Apr 13,home,Pasadena City,W,5,4,20230413_pypu,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Apr 18,home,LA Pierce,W,20,7,20230418_tj30,15,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Apr 20,home,Moorpark,L,7,2,20230420_n5t8,10,1,0,1,0,1.0,7.0,6.0,6.0,1.0,3.0,1.0
2023,2022-23,Allan Hancock,allanhancock,Apr 22,home,Cuesta,W,13,7,20230422_f2ye,16,1,0,0,0,,4.0,6.0,5.0,0.833,1.0,2.0
2023,2022-23,Allan Hancock,allanhancock,Apr 25,home,Oxnard,W,10,4,20230425_9s8r,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Apr 27,home,Santa Barbara,W,6,5,20230427_aoib,16,1,0,0,0,,4.0,4.0,4.0,1.0,3.0,5.0
2023,2022-23,Allan Hancock,allanhancock,Apr 28,home,Ventura,L,10,7,20230428_05rd,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Apr 5,home,Cypress,W,7,6,20230405_01rq,11,1,1,0,0,1.0,7.0,4.0,3.0,0.75,4.0,3.0
2023,2022-23,Allan Hancock,allanhancock,Apr 6,home,Fresno City,W,14,7,20230406_rfu1,15,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Apr 7,home,Cerritos,W,8,2,20230407_86cn,17,0,0,0,0,,0.0,0.0,0.0,,0.0,3.0
2023,2022-23,Allan Hancock,allanhancock,Feb 10,home,Rio Hondo,L,3,1,20230210_nco5,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Feb 11,home,Canyons,L,11,5,20230211_b1qv,13,0,0,0,0,,1.0,0.0,0.0,,1.0,5.0
2023,2022-23,Allan Hancock,allanhancock,Feb 14,home,Sequoias,W,11,7,20230214_3ey5,10,1,1,0,0,1.0,7.0,3.0,1.0,0.333,1.0,3.0
2023,2022-23,Allan Hancock,allanhancock,Feb 16,home,Bakersfield,W,8,7,20230216_f74z,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Feb 18,home,Bakersfield,L,3,2,20230218_z0ou,13,1,0,0,0,,3.0,1.0,1.0,1.0,3.0,11.0
2023,2022-23,Allan Hancock,allanhancock,Feb 2,home,Rio Hondo,W,9,3,20230202_cbll,14,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Feb 21,home,LA Pierce,W,13,5,20230221_8wu5,12,1,1,0,0,1.0,8.0,4.0,4.0,1.0,4.0,7.0
2023,2022-23,Allan Hancock,allanhancock,Feb 22,home,LA Pierce,W,7,5,20230222_dsxp,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Feb 26,home,LA Pierce,W,9,0,20230226_us72,16,1,1,0,0,1.0,3.0,0.0,0.0,,1.0,14.0
2023,2022-23,Allan Hancock,allanhancock,Feb 4,home,Canyons,L,8,3,20230204_vlps,12,1,0,0,0,,4.0,0.0,0.0,,2.0,10.0
2023,2022-23,Allan Hancock,allanhancock,Feb 7,home,Long Beach,L,7,6,20230207_f3kl,10,1,0,0,0,,7.0,4.0,4.0,1.0,2.0,4.0
2023,2022-23,Allan Hancock,allanhancock,Jan 27,home,Sequoias,W,7,5,20230127_u0vd,12,0,0,0,1,0.0,0.0,0.0,0.0,,1.0,2.0
2023,2022-23,Allan Hancock,allanhancock,Jan 28,home,Sequoias,W,14,10,20230128_p3un,15,1,0,0,0,,8.0,9.0,9.0,1.0,3.0,2.0
2023,2022-23,Allan Hancock,allanhancock,Jan 31,home,Long Beach,W,9,0,20230131_89ay,18,1,1,0,0,1.0,4.0,0.0,0.0,,1.0,4.0
2023,2022-23,Allan Hancock,allanhancock,Mar 16,home,Oxnard,W,6,2,20230316_slr8,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Mar 17,home,Oxnard,W,6,5,20230317_77s9,12,1,1,0,0,1.0,12.0,5.0,5.0,1.0,0.0,2.0
2023,2022-23,Allan Hancock,allanhancock,Mar 18,home,Oxnard,W,5,1,20230318_h5j6,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Allan Hancock,allanhancock,Mar 2,home,Moorpark,W,10,3,20230302_fs6b,14,1,1,0,0,1.0,3.0,1.0,1.0,1.0,0.0,8.0
2023,2022-23,Allan Hancock,allanhancock,Mar 23,home,Santa Barbara,W,4,2,20230323_6cee,10,1,0,0,0,,0.0,0.0,0.0,,1.0,2.0
