season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2012,2011-12,Allan Hancock,allanhancock,Apr 14,home,Cuesta,W,6,5,20120414_s5eg,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 16,home,Cuesta,L,6,2,20120416_taga,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 17,home,Santa Barbara,W,4,3,20120417_4yxn,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 19,home,Santa Barbara,L,12,11,20120419_3l2s,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 21,home,Oxnard,W,6,0,20120421_ditj,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 24,home,Oxnard,L,4,1,20120424_5rbc,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 27,home,Moorpark,W,3,0,20120427_qq91,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 28,home,Moorpark,L,6,5,20120428_2n8g,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 3,home,East Los Angeles,W,11,0,20120403_3fsp,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 4,home,Cerritos,W,9,1,20120404_cexb,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Apr 5,home,Merced,L,7,4,20120405_y4h3,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 10,home,Canada,L,8,0,20120210_vr3a,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 11,home,Porterville,L,9,8,20120211_7q9r,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 14,home,Bakersfield,L,5,4,20120214_zoby,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 17,home,Citrus,W,15,5,20120217_1ebs,15,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 18,home,Cerro Coso,L,7,4,20120218_7rw6,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 23,home,Cypress,L,9,5,20120223_k7bq,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 24,home,Fullerton,L,7,6,20120224_rnyx,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 25,home,Cypress,L,7,4,20120225_lfqn,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 28,home,Canyons,W,7,5,20120228_w8gp,9,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 3,home,Compton,W,15,13,20120203_8so2,14,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 4,home,Santa Ana,L,14,6,20120204_ezbw,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Feb 8,home,Bakersfield,L,15,14,20120208_u9i1,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 1,home,Canyons,L,6,3,20120301_a36y,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 10,home,Cuesta,L,7,4,20120310_n5mz,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 13,home,Cuesta,L,5,4,20120313_rvcw,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 16,home,Santa Barbara,L,8,7,20120316_4kac,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 20,home,Oxnard,L,8,7,20120320_dkve,12,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 22,home,Oxnard,L,8,4,20120322_uc84,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 23,home,Santa Barbara,L,14,8,20120323_ah0d,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,Mar 24,home,Moorpark,L,6,1,20120324_dfrw,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
