season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2020,2019-20,Allan Hancock,allanhancock,Feb 1,home,Canyons,W,14,4,20200201_7lxz,13,0,1,0,0,1.0,4.0,1.0,1.0,1.0,2.0,6.0
2020,2019-20,Allan Hancock,allanhancock,Feb 11,home,Taft,W,6,3,20200211_3hrb,12,0,0,0,1,0.0,1.0,0.0,0.0,,1.0,3.0
2020,2019-20,Allan Hancock,allanhancock,Feb 14,home,San Joaquin Delta,L,17,1,20200214_g7u8,15,0,0,0,0,,4.0,6.0,2.0,0.333,4.0,6.0
2020,2019-20,Allan Hancock,allanhancock,Feb 15,home,San Joaquin Delta,L,6,4,20200215_515w,12,0,0,0,0,,0.0,1.0,1.0,1.0,3.0,1.0
2020,2019-20,Allan Hancock,allanhancock,Feb 18,home,Moorpark,L,9,1,20200218_sht0,10,0,0,0,0,,0.0,3.0,3.0,1.0,3.0,1.0
2020,2019-20,Allan Hancock,allanhancock,Feb 20,home,Moorpark,W,10,3,20200220_nxas,11,1,1,0,0,1.0,6.0,3.0,2.0,0.667,2.0,6.0
2020,2019-20,Allan Hancock,allanhancock,Feb 22,home,Moorpark,W,14,6,20200222_9xls,11,0,0,0,0,,0.0,1.0,1.0,1.0,3.0,1.0
2020,2019-20,Allan Hancock,allanhancock,Feb 25,home,Cuesta,L,11,5,20200225_gx1z,15,0,0,0,0,,4.0,4.0,4.0,1.0,1.0,0.0
2020,2019-20,Allan Hancock,allanhancock,Feb 27,home,Cuesta,L,14,9,20200227_h8sa,12,1,0,1,0,1.0,15.0,14.0,11.0,0.786,5.0,5.0
2020,2019-20,Allan Hancock,allanhancock,Feb 29,home,Cuesta,L,6,4,20200229_lffy,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2020,2019-20,Allan Hancock,allanhancock,Feb 6,home,Canyons,L,10,6,20200206_2cvq,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2020,2019-20,Allan Hancock,allanhancock,Feb 7,home,San Diego Mesa,W,13,7,20200207_rlt1,17,0,1,0,0,1.0,11.0,6.0,6.0,1.0,3.0,2.0
2020,2019-20,Allan Hancock,allanhancock,Feb 8,home,Rio Hondo,W,8,5,20200207_g9ze,12,0,0,0,1,0.0,3.0,2.0,2.0,1.0,1.0,0.0
2020,2019-20,Allan Hancock,allanhancock,Jan 25,home,Sequoias,L,8,2,20200125_psqs,10,0,0,0,0,,3.0,4.0,2.0,0.5,1.0,6.0
2020,2019-20,Allan Hancock,allanhancock,Jan 28,home,Sequoias,L,5,1,20200128_4yft,11,0,0,0,0,,2.0,3.0,0.0,0.0,0.0,0.0
2020,2019-20,Allan Hancock,allanhancock,Jan 30,home,Taft,W,8,3,20200130_z0nz,16,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2020,2019-20,Allan Hancock,allanhancock,Mar 3,home,Oxnard,W,8,7,20200303_q2q6,11,0,1,0,0,1.0,1.0,0.0,0.0,,0.0,4.0
