season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,App,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2017,2016-17,Allan Hancock,allanhancock,Apr 1,home,Santa Barbara,L,9.0,0.0,20170401_ifc8,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
2017,2016-17,Allan Hancock,allanhancock,Apr 11,home,East Los Angeles,L,11.0,10.0,20170411_to6k,13,1.0,0.0,0.0,0.0,9.0,12.0,10.0,8.0,3.0,9.0,0.0,,8.0,63.0,1.667,12.0,0.0,3.0,9.0,3.0,10.0
2017,2016-17,Allan Hancock,allanhancock,Apr 12,home,Fresno City,W,14.0,7.0,20170412_qn3x,10,0.0,1.0,0.0,0.0,6.667,3.0,1.0,1.0,3.0,6.0,1.0,1.0,1.35,373.0,0.9,4.05,1.35,4.05,8.1,2.0,1.35
2017,2016-17,Allan Hancock,allanhancock,Apr 13,home,Cerritos,L,8.0,1.0,20170413_zwet,14,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,,4.5,112.0,2.0,18.0,0.0,0.0,4.5,,4.5
2017,2016-17,Allan Hancock,allanhancock,Apr 18,home,Moorpark,W,8.0,3.0,20170418_ynq2,11,1.0,1.0,0.0,1.0,9.0,9.0,3.0,1.0,3.0,10.0,0.0,1.0,1.0,504.0,1.333,9.0,0.0,3.0,10.0,3.333,3.0
2017,2016-17,Allan Hancock,allanhancock,Apr 20,home,Ventura,L,5.0,4.0,20170420_mgjl,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,Apr 21,home,Moorpark,W,4.0,3.0,20170421_bc9l,13,0.0,1.0,0.0,0.0,2.667,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,,1.125,3.375,0.0,6.749,3.375,0.5,0.0
2017,2016-17,Allan Hancock,allanhancock,Apr 22,home,Ventura,W,7.0,6.0,20170422_y4g2,11,1.0,1.0,0.0,0.0,4.0,3.0,5.0,2.0,2.0,5.0,0.0,1.0,4.5,112.0,1.25,6.75,0.0,4.5,11.25,2.5,11.25
2017,2016-17,Allan Hancock,allanhancock,Apr 25,home,Cuesta,L,7.0,4.0,20170425_mz0c,11,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,18.0,28.0,2.0,9.0,9.0,9.0,9.0,1.0,18.0
2017,2016-17,Allan Hancock,allanhancock,Apr 27,home,Cuesta,W,4.0,3.0,20170427_f28b,11,1.0,1.0,0.0,0.0,10.0,11.0,3.0,3.0,5.0,5.0,1.0,1.0,2.7,187.0,1.6,9.9,0.9,4.5,4.5,1.0,2.7
