season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,App,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2014,2013-14,Allan Hancock,allanhancock,Apr 1,home,Santa Barbara,L,5.0,3.0,20140401_cuj5,12,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
2014,2013-14,Allan Hancock,allanhancock,Apr 10,home,LA Pierce,W,12.0,8.0,20140410_agrv,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 11,home,LA Pierce,L,5.0,2.0,20140411_0b1r,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 15,home,East Los Angeles,W,2.0,1.0,20140415_aayp,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 16,home,Merced,W,8.0,4.0,20140416_zjgf,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 22,home,Ventura,L,2.0,0.0,20140422_74uk,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 24,home,Ventura,L,5.0,2.0,20140424_o6kx,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 3,home,Santa Barbara,W,3.0,0.0,20140403_61e1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 5,home,Oxnard,W,5.0,1.0,20140405_7ymk,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Apr 8,home,Oxnard,W,9.0,4.0,20140408_jg7j,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 1,home,Porterville,L,6.0,4.0,20140201_b0du,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 11,home,Bakersfield,W,5.0,1.0,20140211_r7g5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 14,home,Canada,W,2.0,0.0,20140214_80fr,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 15,home,Porterville,W,7.0,3.0,20140215_ymgz,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 20,home,Cypress,W,4.0,3.0,20140220_yz49,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 21,home,Fullerton,L,14.0,11.0,20140221_jbzp,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 22,home,Cypress,W,10.0,2.0,20140221_jy3j,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 25,home,Canyons,L,4.0,2.0,20140225_zvzx,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 27,home,Canyons,T,7.0,7.0,20140227_liyr,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 5,home,West Hills Coalinga,W,8.0,0.0,20140205_icxk,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Feb 7,home,Imperial Valley,W,9.0,1.0,20140207_gru4,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,9.0,,0.0
2014,2013-14,Allan Hancock,allanhancock,Feb 8,home,Imperial Valley,W,6.0,1.0,20140208_amh3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Jan 30,home,Sequoias,W,10.0,1.0,20140130_7ibx,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Jan 31,home,Bakersfield,W,10.0,2.0,20140131_n686,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 11,home,Santa Barbara,W,4.0,0.0,20140311_408i,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 13,home,Oxnard,W,1.0,0.0,20140313_swbc,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 15,home,Oxnard,L,2.0,0.0,20140315_eucd,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 18,home,LA Pierce,L,10.0,9.0,20140318_gk1b,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 20,home,LA Pierce,L,16.0,4.0,20140320_foji,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 22,home,Ventura,W,6.0,2.0,20140322_gcrz,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 25,home,Ventura,L,7.0,3.0,20140325_xiye,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 27,home,Cuesta,L,11.0,7.0,20140327_ssgp,13,0.0,0.0,0.0,0.0,2.667,2.0,1.0,1.0,1.0,2.0,0.0,,3.375,133.0,1.125,6.749,0.0,3.375,6.749,2.0,3.375
2014,2013-14,Allan Hancock,allanhancock,Mar 29,home,Cuesta,W,5.0,0.0,20140329_vp6y,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 4,home,Cuesta,W,5.0,2.0,20140304_httn,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 6,home,Cuesta,W,4.0,3.0,20140306_zxfd,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2014,2013-14,Allan Hancock,allanhancock,Mar 8,home,Santa Barbara,L,8.0,3.0,20140308_zzhc,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
