season,cccaa_season,team,team_id,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,2022-23,Los Medanos,losmedanos,1279,1063,279.0,320.0,77.0,10.0,32.0,243.0,107.0,24.0,148.0,191.0,513,54.0,0.0,14.0,119,12.0,203.0,325.0,0.625,0.301,0.408,0.595,1.003,117.0,0.337,0.504,0.025,0.149,0.116,0.033,0.775
2023,2022-23,Marin,marin,1417,1160,279.0,336.0,81.0,19.0,30.0,241.0,61.0,15.0,190.0,284.0,545,49.0,8.0,10.0,130,16.0,205.0,314.0,0.653,0.29,0.406,0.582,0.988,115.0,0.357,0.457,0.021,0.2,0.134,0.066,0.669
2023,2022-23,Mendocino,mendocino,1109,928,145.0,235.0,37.0,4.0,3.0,121.0,57.0,6.0,125.0,205.0,289,31.0,17.0,8.0,44,8.0,220.0,247.0,0.891,0.253,0.353,0.359,0.712,83.0,0.319,0.366,0.003,0.185,0.113,0.072,0.61
2023,2022-23,Merced,merced,1487,1210,282.0,354.0,56.0,10.0,12.0,232.0,37.0,5.0,175.0,260.0,466,54.0,31.0,17.0,78,6.0,314.0,267.0,1.176,0.293,0.392,0.45,0.842,98.0,0.358,0.473,0.008,0.175,0.118,0.057,0.673
2023,2022-23,Mission,mission,1498,1223,337.0,418.0,100.0,16.0,38.0,309.0,77.0,12.0,185.0,194.0,664,56.0,13.0,21.0,154,23.0,293.0,319.0,0.918,0.342,0.44,0.669,1.109,129.0,0.375,0.481,0.025,0.13,0.123,0.007,0.954
2023,2022-23,Modesto,modesto,1260,1064,202.0,287.0,58.0,8.0,12.0,175.0,52.0,5.0,137.0,230.0,397,31.0,14.0,14.0,78,17.0,287.0,251.0,1.143,0.27,0.361,0.446,0.807,94.0,0.329,0.429,0.01,0.183,0.109,0.074,0.596
2023,2022-23,Monterey Peninsula,montereypeninsula,1439,1157,275.0,349.0,65.0,8.0,31.0,245.0,65.0,16.0,184.0,277.0,523,59.0,22.0,17.0,104,8.0,274.0,262.0,1.046,0.302,0.411,0.542,0.953,111.0,0.367,0.435,0.022,0.192,0.128,0.064,0.664
2023,2022-23,Moorpark,moorpark,1337,1133,167.0,275.0,53.0,5.0,8.0,147.0,18.0,5.0,133.0,252.0,362,48.0,17.0,6.0,66,30.0,306.0,293.0,1.044,0.243,0.341,0.378,0.719,84.0,0.304,0.355,0.006,0.188,0.099,0.089,0.528
2023,2022-23,Mt. San Antonio,mtsanantonio,1299,1086,192.0,265.0,46.0,10.0,7.0,175.0,44.0,15.0,121.0,193.0,352,63.0,14.0,15.0,63,27.0,325.0,280.0,1.161,0.244,0.346,0.382,0.728,85.0,0.286,0.419,0.005,0.149,0.093,0.056,0.627
2023,2022-23,Mt. San Jacinto,mtsanjacinto,1280,1066,285.0,364.0,65.0,20.0,23.0,255.0,100.0,20.0,145.0,168.0,538,35.0,3.0,31.0,108,14.0,175.0,347.0,0.504,0.341,0.425,0.606,1.031,120.0,0.376,0.503,0.018,0.131,0.113,0.018,0.863
