season,cccaa_season,team,team_id,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,2017-18,Allan Hancock,allanhancock,1651,1373,260.0,407.0,72.0,8.0,20.0,235.0,49.0,12.0,177.0,273.0,555,60.0,25.0,16.0,100,32.0,343.0,350.0,0.98,0.296,0.39,0.477,0.867,105.0,0.353,0.385,0.012,0.165,0.107,0.058,0.648
2018,2017-18,American River,americanriver,1592,1360,193.0,338.0,54.0,10.0,8.0,173.0,35.0,14.0,145.0,315.0,436,48.0,21.0,18.0,72,20.0,358.0,328.0,1.091,0.249,0.334,0.374,0.708,86.0,0.313,0.354,0.005,0.198,0.091,0.107,0.46
2018,2017-18,Antelope Valley,antelopevalley,150,131,31.0,47.0,11.0,3.0,1.0,31.0,3.0,0.0,15.0,18.0,67,2.0,2.0,0.0,15,1.0,29.0,37.0,0.784,0.359,0.427,0.626,1.053,127.0,0.411,0.476,0.007,0.12,0.1,0.02,0.833
2018,2017-18,Bakersfield,bakersfield,1769,1477,282.0,430.0,57.0,14.0,5.0,234.0,64.0,26.0,178.0,269.0,530,63.0,36.0,15.0,76,32.0,405.0,356.0,1.138,0.291,0.379,0.41,0.789,95.0,0.349,0.416,0.003,0.152,0.101,0.051,0.662
2018,2017-18,Barstow,barstow,668,559,100.0,180.0,36.0,3.0,4.0,105.0,11.0,2.0,70.0,106.0,234,21.0,11.0,7.0,43,17.0,132.0,132.0,1.0,0.322,0.406,0.496,0.902,109.0,0.386,0.36,0.006,0.159,0.105,0.054,0.66
2018,2017-18,Butte,butte,1863,1487,362.0,431.0,76.0,11.0,51.0,317.0,40.0,9.0,223.0,222.0,682,98.0,31.0,24.0,138,42.0,389.0,445.0,0.874,0.29,0.404,0.551,0.955,115.0,0.307,0.444,0.027,0.119,0.12,-0.001,1.005
2018,2017-18,Cabrillo,cabrillo,1519,1324,191.0,361.0,60.0,12.0,1.0,166.0,33.0,10.0,121.0,223.0,448,45.0,16.0,13.0,73,24.0,327.0,392.0,0.834,0.273,0.347,0.394,0.741,89.0,0.323,0.361,0.001,0.147,0.08,0.067,0.543
2018,2017-18,Canada,canada,1489,1230,180.0,281.0,53.0,6.0,8.0,159.0,52.0,21.0,158.0,269.0,370,62.0,25.0,14.0,67,36.0,360.0,327.0,1.101,0.228,0.336,0.355,0.691,83.0,0.282,0.349,0.005,0.181,0.106,0.075,0.587
2018,2017-18,Canyons,canyons,1710,1473,294.0,441.0,87.0,14.0,41.0,270.0,32.0,6.0,150.0,272.0,679,49.0,22.0,16.0,142,26.0,387.0,369.0,1.049,0.299,0.374,0.557,0.931,112.0,0.34,0.422,0.024,0.159,0.088,0.071,0.551
2018,2017-18,Cerritos,cerritos,1856,1547,274.0,451.0,90.0,15.0,21.0,238.0,55.0,22.0,184.0,279.0,634,49.0,56.0,20.0,126,26.0,445.0,412.0,1.08,0.292,0.369,0.491,0.86,104.0,0.339,0.382,0.011,0.15,0.099,0.051,0.659
2018,2017-18,Cerro Coso,cerrocoso,1593,1393,269.0,420.0,87.0,13.0,26.0,243.0,28.0,9.0,117.0,297.0,611,46.0,17.0,20.0,126,29.0,317.0,344.0,0.922,0.302,0.366,0.529,0.895,108.0,0.361,0.436,0.016,0.186,0.073,0.113,0.394
2018,2017-18,Chabot,chabot,1793,1426,286.0,394.0,84.0,8.0,23.0,251.0,27.0,19.0,205.0,308.0,563,96.0,44.0,22.0,115,23.0,329.0,392.0,0.839,0.276,0.388,0.475,0.863,104.0,0.332,0.391,0.013,0.172,0.114,0.058,0.666
2018,2017-18,Chaffey,chaffey,1614,1366,254.0,376.0,71.0,12.0,19.0,224.0,62.0,19.0,141.0,296.0,528,73.0,20.0,14.0,102,23.0,339.0,345.0,0.983,0.275,0.366,0.461,0.827,100.0,0.335,0.412,0.012,0.183,0.087,0.096,0.476
2018,2017-18,Citrus,citrus,1693,1435,286.0,435.0,97.0,14.0,33.0,264.0,49.0,17.0,190.0,274.0,659,33.0,22.0,13.0,144,22.0,310.0,361.0,0.859,0.303,0.389,0.56,0.949,115.0,0.352,0.405,0.019,0.162,0.112,0.05,0.693
2018,2017-18,Compton,compton,1487,1268,164.0,309.0,65.0,5.0,4.0,140.0,68.0,17.0,124.0,306.0,396,48.0,32.0,15.0,74,24.0,366.0,294.0,1.245,0.244,0.323,0.371,0.694,84.0,0.313,0.335,0.003,0.206,0.083,0.123,0.405
2018,2017-18,Contra Costa,contracosta,1405,1195,165.0,286.0,37.0,9.0,7.0,136.0,86.0,24.0,134.0,260.0,362,43.0,17.0,16.0,53,12.0,359.0,277.0,1.296,0.239,0.33,0.347,0.677,82.0,0.296,0.346,0.005,0.185,0.095,0.09,0.515
2018,2017-18,Cosumnes River,cosumnesriver,1660,1382,258.0,377.0,63.0,6.0,17.0,217.0,39.0,10.0,187.0,248.0,503,52.0,20.0,19.0,86,36.0,378.0,370.0,1.022,0.273,0.371,0.426,0.797,96.0,0.317,0.402,0.01,0.149,0.113,0.036,0.754
2018,2017-18,Cuesta,cuesta,1723,1448,306.0,418.0,91.0,10.0,28.0,251.0,51.0,17.0,154.0,257.0,613,79.0,21.0,21.0,129,27.0,362.0,389.0,0.931,0.289,0.378,0.512,0.89,107.0,0.329,0.446,0.016,0.149,0.089,0.06,0.599
2018,2017-18,Cypress,cypress,1693,1433,320.0,441.0,73.0,11.0,28.0,279.0,48.0,15.0,161.0,227.0,620,58.0,20.0,21.0,112,33.0,360.0,345.0,1.043,0.308,0.39,0.511,0.901,109.0,0.344,0.462,0.017,0.134,0.095,0.039,0.709
2018,2017-18,De Anza,deanza,1592,1317,243.0,354.0,70.0,5.0,23.0,214.0,42.0,21.0,194.0,265.0,503,48.0,23.0,10.0,98,26.0,370.0,326.0,1.135,0.269,0.374,0.456,0.83,100.0,0.319,0.384,0.014,0.166,0.122,0.044,0.732
2018,2017-18,Desert,desert,1610,1359,200.0,349.0,64.0,6.0,9.0,168.0,55.0,32.0,147.0,260.0,452,71.0,21.0,12.0,79,24.0,377.0,349.0,1.08,0.257,0.352,0.391,0.743,90.0,0.309,0.342,0.006,0.161,0.091,0.07,0.565
2018,2017-18,Diablo Valley,diablovalley,1568,1390,204.0,383.0,55.0,7.0,6.0,178.0,31.0,8.0,113.0,258.0,470,39.0,13.0,13.0,68,29.0,357.0,365.0,0.978,0.276,0.341,0.387,0.728,88.0,0.331,0.374,0.004,0.165,0.072,0.093,0.438
2018,2017-18,East Los Angeles,eastlosangeles,1734,1414,246.0,375.0,89.0,6.0,4.0,208.0,66.0,25.0,166.0,265.0,488,86.0,37.0,31.0,99,28.0,405.0,369.0,1.098,0.265,0.362,0.415,0.777,94.0,0.315,0.388,0.002,0.153,0.096,0.057,0.626
2018,2017-18,El Camino,elcamino,2029,1702,339.0,494.0,93.0,12.0,36.0,309.0,16.0,9.0,232.0,362.0,719,58.0,13.0,24.0,141,34.0,368.0,442.0,0.833,0.29,0.386,0.505,0.891,108.0,0.345,0.405,0.018,0.178,0.114,0.064,0.641
2018,2017-18,Feather River,featherriver,1935,1558,361.0,492.0,79.0,8.0,20.0,309.0,100.0,28.0,216.0,269.0,647,93.0,45.0,23.0,107,36.0,405.0,396.0,1.023,0.316,0.414,0.484,0.898,108.0,0.365,0.437,0.01,0.139,0.112,0.027,0.803
2018,2017-18,Folsom Lake,folsomlake,1713,1402,279.0,388.0,76.0,8.0,35.0,237.0,32.0,10.0,191.0,298.0,585,78.0,25.0,17.0,119,16.0,317.0,389.0,0.815,0.277,0.384,0.502,0.886,107.0,0.325,0.392,0.02,0.174,0.112,0.062,0.641
2018,2017-18,Fresno City,fresno,1934,1584,332.0,490.0,101.0,13.0,24.0,292.0,55.0,16.0,218.0,295.0,689,81.0,27.0,24.0,138,42.0,367.0,431.0,0.852,0.309,0.408,0.522,0.93,112.0,0.362,0.403,0.012,0.153,0.113,0.04,0.739
2018,2017-18,Fullerton,fullerton,1614,1375,229.0,389.0,67.0,4.0,16.0,200.0,43.0,21.0,156.0,246.0,512,45.0,23.0,15.0,87,22.0,362.0,357.0,1.014,0.283,0.366,0.436,0.802,97.0,0.331,0.371,0.01,0.152,0.097,0.055,0.634
2018,2017-18,Gavilan,gavilan,1472,1263,185.0,309.0,51.0,5.0,7.0,148.0,16.0,19.0,143.0,268.0,391,38.0,20.0,8.0,63,29.0,361.0,298.0,1.211,0.245,0.333,0.359,0.692,84.0,0.303,0.369,0.005,0.182,0.097,0.085,0.534
2018,2017-18,Glendale,glendale,1905,1599,334.0,483.0,80.0,17.0,32.0,287.0,130.0,23.0,200.0,302.0,693,74.0,14.0,18.0,129,25.0,357.0,404.0,0.884,0.302,0.397,0.514,0.911,110.0,0.352,0.417,0.017,0.159,0.105,0.054,0.662
2018,2017-18,Golden West,goldenwest,1590,1388,200.0,365.0,59.0,11.0,7.0,169.0,70.0,20.0,141.0,237.0,467,39.0,15.0,7.0,77,32.0,388.0,360.0,1.078,0.263,0.343,0.392,0.735,89.0,0.311,0.359,0.004,0.149,0.089,0.06,0.595
2018,2017-18,Grossmont,grossmont,1725,1450,314.0,428.0,78.0,26.0,35.0,259.0,71.0,12.0,202.0,280.0,663,47.0,8.0,18.0,139,22.0,332.0,344.0,0.965,0.295,0.392,0.553,0.945,114.0,0.341,0.435,0.02,0.162,0.117,0.045,0.721
2018,2017-18,Hartnell,hartnell,1508,1295,170.0,355.0,65.0,5.0,10.0,152.0,26.0,12.0,124.0,211.0,460,37.0,38.0,14.0,80,38.0,382.0,372.0,1.027,0.274,0.342,0.417,0.759,92.0,0.317,0.316,0.007,0.14,0.082,0.058,0.588
2018,2017-18,Imperial Valley,imperialvalley,1386,1232,163.0,319.0,52.0,11.0,4.0,142.0,21.0,10.0,109.0,301.0,405,38.0,3.0,4.0,67,39.0,336.0,219.0,1.534,0.259,0.336,0.383,0.719,87.0,0.338,0.344,0.003,0.217,0.079,0.138,0.362
2018,2017-18,Irvine Valley,irvinevalley,1659,1367,227.0,373.0,52.0,9.0,9.0,191.0,41.0,15.0,161.0,229.0,470,76.0,37.0,18.0,70,31.0,424.0,346.0,1.225,0.273,0.368,0.395,0.763,92.0,0.317,0.363,0.005,0.138,0.097,0.041,0.703
2018,2017-18,LA Harbor,laharbor,1633,1390,274.0,423.0,70.0,20.0,11.0,221.0,64.0,24.0,129.0,265.0,566,60.0,29.0,25.0,101,18.0,362.0,338.0,1.071,0.304,0.375,0.48,0.855,103.0,0.362,0.438,0.007,0.162,0.079,0.083,0.487
2018,2017-18,LA Mission,lamission,1637,1389,293.0,416.0,83.0,14.0,34.0,247.0,49.0,32.0,135.0,249.0,629,79.0,20.0,14.0,131,15.0,362.0,349.0,1.037,0.299,0.385,0.547,0.932,113.0,0.341,0.435,0.021,0.152,0.082,0.07,0.542
2018,2017-18,LA Pierce,lapierce,1754,1454,331.0,447.0,84.0,21.0,38.0,286.0,84.0,19.0,210.0,299.0,687,58.0,15.0,17.0,143,23.0,300.0,402.0,0.746,0.307,0.408,0.571,0.979,118.0,0.361,0.433,0.022,0.17,0.12,0.05,0.702
2018,2017-18,LA Valley,lavalley,1582,1309,213.0,332.0,67.0,10.0,8.0,184.0,26.0,22.0,175.0,283.0,443,67.0,20.0,11.0,85,34.0,358.0,325.0,1.102,0.254,0.363,0.403,0.766,93.0,0.315,0.362,0.005,0.179,0.111,0.068,0.618
2018,2017-18,Laney,laney,1587,1335,221.0,367.0,63.0,9.0,9.0,187.0,56.0,14.0,146.0,251.0,475,48.0,37.0,21.0,81,24.0,393.0,344.0,1.142,0.275,0.353,0.416,0.769,93.0,0.327,0.384,0.006,0.158,0.092,0.066,0.582
2018,2017-18,Lassen,lassen,1604,1354,231.0,399.0,79.0,7.0,13.0,208.0,42.0,18.0,137.0,219.0,531,65.0,25.0,23.0,99,42.0,385.0,357.0,1.078,0.295,0.375,0.465,0.84,101.0,0.337,0.371,0.008,0.137,0.085,0.052,0.626
2018,2017-18,Long Beach,longbeach,1625,1428,252.0,418.0,70.0,15.0,32.0,236.0,28.0,10.0,113.0,250.0,614,55.0,20.0,9.0,117,26.0,343.0,368.0,0.932,0.293,0.361,0.512,0.873,105.0,0.334,0.397,0.02,0.154,0.07,0.084,0.452
2018,2017-18,Los Medanos,losmedanos,1712,1435,265.0,428.0,75.0,6.0,10.0,225.0,75.0,21.0,129.0,237.0,545,78.0,56.0,14.0,91,9.0,379.0,409.0,0.927,0.298,0.371,0.443,0.814,98.0,0.348,0.408,0.006,0.138,0.075,0.063,0.544
2018,2017-18,Marin,marin,1755,1423,288.0,397.0,78.0,11.0,13.0,250.0,67.0,24.0,233.0,292.0,536,60.0,18.0,21.0,102,26.0,322.0,406.0,0.793,0.279,0.393,0.448,0.841,102.0,0.337,0.406,0.007,0.166,0.133,0.033,0.798
2018,2017-18,Mendocino,mendocino,1628,1370,272.0,407.0,68.0,6.0,16.0,240.0,27.0,13.0,161.0,201.0,535,62.0,11.0,24.0,90,38.0,364.0,381.0,0.955,0.297,0.387,0.456,0.843,102.0,0.332,0.417,0.01,0.123,0.099,0.024,0.801
2018,2017-18,Merced,merced,1693,1392,286.0,379.0,65.0,13.0,23.0,238.0,44.0,15.0,176.0,295.0,539,72.0,36.0,17.0,101,24.0,340.0,369.0,0.921,0.272,0.37,0.46,0.83,100.0,0.326,0.435,0.014,0.174,0.104,0.07,0.597
2018,2017-18,Mission,mission,1912,1575,371.0,504.0,97.0,24.0,25.0,332.0,49.0,21.0,246.0,273.0,724,51.0,17.0,23.0,146,32.0,315.0,482.0,0.654,0.32,0.419,0.552,0.971,117.0,0.368,0.446,0.013,0.143,0.129,0.014,0.901
2018,2017-18,Modesto,modesto,1592,1325,220.0,337.0,72.0,4.0,15.0,189.0,38.0,17.0,167.0,282.0,462,47.0,34.0,19.0,91,21.0,294.0,422.0,0.697,0.254,0.346,0.417,0.763,92.0,0.308,0.382,0.009,0.177,0.105,0.072,0.592
2018,2017-18,Monterey Peninsula,montereypeninsula,1631,1381,235.0,367.0,54.0,4.0,31.0,210.0,54.0,16.0,139.0,239.0,522,71.0,28.0,12.0,89,32.0,394.0,376.0,1.048,0.266,0.354,0.442,0.796,96.0,0.299,0.374,0.019,0.147,0.085,0.062,0.582
2018,2017-18,Moorpark,moorpark,1752,1476,240.0,380.0,87.0,6.0,12.0,204.0,45.0,11.0,180.0,234.0,515,54.0,34.0,8.0,105,27.0,402.0,433.0,0.928,0.257,0.35,0.42,0.77,93.0,0.297,0.379,0.007,0.134,0.103,0.031,0.769
2018,2017-18,Mt. San Antonio,mtsanantonio,2078,1729,380.0,533.0,98.0,20.0,28.0,331.0,66.0,21.0,206.0,315.0,755,88.0,21.0,34.0,146,44.0,416.0,419.0,0.993,0.308,0.398,0.521,0.919,111.0,0.356,0.441,0.013,0.152,0.099,0.053,0.654
