season,cccaa_season,team,team_id,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2012,2011-12,Allan Hancock,allanhancock,1474,1216,216.0,346.0,61.0,6.0,16.0,191.0,44.0,11.0,178.0,221.0,467,30.0,37.0,13.0,83,35.0,317.0,353.0,0.898,0.285,0.376,0.452,0.828,108.0,0.333,0.372,0.011,0.15,0.121,0.029,0.805
2012,2011-12,American River,americanriver,1393,1229,127.0,284.0,49.0,5.0,2.0,105.0,26.0,16.0,106.0,256.0,349,21.0,28.0,9.0,56,24.0,402.0,275.0,1.462,0.231,0.295,0.33,0.625,81.0,0.288,0.306,0.001,0.184,0.076,0.108,0.414
2012,2011-12,Antelope Valley,antelopevalley,1345,1136,152.0,301.0,50.0,15.0,5.0,131.0,22.0,9.0,142.0,233.0,396,32.0,24.0,11.0,70,21.0,311.0,289.0,1.076,0.265,0.353,0.41,0.763,99.0,0.326,0.313,0.004,0.173,0.106,0.067,0.609
2012,2011-12,Bakersfield,bakersfield,1581,1335,265.0,395.0,75.0,13.0,25.0,231.0,34.0,20.0,145.0,251.0,571,63.0,17.0,21.0,113,20.0,306.0,372.0,0.823,0.296,0.381,0.512,0.893,116.0,0.343,0.415,0.016,0.159,0.092,0.067,0.578
2012,2011-12,Barstow,barstow,1375,1165,168.0,296.0,35.0,4.0,9.0,143.0,57.0,29.0,106.0,253.0,366,84.0,12.0,8.0,48,25.0,335.0,237.0,1.414,0.254,0.353,0.355,0.708,92.0,0.315,0.333,0.007,0.184,0.077,0.107,0.419
2012,2011-12,Butte,butte,1473,1218,211.0,344.0,63.0,3.0,10.0,183.0,31.0,9.0,99.0,146.0,443,79.0,59.0,18.0,76,39.0,384.0,356.0,1.079,0.282,0.354,0.426,0.78,101.0,0.309,0.393,0.007,0.099,0.067,0.032,0.678
2012,2011-12,Cabrillo,cabrillo,1599,1336,227.0,340.0,61.0,9.0,12.0,199.0,51.0,17.0,117.0,203.0,455,94.0,34.0,18.0,82,21.0,365.0,423.0,0.863,0.254,0.345,0.402,0.747,97.0,0.288,0.399,0.008,0.127,0.073,0.054,0.576
2012,2011-12,Canada,canada,1555,1266,255.0,350.0,65.0,11.0,25.0,229.0,59.0,31.0,185.0,254.0,512,61.0,28.0,15.0,101,37.0,323.0,328.0,0.985,0.276,0.383,0.484,0.867,113.0,0.324,0.403,0.016,0.163,0.119,0.044,0.728
2012,2011-12,Canyons,canyons,1545,1316,220.0,380.0,69.0,14.0,24.0,198.0,16.0,11.0,133.0,219.0,549,40.0,35.0,21.0,107,26.0,334.0,388.0,0.861,0.289,0.358,0.498,0.856,111.0,0.325,0.371,0.016,0.142,0.086,0.056,0.607
2012,2011-12,Cerritos,cerritos,1361,1166,119.0,284.0,52.0,9.0,3.0,102.0,32.0,20.0,92.0,191.0,363,52.0,42.0,9.0,64,25.0,396.0,306.0,1.294,0.244,0.314,0.366,0.68,88.0,0.286,0.273,0.002,0.14,0.068,0.072,0.482
