date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 28,home,Diablo Valley,W,10-1,10,1,9,win,20210528_ak7y,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
May 27,home,Diablo Valley,W,5-2,5,2,3,win,20210527_ycct,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
May 13,home,Marin,L,8-6,8,6,2,win,20210513_m6fa,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
May 7,home,Solano,W,10-2,10,2,8,win,20210507_c8sh,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
May 7,home,Solano,W,11-1,11,1,10,win,20210507_j8co,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
Apr 30,home,Sierra,L,9-4,9,4,5,win,20210430_5ddi,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
Apr 30,home,Sierra,W,11-1,11,1,10,win,20210430_blci,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
Apr 28,home,Sierra,W,20-17,20,17,3,win,20210428_nqa4,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
Apr 23,home,Diablo Valley,W,10-2,10,2,8,win,20210423_vld1,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Santa Rosa,santarosa,saulrazogefq,Saul Razo
