date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 1,home,LA Pierce,L,7-1,7,1,6,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 27,home,Desert,W,10-3,10,3,7,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 26,home,Desert,L,8-7,8,7,1,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 24,home,Desert,W,23-3,23,3,20,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 21,home,Palomar,L,7-3,7,3,4,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 19,home,Palomar,W,10-6,10,6,4,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 17,home,Palomar,L,8-6,8,6,2,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 13,home,Grossmont,L,23-7,23,7,16,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 12,home,Grossmont,W,9-8,9,8,1,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 10,home,Grossmont,L,6-5,6,5,1,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 7,home,San Diego City,L,6-4,6,4,2,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 5,home,San Diego City,W,9-6,9,6,3,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Apr 3,home,San Diego City,W,12-6,12,6,6,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Mar 30,home,LA Mission,W,5-4,5,4,1,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Mar 28,home,Fullerton,W,12-8,12,8,4,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Mar 27,home,LA Pierce,L,7-6,7,6,1,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Mar 23,home,Imperial Valley,L,6-3,6,3,3,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
Mar 20,home,Imperial Valley,W,22-7,22,7,15,win,,,,,,,,,,,,,,2018,,San Diego Mesa,sandiegomesa,vivaldocastillo87h8,Vivaldo Castillo
