date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 5,home,Riverside,L,8-1,8,1,7,win,20180505_50a7,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
May 4,home,Riverside,L,5-0,5,0,5,win,20180504_o6lv,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 27,home,West LA,W,12-2,12,2,10,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 26,home,LA Valley,W,7-1,7,1,6,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 21,home,LA Mission,L,5-4,5,4,1,win,20180421_dfaa,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 19,home,LA Pierce,L,11-10,11,10,1,win,20180419_ctdg,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 17,home,West LA,W,21-8,21,8,13,win,20180417_5nvv,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 14,home,West LA,W,9-5,9,5,4,win,20180414_j8zj,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 12,home,West LA,W,17-3,17,3,14,win,20180412_5f0h,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 10,home,LA Valley,W,18-6,18,6,12,win,20180410_i187,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 7,home,LA Valley,W,9-4,9,4,5,win,20180407_y6mn,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Apr 5,home,LA Valley,W,10-9,10,9,1,win,20180405_1tff,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 29,home,Saddleback,L,23-2,23,2,21,win,20180329_4276,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 28,home,Reedley,L,10-4,10,4,6,win,20180328_6z1i,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 27,home,Sequoias,W,8-3,8,3,5,win,20180327_r17g,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 24,home,Rio Hondo,L,9-4,9,4,5,win,20180324_5jm4,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 20,home,LA Mission,W,12-6,12,6,6,win,20180320_tfad,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 17,home,LA Mission,W,8-7,8,7,1,win,20180317_9tbi,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 16,home,LA Pierce,W,6-5,6,5,1,win,20180316_ck1w,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 15,home,LA Mission,W,11-10,11,10,1,win,20180315_bck3,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 9,home,LA Pierce,L,11-8,11,8,3,win,20180309_xw8n,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 8,home,LA Pierce,W,10-9,10,9,1,win,20180308_led2,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 6,home,West LA,W,5-2,5,2,3,win,20180306_yoro,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Mar 3,home,LA Valley,L,6-5,6,5,1,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 27,home,LA Mission,L,10-9,10,9,1,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 24,home,LA Pierce,W,7-3,7,3,4,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 22,home,Fullerton,L,15-8,15,8,7,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 20,home,Moorpark,L,9-6,9,6,3,win,20180220_cdca,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 17,home,Golden West,L,3-1,3,1,2,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 16,home,Golden West,L,7-2,7,2,5,win,20180216_g3q1,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 15,home,Golden West,L,7-6,7,6,1,win,20180215_prgr,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 13,home,Moorpark,L,5-0,5,0,5,win,20180213_ti5v,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 10,home,El Camino,W,5-4,5,4,1,win,20180210_vqwh,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 9,home,El Camino,L,9-3,9,3,6,win,20180209_yxkx,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 8,home,El Camino,L,14-4,14,4,10,win,20180208_tx9t,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 3,home,Reedley,W,8-4,8,4,4,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 2,home,Hartnell,W,4-3,4,3,1,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Feb 1,home,Mission,W,4-3,4,3,1,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Jan 30,home,Glendale,L,14-8,14,8,6,win,,,,,,,,,,,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Jan 28,home,Fullerton,L,9-2,9,2,7,win,20180128_kn0q,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Jan 27,home,Sequoias,W,4-2,4,2,2,win,20180127_j921,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
Jan 26,home,Moorpark,L,5-0,5,0,5,win,20180126_nio2,0,0,0,0,0.0,,,,0.00,,,,2018,,Bakersfield,bakersfield,ryandarbeew3s4,Ryan Darbee
