date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 4,home,Los Medanos,L,11-7,11,7,4,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
May 4,home,Los Medanos,W,5-4,5,4,1,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
May 3,home,Los Medanos,L,4-3,4,3,1,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 25,home,San Mateo,L,11-8,11,8,3,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 23,home,San Mateo,L,15-9,15,9,6,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 20,home,De Anza,W,14-10,14,10,4,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 18,home,De Anza,W,9-7,9,7,2,win,20190418_an0s,0,0,0,0,0.0,,,,0.00,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 16,home,San Francisco,W,21-15,21,15,6,win,20190416_uex5,0,0,0,0,0.0,,,,0.00,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 13,home,San Francisco,W,11-2,11,2,9,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 11,home,West Valley,L,9-3,9,3,6,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 9,home,West Valley,L,11-10,11,10,1,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 6,home,Chabot,L,10-9,10,9,1,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 4,home,Chabot,W,14-6,14,6,8,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Apr 2,home,San Mateo,W,19-4,19,4,15,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 30,home,Canada,W,11-4,11,4,7,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 29,home,Cabrillo,W,13-5,13,5,8,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 26,home,Skyline,L,11-6,11,6,5,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 23,home,San Mateo,W,3-1,3,1,2,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 21,home,De Anza,W,13-10,13,10,3,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 19,home,De Anza,W,15-6,15,6,9,win,20190319_o6he,0,0,0,0,0.0,,,,0.00,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 16,home,San Francisco,W,10-8,10,8,2,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 14,home,San Francisco,W,10-5,10,5,5,win,20190314_m5ot,0,0,0,0,0.0,,,,0.00,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 12,home,West Valley,W,14-9,14,9,5,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 11,home,West Valley,W,13-8,13,8,5,win,20190311_x2h5,0,0,0,0,0.0,,,,0.00,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 8,home,Chabot,L,15-7,15,7,8,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 7,home,Chabot,W,8-2,8,2,6,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Mar 2,home,Hartnell,W,5-4,5,4,1,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Feb 28,home,Gavilan,W,14-4,14,4,10,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Feb 26,home,Ohlone,W,13-3,13,3,10,win,20190226_ok35,0,0,0,0,0.0,,,,0.00,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Feb 23,home,San Joaquin Delta,L,11-6,11,6,5,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Feb 21,home,San Joaquin Delta,L,7-5,7,5,2,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Feb 19,home,Sacramento City,W,19-4,19,4,15,win,20190219_i1ki,0,0,0,0,0.0,,,,0.00,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Feb 18,home,Diablo Valley,,,,,2,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
Feb 16,home,Folsom Lake,,,,,2,win,,,,,,,,,,,,,,2019,,Mission,mission,sonnyrodriguezzybz,Sonny Rodriguez
