date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 20,home,Southwestern,L,7-1,7,1,6,win,20230420_tdeo,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 19,home,San Diego Mesa,W,9-8,9,8,1,win,20230419_ngae,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 18,home,Southwestern,L,10-7,10,7,3,win,20230418_lwdy,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 15,home,Palomar,L,14-6,14,6,8,win,20230415_ss97,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 13,home,Palomar,L,7-3,7,3,4,win,20230413_2wko,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 12,home,San Diego Mesa,W,10-3,10,3,7,win,20230412_5zgp,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 11,home,Palomar,L,11-10,11,10,1,win,20230411_sdvx,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 7,home,San Diego City,W,5-3,5,3,2,win,20230407_s6b8,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Apr 4,home,San Diego City,W,6-5,6,5,1,win,20230404_9oug,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 27,home,Palomar,L,13-12,13,12,1,win,20230327_1sl3,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 23,home,Imperial Valley,W,20-10,20,10,10,win,20230323_oxfk,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 23,home,Imperial Valley,W,9-5,9,5,4,win,20230323_w3p3,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 18,home,Southwestern,L,16-12,16,12,4,win,20230318_mpiy,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 18,home,Southwestern,W,7-3,7,3,4,win,20230318_kxqg,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 14,home,Palomar,L,6-3,6,3,3,win,20230314_l687,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 9,home,San Diego City,L,8-2,8,2,6,win,20230309_dn9v,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 7,home,San Diego City,L,8-6,8,6,2,win,20230307_oveq,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 4,home,San Diego Mesa,W,20-7,20,7,13,win,20230304_ak2f,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Mar 3,home,San Diego Mesa,L,7-6,7,6,1,win,20230303_4mv9,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Feb 26,home,Irvine Valley,W,2-1,2,1,1,win,20230226_mkkb,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Feb 26,home,Irvine Valley,W,5-4,5,4,1,win,20230226_16hc,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Feb 18,home,East Los Angeles,L,16-9,16,9,7,win,20230218_joim,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Feb 15,home,Riverside,L,8-3,8,3,5,win,20230215_yrj4,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Feb 9,home,LA Mission,W,4-3,4,3,1,win,20230209_6d8g,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Feb 2,home,Victor Valley,W,9-2,9,2,7,win,20230202_7aq7,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
Jan 28,home,East Los Angeles,W,11-2,11,2,9,win,20230128_wk4z,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Grossmont,grossmont,juannunezgo03,Juan Nunez
