date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Mar 12,home,Ohlone,L,18-5,18,5,13,win,20200312_t308,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
Mar 6,home,Gavilan,W,18-3,18,3,15,win,20200306_1shg,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
Mar 5,home,Gavilan,W,10-2,10,2,8,win,20200305_gypq,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
Mar 3,home,Gavilan,W,21-3,21,3,18,win,20200303_0zuc,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
Feb 20,home,Santa Rosa,L,7-2,7,2,5,win,20200220_wkmw,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
Feb 15,home,Diablo Valley,W,7-5,7,5,2,win,20200215_1f8z,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
Feb 14,home,Contra Costa,W,10-2,10,2,8,win,20200214_gljo,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
Feb 11,home,West Valley,W,11-5,11,5,6,win,20200211_ih41,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,Cabrillo,cabrillo,joseareolachmu,Jose Areola
