date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Mar 7,home,West Valley,L,2-1,2,1,1,win,20230307_h8y4,1,0,1,0,6.0,4,2,2,3.00,3,10,,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Mar 1,home,San Francisco,L,18-3,18,3,15,win,20230301_p0vb,1,0,1,0,2.2,9,11,11,37.13,3,1,,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Feb 25,home,Napa Valley,L,22-8,22,8,14,win,20230225_403r,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Feb 22,home,Napa Valley,L,9-1,9,1,8,win,20230222_4sb8,1,0,1,0,7.0,10,9,5,6.43,2,7,1,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Feb 21,home,Contra Costa,W,29-8,29,8,21,win,20230221_gg0o,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Feb 16,home,Solano,L,9-6,9,6,3,win,20230216_zix8,0,0,0,0,1.2,2,3,,0.00,1,1,,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Feb 11,home,Redwoods,L,8-7,8,7,1,win,20230211_1o2t,1,0,0,0,4.1,2,4,4,8.31,8,8,,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Feb 2,home,Contra Costa,W,27-8,27,8,19,win,20230202_tj9d,1,1,0,0,5.0,7,6,6,10.80,3,7,1,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
Jan 28,home,Reedley,L,18-10,18,10,8,win,20230128_mksk,0,0,0,0,2.1,4,5,2,7.71,4,4,,2023,2022-23,De Anza,deanza,alexalfonzoha53,Alex Alfonzo
