date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 20,home,Sierra,L,1-0,1,0,1,win,20230420_y8c3,1,0,1,0,7.0,6,1,1,1.29,0,4,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Apr 13,home,Folsom Lake,L,6-4,6,4,2,win,20230413_p33d,1,0,0,0,7.0,6,1,1,1.29,0,5,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Apr 6,home,American River,W,7-4,7,4,3,win,20230406_lqm4,1,1,0,0,6.0,5,2,2,3.00,1,6,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Mar 31,home,Cabrillo,W,3-1,3,1,2,win,20230331_zcyc,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Mar 30,home,Cabrillo,W,7-1,7,1,6,win,20230330_17uz,1,1,0,0,8.0,4,1,1,1.13,1,7,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Mar 23,home,Sacramento City,W,7-3,7,3,4,win,20230323_3ich,1,1,0,0,6.0,3,1,0,0.00,1,1,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Mar 22,home,Sacramento City,W,2-1,2,1,1,win,20230322_n8x0,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Mar 16,home,Modesto,W,4-3,4,3,1,win,20230316_huse,1,1,0,0,7.0,4,2,2,2.57,2,6,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Mar 8,home,Cosumnes River,W,16-9,16,9,7,win,20230308_8wd0,1,1,0,0,5.0,6,3,3,5.40,3,7,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Mar 2,home,San Joaquin Delta,L,8-4,8,4,4,win,20230302_s2fl,1,0,0,0,6.0,6,3,3,4.50,2,3,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Feb 24,home,Los Medanos,W,6-4,6,4,2,win,20230224_76zv,0,0,0,0,2.2,3,3,3,10.13,2,2,1,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Feb 14,home,San Mateo,W,8-7,8,7,1,win,20230214_zk4k,1,0,0,0,1.2,4,4,4,21.60,1,0,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Feb 10,home,Marin,W,13-6,13,6,7,win,20230210_fh4d,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Feb 7,home,Canada,W,9-8,9,8,1,win,20230207_ypm8,1,0,0,0,3.0,6,5,5,15.00,2,3,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Jan 31,home,Sierra,W,4-0,4,0,4,win,20230131_oidy,0,0,0,1,1.0,,,,0.00,1,,,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
Jan 27,home,Chabot,L,8-0,8,0,8,win,20230127_r4nf,1,0,1,0,3.0,7,7,5,15.00,1,2,1,2023,2022-23,Santa Rosa,santarosa,evanjohnsonlbpt,Evan Johnson
