date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 28,home,American River,L,4-3,4,3,1,win,20160428_kp81,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 26,home,American River,L,11-5,11,5,6,win,20160426_rilp,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 23,home,American River,L,4-3,4,3,1,win,20160423_7gct,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 21,home,Diablo Valley,W,10-5,10,5,5,win,20160421_a8e2,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 19,home,Diablo Valley,L,5-0,5,0,5,win,20160419_suw9,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 15,home,Diablo Valley,W,6-4,6,4,2,win,20160415_73mq,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 14,home,Cosumnes River,W,2-0,2,0,2,win,20160414_2c53,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 12,home,Cosumnes River,L,8-6,8,6,2,win,20160412_ihd0,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 11,home,Cosumnes River,L,2-0,2,0,2,win,20160411_69ps,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 7,home,Santa Rosa,L,7-4,7,4,3,win,20160407_bwdt,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 5,home,Santa Rosa,L,10-1,10,1,9,win,20160405_rh6i,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Apr 2,home,Santa Rosa,L,5-3,5,3,2,win,20160402_wlwh,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
Mar 31,home,Sierra,L,3-2,3,2,1,win,20160331_fbhe,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Modesto,modesto,coltparshall1ir9,Colt Parshall
