date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 22,home,Diablo Valley,L,6-0,6,0,6,win,20140422_rqd9,1,0,1,0,4.0,8,5,5,11.25,3,3,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Apr 15,home,Sierra,L,7-2,7,2,5,win,20140415_ae25,0,0,0,0,5.1,3,1,1,1.69,,5,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Apr 11,home,Santa Rosa,L,8-1,8,1,7,win,20140411_cnlv,0,0,0,0,1.0,2,1,1,9.00,0,0,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Apr 8,home,Santa Rosa,L,13-0,13,0,13,win,20140408_oo5x,1,0,1,0,1.2,2,5,5,27.00,5,1,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Apr 2,home,Modesto,L,9-4,9,4,5,win,20140402_jvk4,1,0,1,0,4.1,6,7,7,14.54,1,1,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Mar 25,home,Cosumnes River,L,10-1,10,1,9,win,20140325_n4qk,1,0,1,0,6.0,9,7,3,4.50,3,2,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Mar 18,home,San Joaquin  Delta,L,12-1,12,1,11,win,20140318_fmvg,1,0,1,0,4.0,3,4,4,9.00,2,1,1,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Mar 11,home,Sacramento City,L,5-0,5,0,5,win,20140311_5thx,1,0,1,0,7.1,4,4,1,1.23,1,2,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Mar 4,home,Los Medanos,L,6-2,6,2,4,win,20140304_259p,1,0,1,0,6.1,5,5,2,2.84,2,2,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Feb 25,home,Solano,W,6-5,6,5,1,win,20140225_bc9t,1,0,0,0,6.2,7,4,3,4.05,4,2,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Feb 17,home,Shasta,W,11-6,11,6,5,win,20140217_0di4,1,1,0,0,7.0,4,1,0,0.00,2,5,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Feb 11,home,Feather River,W,3-0,3,0,3,win,20140211_rded,1,1,0,0,8.0,7,,,0.00,1,5,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
Jan 30,home,West Valley,L,8-0,8,0,8,win,20140130_ij2e,1,0,1,0,5.1,8,3,3,5.06,1,7,,2014,2013-14,American River,americanriver,thomaspetersonpt9y,Thomas Peterson
