date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 26,home,El Camino,L,4-2,4,2,2,win,20190426_1cyj,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 25,home,El Camino,L,7-1,7,1,6,win,20190425_r2qf,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 23,home,El Camino,L,2-1,2,1,1,win,20190423_3qls,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 17,home,Irvine Valley,W,4-2,4,2,2,win,20190417_vura,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 16,home,Irvine Valley,L,19-7,19,7,12,win,20190416_7t7z,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 13,home,Compton,W,5-4,5,4,1,win,20190413_50r7,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 11,home,Compton,L,10-6,10,6,4,win,20190411_794b,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 9,home,Compton,L,6-5,6,5,1,win,20190409_mng0,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 4,home,Rio Hondo,W,7-6,7,6,1,win,20190404_a119,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Apr 2,home,Rio Hondo,W,8-6,8,6,2,win,20190402_pk2p,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
Mar 30,home,Cerritos,L,8-5,8,5,3,win,20190330_dgd0,0,0,0,0,0.0,,,,0.00,,,,2019,,LA Harbor,laharbor,angelgarciavz2y,Angel Garcia
