date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 28,home,Laney,L,6-2,6,2,4,win,20170428_lvpc,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 27,home,Laney,L,13-4,13,4,9,win,20170427_sbbg,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 25,home,Laney,W,19-6,19,6,13,win,20170425_bfli,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 22,home,Marin,L,5-0,5,0,5,win,20170422_t8cz,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 20,home,Marin,L,6-3,6,3,3,win,20170420_82j0,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 19,home,Marin,L,11-1,11,1,10,win,20170419_mkdv,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 14,home,Los Medanos,L,10-6,10,6,4,win,20170414_one7,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 13,home,Los Medanos,L,9-5,9,5,4,win,20170413_08xx,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 12,home,Napa,W,7-3,7,3,4,win,20170412_l2jc,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 11,home,Los Medanos,W,13-9,13,9,4,win,20170411_3jyv,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 4,home,Napa,L,20-10,20,10,10,win,20170404_zit4,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 3,home,Contra Costa,W,16-11,16,11,5,win,20170403_savh,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Apr 1,home,Yuba,L,7-6,7,6,1,win,20170401_dbi5,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 30,home,Yuba,W,10-1,10,1,9,win,20170330_sd93,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 28,home,Yuba,W,12-3,12,3,9,win,20170328_md9x,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 27,home,Contra Costa,W,7-3,7,3,4,win,20170327_rb16,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 23,home,Contra Costa,L,6-5,6,5,1,win,20170323_hnw6,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 18,home,Mendocino,W,6-4,6,4,2,win,20170318_gwwl,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 16,home,Mendocino,L,7-6,7,6,1,win,20170316_zh1b,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 14,home,Mendocino,L,14-2,14,2,12,win,20170314_5y6s,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 11,home,Los Medanos,W,9-6,9,6,3,win,20170311_v396,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 9,home,Marin,W,5-4,5,4,1,win,20170309_x8oz,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 7,home,Laney,L,10-4,10,4,6,win,20170307_v86v,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Mar 2,home,American River,W,7-6,7,6,1,win,20170302_mjuy,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Feb 28,home,American River,W,8-3,8,3,5,win,20170228_hknp,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Feb 24,home,Merced,W,4-1,4,1,3,win,20170224_omvx,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Feb 23,home,Canada,W,4-3,4,3,1,win,20170223_962u,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
Feb 22,home,Canada,W,10-1,10,1,9,win,20170222_fnob,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,Solano,solano,vincenzomargiotta30qj,Vincenzo Margiotta
