season,cccaa_season,team,team_id,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2021,2020-21,Allan Hancock,allanhancock,8.0,2.0,1.0,73.001,75.0,34.0,31.0,19.0,63.0,5.0,0.8,3.822,190.0,1.288,9.246,0.616,2.342,7.767,3.316,4.192
2021,2020-21,American River,americanriver,0.0,0.0,0.0,3.333,4.0,2.0,2.0,0.0,4.0,0.0,,5.401,135.0,1.2,10.801,0.0,0.0,10.801,,5.401
2021,2020-21,Antelope Valley,antelopevalley,1.0,17.0,0.0,107.001,203.0,199.0,174.0,92.0,79.0,16.0,0.056,14.635,50.0,2.757,17.075,1.346,7.738,6.645,0.859,16.738
2021,2020-21,Bakersfield,bakersfield,5.0,2.0,0.0,41.666,38.0,21.0,16.0,10.0,34.0,1.0,0.714,3.456,210.0,1.152,8.208,0.216,2.16,7.344,3.4,4.536
2021,2020-21,Butte,butte,5.0,1.0,1.0,59.333,53.0,28.0,18.0,15.0,54.0,3.0,0.833,2.73,266.0,1.146,8.039,0.455,2.275,8.191,3.6,4.247
2021,2020-21,Cabrillo,cabrillo,7.0,3.0,3.0,98.333,76.0,33.0,28.0,35.0,98.0,0.0,0.7,2.563,284.0,1.129,6.956,0.0,3.203,8.97,2.8,3.02
2021,2020-21,Canada,canada,1.0,2.0,0.0,22.666,33.0,23.0,15.0,12.0,17.0,4.0,0.333,5.956,122.0,1.985,13.103,1.588,4.765,6.75,1.417,9.133
2021,2020-21,Cerro Coso,cerrocoso,3.0,2.0,1.0,32.0,51.0,35.0,32.0,23.0,35.0,5.0,0.6,9.0,81.0,2.312,14.344,1.406,6.469,9.844,1.522,9.844
2021,2020-21,Contra Costa,contracosta,2.0,2.0,0.0,30.0,41.0,31.0,20.0,24.0,14.0,1.0,0.5,6.0,121.0,2.167,12.3,0.3,7.2,4.2,0.583,9.3
2021,2020-21,Cosumnes River,cosumnesriver,2.0,2.0,0.0,43.334,66.0,55.0,48.0,22.0,43.0,9.0,0.5,9.969,73.0,2.031,13.707,1.869,4.569,8.931,1.955,11.423
2021,2020-21,Cuesta,cuesta,0.0,4.0,1.0,16.999000000000002,18.0,18.0,13.0,13.0,14.0,2.0,0.0,6.883,106.0,1.824,9.53,1.059,6.883,7.412,1.077,9.53
2021,2020-21,Cypress,cypress,1.0,1.0,1.0,26.999,27.0,18.0,15.0,22.0,23.0,1.0,0.5,5.0,145.0,1.815,9.0,0.333,7.334,7.667,1.045,6.0
2021,2020-21,Diablo Valley,diablovalley,3.0,8.0,2.0,73.666,84.0,66.0,40.0,30.0,74.0,2.0,0.273,4.887,149.0,1.548,10.263,0.244,3.665,9.041,2.467,8.063
2021,2020-21,Feather River,featherriver,10.0,2.0,3.0,114.666,100.0,83.0,54.0,55.0,113.0,1.0,0.833,4.238,172.0,1.352,7.849,0.078,4.317,8.869,2.055,6.515
2021,2020-21,Folsom Lake,folsomlake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2021,2020-21,Fresno City,fresno,1.0,2.0,0.0,32.001,38.0,23.0,18.0,17.0,26.0,1.0,0.333,5.062,144.0,1.719,10.687,0.281,4.781,7.312,1.529,6.469
2021,2020-21,Fullerton,fullerton,2.0,3.0,0.0,21.669,36.0,38.0,24.0,17.0,18.0,2.0,0.4,9.968,73.0,2.446,14.952,0.831,7.061,7.476,1.059,15.783
2021,2020-21,Golden West,goldenwest,3.0,0.0,2.0,14.0,12.0,5.0,4.0,10.0,13.0,0.0,1.0,2.571,283.0,1.571,7.714,0.0,6.429,8.357,1.3,3.214
2021,2020-21,Hartnell,hartnell,0.0,13.0,0.0,108.334,176.0,165.0,145.0,77.0,65.0,19.0,0.0,12.046,60.0,2.335,14.621,1.578,6.397,5.4,0.844,13.708
2021,2020-21,Irvine Valley,irvinevalley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2021,2020-21,Laney,laney,1.0,3.0,0.0,34.333,57.0,56.0,42.0,28.0,26.0,3.0,0.25,11.01,66.0,2.476,14.942,0.786,7.34,6.816,0.929,14.68
2021,2020-21,Lassen,lassen,6.0,6.0,1.0,71.333,60.0,54.0,39.0,47.0,58.0,5.0,0.5,4.921,148.0,1.5,7.57,0.631,5.93,7.318,1.234,6.813
2021,2020-21,Los Medanos,losmedanos,0.0,1.0,0.0,9.667,11.0,7.0,6.0,8.0,12.0,0.0,0.0,5.586,130.0,1.965,10.241,0.0,7.448,11.172,1.5,6.517
2021,2020-21,Marin,marin,3.0,5.0,1.0,51.332,62.0,43.0,38.0,21.0,38.0,9.0,0.375,6.663,109.0,1.617,10.87,1.578,3.682,6.663,1.81,7.539
2021,2020-21,Mendocino,mendocino,2.0,9.0,3.0,66.0,95.0,94.0,79.0,51.0,42.0,8.0,0.182,10.773,67.0,2.212,12.955,1.091,6.955,5.727,0.824,12.818
2021,2020-21,Merced,merced,10.0,8.0,4.0,140.999,168.0,123.0,96.0,79.0,127.0,16.0,0.556,6.128,119.0,1.752,10.723,1.021,5.043,8.106,1.608,7.851
2021,2020-21,Mission,mission,1.0,1.0,1.0,8.0,10.0,7.0,7.0,6.0,7.0,1.0,0.5,7.875,92.0,2.0,11.25,1.125,6.75,7.875,1.167,7.875
2021,2020-21,Monterey Peninsula,montereypeninsula,2.0,0.0,1.0,33.668,27.0,16.0,14.0,24.0,33.0,2.0,1.0,3.742,194.0,1.515,7.218,0.535,6.416,8.821,1.375,4.277
2021,2020-21,Moorpark,moorpark,0.0,1.0,0.0,35.333,50.0,39.0,24.0,15.0,8.0,3.0,0.0,6.113,119.0,1.84,12.736,0.764,3.821,2.038,0.533,9.934
2021,2020-21,Mt. San Antonio,mtsanantonio,2.0,1.0,0.0,37.334,33.0,21.0,18.0,20.0,44.0,2.0,0.667,4.339,168.0,1.42,7.955,0.482,4.821,10.607,2.2,5.062
2021,2020-21,Mt. San Jacinto,mtsanjacinto,3.0,0.0,0.0,41.667,50.0,37.0,30.0,14.0,34.0,2.0,1.0,6.48,112.0,1.536,10.8,0.432,3.024,7.344,2.429,7.992
