season,cccaa_season,team,team_id,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2023,2022-23,Gavilan,gavilan,0.0,2.0,0.0,39.999,73.0,84.0,80.0,44.0,25.0,7.0,0.0,18.0,38.0,2.925,16.425,1.575,9.9,5.625,0.568,18.9
2023,2022-23,Glendale,glendale,2.0,0.0,0.0,10.0,10.0,5.0,5.0,2.0,7.0,1.0,1.0,4.5,154.0,1.2,9.0,0.9,1.8,6.3,3.5,4.5
2023,2022-23,Golden West,goldenwest,1.0,1.0,0.0,31.997,34.0,23.0,20.0,25.0,39.0,1.0,0.5,5.626,123.0,1.844,9.563,0.281,7.032,10.97,1.56,6.469
2023,2022-23,Grossmont,grossmont,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,,2.0,18.0,0.0,0.0,9.0,,0.0
2023,2022-23,Hartnell,hartnell,2.0,1.0,0.0,30.667,41.0,35.0,34.0,22.0,26.0,8.0,0.667,9.978,69.0,2.054,12.032,2.348,6.456,7.63,1.182,10.272
2023,2022-23,Imperial Valley,imperialvalley,3.0,16.0,0.0,163.0,218.0,214.0,166.0,119.0,96.0,11.0,0.158,9.166,75.0,2.067,12.037,0.607,6.571,5.301,0.807,11.816
2023,2022-23,Irvine Valley,irvinevalley,2.0,3.0,2.0,33.334,51.0,36.0,23.0,15.0,25.0,5.0,0.4,6.21,111.0,1.98,13.77,1.35,4.05,6.75,1.667,9.72
2023,2022-23,LA Harbor,laharbor,2.0,2.0,2.0,50.0,39.0,31.0,24.0,37.0,37.0,2.0,0.5,4.32,160.0,1.52,7.02,0.36,6.66,6.66,1.0,5.58
2023,2022-23,LA Mission,lamission,1.0,0.0,2.0,18.334,16.0,12.0,11.0,14.0,20.0,0.0,1.0,5.4,128.0,1.636,7.854,0.0,6.872,9.818,1.429,5.891
2023,2022-23,LA Pierce,lapierce,4.0,12.0,0.0,107.666,132.0,139.0,120.0,74.0,93.0,4.0,0.25,10.031,69.0,1.913,11.034,0.334,6.186,7.774,1.257,11.619
2023,2022-23,LA Valley,lavalley,0.0,1.0,1.0,6.333,3.0,2.0,2.0,3.0,5.0,0.0,0.0,2.842,243.0,0.947,4.263,0.0,4.263,7.106,1.667,2.842
2023,2022-23,Laney,laney,1.0,2.0,0.0,46.333,59.0,36.0,33.0,24.0,36.0,4.0,0.333,6.41,108.0,1.791,11.461,0.777,4.662,6.993,1.5,6.993
2023,2022-23,Lassen,lassen,1.0,4.0,0.0,34.668,52.0,26.0,26.0,13.0,18.0,3.0,0.2,6.75,102.0,1.875,13.499,0.779,3.375,4.673,1.385,6.75
2023,2022-23,Long Beach,longbeach,3.0,1.0,0.0,42.667,42.0,20.0,13.0,15.0,25.0,0.0,0.75,2.742,252.0,1.336,8.859,0.0,3.164,5.273,1.667,4.219
2023,2022-23,Los Medanos,losmedanos,6.0,2.0,1.0,92.001,64.0,36.0,29.0,36.0,82.0,4.0,0.75,2.837,244.0,1.087,6.261,0.391,3.522,8.022,2.278,3.522
2023,2022-23,Marin,marin,1.0,1.0,0.0,10.335,7.0,4.0,0.0,10.0,8.0,0.0,0.5,0.0,,1.645,6.096,0.0,8.708,6.967,0.8,3.483
2023,2022-23,Mendocino,mendocino,1.0,2.0,1.0,19.0,22.0,16.0,13.0,10.0,8.0,1.0,0.333,6.158,112.0,1.684,10.421,0.474,4.737,3.789,0.8,7.579
2023,2022-23,Merced,merced,5.0,3.0,5.0,64.667,81.0,52.0,48.0,27.0,51.0,3.0,0.625,6.68,104.0,1.67,11.273,0.418,3.758,7.098,1.889,7.237
2023,2022-23,Mission,mission,1.0,2.0,0.0,24.0,34.0,18.0,17.0,8.0,24.0,1.0,0.333,6.375,108.0,1.75,12.75,0.375,3.0,9.0,3.0,6.75
2023,2022-23,Modesto,modesto,2.0,2.0,1.0,19.666,21.0,15.0,14.0,14.0,17.0,1.0,0.5,6.407,108.0,1.78,9.61,0.458,6.407,7.78,1.214,6.865
2023,2022-23,Monterey Peninsula,montereypeninsula,0.0,3.0,2.0,21.999,26.0,23.0,23.0,15.0,26.0,1.0,0.0,9.41,73.0,1.864,10.637,0.409,6.137,10.637,1.733,9.41
2023,2022-23,Moorpark,moorpark,3.0,1.0,2.0,36.999,46.0,37.0,30.0,16.0,32.0,1.0,0.75,7.297,95.0,1.676,11.189,0.243,3.892,7.784,2.0,9.0
2023,2022-23,Mt. San Antonio,mtsanantonio,2.0,2.0,0.0,50.0,36.0,16.0,11.0,8.0,55.0,0.0,0.5,1.98,349.0,0.88,6.48,0.0,1.44,9.9,6.875,2.88
2023,2022-23,Mt. San Jacinto,mtsanjacinto,2.0,0.0,1.0,16.0,18.0,7.0,4.0,6.0,12.0,0.0,1.0,2.25,307.0,1.5,10.125,0.0,3.375,6.75,2.0,3.938
2023,2022-23,Napa Valley,napavalley,2.0,10.0,0.0,86.668,138.0,121.0,109.0,70.0,56.0,9.0,0.167,11.319,61.0,2.4,14.331,0.935,7.269,5.815,0.8,12.565
2023,2022-23,Ohlone,ohlone,0.0,0.0,0.0,7.333,7.0,4.0,4.0,10.0,5.0,0.0,,4.909,141.0,2.318,8.591,0.0,12.273,6.137,0.5,4.909
2023,2022-23,Orange Coast,orangecoast,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,9.0,9.0,1.0,0.0
2023,2022-23,Oxnard,oxnard,3.0,9.0,0.0,83.666,133.0,112.0,89.0,39.0,42.0,9.0,0.25,9.574,72.0,2.056,14.307,0.968,4.195,4.518,1.077,12.048
2023,2022-23,Palomar,palomar,5.0,2.0,0.0,40.0,37.0,22.0,17.0,12.0,56.0,2.0,0.714,3.825,181.0,1.225,8.325,0.45,2.7,12.6,4.667,4.95
2023,2022-23,Pasadena City,pasadenacity,3.0,2.0,1.0,31.0,32.0,20.0,18.0,11.0,35.0,3.0,0.6,5.226,132.0,1.387,9.29,0.871,3.194,10.161,3.182,5.806
2023,2022-23,Porterville,porterville,2.0,3.0,0.0,54.0,63.0,60.0,55.0,41.0,43.0,1.0,0.4,9.167,75.0,1.926,10.5,0.167,6.833,7.167,1.049,10.0
2023,2022-23,Redwoods,redwoods,1.0,5.0,1.0,32.333,46.0,38.0,31.0,27.0,20.0,2.0,0.167,8.629,80.0,2.258,12.804,0.557,7.516,5.567,0.741,10.577
2023,2022-23,Reedley,reedley,3.0,0.0,0.0,34.666,29.0,21.0,18.0,25.0,45.0,0.0,1.0,4.673,148.0,1.558,7.529,0.0,6.491,11.683,1.8,5.452
2023,2022-23,Rio Hondo,riohondo,3.0,0.0,1.0,25.333000000000002,23.0,10.0,9.0,11.0,15.0,0.0,1.0,3.197,216.0,1.342,8.171,0.0,3.908,5.329,1.364,3.553
2023,2022-23,Riverside,riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Sacramento City,sacramentocity,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,9.0,77.0,1.0,9.0,0.0,0.0,9.0,,9.0
2023,2022-23,Saddleback,saddleback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,San Bernardino Valley,sanbernardinovalley,2.0,3.0,1.0,43.333,63.0,44.0,30.0,18.0,25.0,3.0,0.4,6.231,111.0,1.869,13.085,0.623,3.738,5.192,1.389,9.139
2023,2022-23,San Diego City,sandiegocity,0.0,0.0,0.0,8.999,11.0,7.0,7.0,7.0,7.0,0.0,,7.001,99.0,2.0,11.001,0.0,7.001,7.001,1.0,7.001
2023,2022-23,San Diego Mesa,sandiegomesa,3.0,8.0,1.0,87.668,95.0,70.0,55.0,49.0,85.0,11.0,0.273,5.646,122.0,1.643,9.753,1.129,5.03,8.726,1.735,7.186
2023,2022-23,San Francisco,sanfrancisco,1.0,3.0,0.0,37.666,35.0,24.0,18.0,15.0,34.0,1.0,0.25,4.301,161.0,1.327,8.363,0.239,3.584,8.124,2.267,5.735
2023,2022-23,San Joaquin Delta,sanjoaquindelta,5.0,1.0,1.0,74.0,54.0,37.0,25.0,32.0,88.0,3.0,0.833,3.041,227.0,1.162,6.568,0.365,3.892,10.703,2.75,4.5
2023,2022-23,San Mateo,sanmateo,0.0,0.0,3.0,11.0,8.0,5.0,1.0,7.0,13.0,0.0,,0.818,845.0,1.364,6.545,0.0,5.727,10.636,1.857,4.091
2023,2022-23,Santa Ana,santaana,1.0,3.0,0.0,50.999,55.0,41.0,31.0,32.0,52.0,3.0,0.25,5.471,126.0,1.706,9.706,0.529,5.647,9.177,1.625,7.235
2023,2022-23,Santa Barbara,santabarbara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Santa Rosa,santarosa,7.0,2.0,7.0,100.334,93.0,60.0,55.0,51.0,90.0,4.0,0.778,4.934,140.0,1.435,8.342,0.359,4.575,8.073,1.765,5.382
2023,2022-23,Sequoias,sequoias,2.0,3.0,5.0,52.999,72.0,45.0,36.0,26.0,45.0,2.0,0.4,6.113,113.0,1.849,12.227,0.34,4.415,7.642,1.731,7.642
2023,2022-23,Shasta,shasta,2.0,2.0,2.0,23.999000000000002,29.0,19.0,17.0,9.0,9.0,1.0,0.5,6.375,108.0,1.583,10.875,0.375,3.375,3.375,1.0,7.125
2023,2022-23,Sierra,sierra,0.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,0.0,0.0,6.0,115.0,1.333,9.0,0.0,3.0,12.0,4.0,6.0
2023,2022-23,Siskiyous,siskiyous,4.0,3.0,1.0,65.665,63.0,38.0,34.0,33.0,51.0,2.0,0.571,4.66,148.0,1.462,8.635,0.274,4.523,6.99,1.545,5.208
2023,2022-23,Skyline,skyline,4.0,0.0,0.0,32.667,28.0,10.0,7.0,12.0,32.0,3.0,1.0,1.929,359.0,1.224,7.714,0.827,3.306,8.816,2.667,2.755
2023,2022-23,Solano,solano,3.0,3.0,1.0,45.668,54.0,48.0,40.0,39.0,35.0,3.0,0.5,7.883,88.0,2.036,10.642,0.591,7.686,6.898,0.897,9.46
2023,2022-23,Southwestern,southwestern,0.0,4.0,0.0,19.665,25.0,23.0,20.0,17.0,13.0,1.0,0.0,9.153,76.0,2.136,11.442,0.458,7.78,5.95,0.765,10.526
2023,2022-23,Taft,taft,3.0,4.0,3.0,56.333,71.0,48.0,38.0,28.0,42.0,5.0,0.429,6.071,114.0,1.757,11.343,0.799,4.473,6.71,1.5,7.669
2023,2022-23,Ventura,ventura,0.0,1.0,3.0,14.332,22.0,17.0,12.0,12.0,21.0,4.0,0.0,7.536,92.0,2.372,13.815,2.512,7.536,13.187,1.75,10.675
2023,2022-23,Victor Valley,victorvalley,0.0,4.0,0.0,43.0,90.0,74.0,68.0,26.0,24.0,3.0,0.0,14.233,49.0,2.698,18.837,0.628,5.442,5.023,0.923,15.488
2023,2022-23,West Hills Coalinga,westhillscoalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,West LA,westla,1.0,5.0,0.0,31.0,48.0,46.0,37.0,21.0,23.0,2.0,0.167,10.742,64.0,2.226,13.935,0.581,6.097,6.677,1.095,13.355
2023,2022-23,West Valley,westvalley,2.0,5.0,1.0,53.0,60.0,47.0,32.0,28.0,46.0,5.0,0.286,5.434,127.0,1.66,10.189,0.849,4.755,7.811,1.643,7.981
2023,2022-23,Yuba,yuba,0.0,2.0,0.0,7.0,16.0,21.0,19.0,8.0,2.0,2.0,0.0,24.429,28.0,3.429,20.571,2.571,10.286,2.571,0.25,27.0
