season,cccaa_season,team,team_id,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2015,2014-15,Allan Hancock,allanhancock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2015,2014-15,American River,americanriver,4.0,9.0,1.0,123.001,164.0,108.0,89.0,62.0,52.0,1.0,0.308,6.512,67.0,1.837,12.0,0.073,4.537,3.805,0.839,7.902
2015,2014-15,Antelope Valley,antelopevalley,5.0,7.0,2.0,101.666,118.0,65.0,51.0,43.0,72.0,4.0,0.417,4.515,97.0,1.584,10.446,0.354,3.807,6.374,1.674,5.754
2015,2014-15,Bakersfield,bakersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2015,2014-15,Barstow,barstow,4.0,8.0,0.0,99.0,124.0,65.0,47.0,43.0,63.0,4.0,0.333,4.273,103.0,1.687,11.273,0.364,3.909,5.727,1.465,5.909
2015,2014-15,Butte,butte,1.0,0.0,0.0,3.667,1.0,2.0,2.0,3.0,4.0,0.0,1.0,4.909,89.0,1.091,2.454,0.0,7.363,9.817,1.333,4.909
2015,2014-15,Cabrillo,cabrillo,7.0,3.0,1.0,96.667,63.0,26.0,20.0,31.0,55.0,1.0,0.7,1.862,236.0,0.972,5.865,0.093,2.886,5.121,1.774,2.421
2015,2014-15,Canada,canada,3.0,3.0,2.0,52.665,49.0,26.0,22.0,27.0,13.0,4.0,0.5,3.76,117.0,1.443,8.374,0.684,4.614,2.222,0.481,4.443
2015,2014-15,Canyons,canyons,1.0,5.0,4.0,49.999,63.0,36.0,21.0,22.0,38.0,1.0,0.167,3.78,116.0,1.7,11.34,0.18,3.96,6.84,1.727,6.48
2015,2014-15,Cerritos,cerritos,6.0,2.0,2.0,79.334,59.0,19.0,15.0,30.0,76.0,2.0,0.75,1.702,258.0,1.122,6.693,0.227,3.403,8.622,2.533,2.155
2015,2014-15,Cerro Coso,cerrocoso,4.0,18.0,2.0,153.334,232.0,165.0,127.0,78.0,88.0,3.0,0.182,7.454,59.0,2.022,13.617,0.176,4.578,5.165,1.128,9.685
