season,cccaa_season,team,team_id,player_id,player_name,App,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2016,2015-16,Allan Hancock,allanhancock,billdalyu8po,Bill Daly,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,carvertippittemw0,Carver Tippitt,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,christaitaguelmvc,Chris Taitague,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,colbybarrickpion,Colby Barrick,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,coltonstudebakerdrfv,Colton Studebaker,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,danielcurielkw61,Daniel Curiel,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,hunterchristensen4ul9,Hunter Christensen,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,isaiahramos7gwi,Isaiah Ramos,19,12.0,9.0,0.0,0.0,73.999,91.0,36.0,25.0,25.0,34.0,2.0,1.0,3.04058162948148,1.5675887511993407,11.067717131312586,0.2432465303585184,3.04058162948148,4.135191016094812,1.36,4.3784375464533305
2016,2015-16,Allan Hancock,allanhancock,jacobtonasciayq3z,Jacob Tonascia,36,0.0,0.0,0.0,2.0,9.0,7.0,4.0,4.0,7.0,10.0,0.0,,4.0,1.5555555555555556,7.0,0.0,7.0,10.0,1.4285714285714286,4.0
2016,2015-16,Allan Hancock,allanhancock,jamesfitzmauriceff3d,James Fitzmaurice,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,jeremyterronesuns6,Jeremy Terrones,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,justindaraban8c6o,Justin Daraban,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,kylevontillow7rry,Kyle Von tillow,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,luisgarciaimdi,Luis Garcia,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,ryanpienados66v,Ryan Pienado,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,timmahoneyp6mj,Tim Mahoney,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,walkerarmstrong3930,Walker Armstrong,21,10.0,3.0,7.0,0.0,71.332,73.0,44.0,27.0,17.0,48.0,3.0,0.3,3.4066057309482423,1.2617058262771268,9.210452531823025,0.378511747883138,2.1448999046711155,6.056187966130208,2.823529411764706,5.551505635619359
2016,2015-16,Allan Hancock,allanhancock,wyattcollz1hn,Wyatt Coll,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016,2015-16,Allan Hancock,allanhancock,wyattstandleyf4pl,Wyatt Standley,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
