season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,2012-13,Allan Hancock,allanhancock,Apr 11,home,Santa Barbara,L,7,6,20130411_01br,11,39,30,6.0,6.0,3.0,0.0,0.0,6.0,0.0,1.0,4.0,8.0,9,4.0,0.0,1.0,3,0.0,6.0,9.0,0.667,0.2,0.359,0.4,0.759,101.0,0.261,0.429,0.0,0.205,0.103,0.102,0.5
2013,2012-13,Allan Hancock,allanhancock,Apr 13,home,Santa Barbara,L,9,4,20130413_2jy6,14,36,32,4.0,8.0,3.0,0.0,0.0,4.0,0.0,1.0,2.0,10.0,11,1.0,0.0,1.0,3,2.0,7.0,7.0,1.0,0.25,0.306,0.438,0.744,99.0,0.348,0.364,0.0,0.278,0.056,0.222,0.2
2013,2012-13,Allan Hancock,allanhancock,Apr 16,home,Oxnard,W,5,4,20130416_98r3,10,44,37,5.0,9.0,2.0,0.0,0.0,2.0,6.0,2.0,7.0,7.0,11,0.0,0.0,0.0,2,0.0,12.0,7.0,1.714,0.243,0.364,0.351,0.715,95.0,0.3,0.312,0.0,0.159,0.159,0.0,1.0
2013,2012-13,Allan Hancock,allanhancock,Apr 18,home,Oxnard,W,6,4,20130418_yrto,11,33,23,6.0,4.0,1.0,0.0,0.0,6.0,3.0,1.0,7.0,8.0,5,0.0,2.0,1.0,1,0.0,5.0,7.0,0.714,0.174,0.333,0.261,0.594,79.0,0.25,0.545,0.0,0.242,0.212,0.03,0.875
2013,2012-13,Allan Hancock,allanhancock,Apr 20,home,LA Pierce,W,6,5,20130420_czcm,15,42,33,6.0,10.0,2.0,0.0,0.0,6.0,1.0,1.0,4.0,8.0,12,2.0,3.0,0.0,2,0.0,7.0,10.0,0.7,0.303,0.381,0.424,0.805,107.0,0.4,0.375,0.0,0.19,0.095,0.095,0.5
2013,2012-13,Allan Hancock,allanhancock,Apr 23,home,LA Pierce,L,12,7,20130423_3yox,13,44,36,7.0,9.0,0.0,1.0,0.0,7.0,3.0,0.0,5.0,5.0,11,2.0,0.0,1.0,1,0.0,9.0,13.0,0.692,0.25,0.364,0.333,0.697,93.0,0.281,0.438,0.0,0.114,0.114,0.0,1.0
2013,2012-13,Allan Hancock,allanhancock,Apr 25,home,Ventura,W,4,1,20130425_nrl1,11,33,28,4.0,6.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,5.0,8,0.0,2.0,0.0,2,0.0,8.0,11.0,0.727,0.214,0.273,0.357,0.63,84.0,0.261,0.444,0.0,0.152,0.091,0.061,0.6
2013,2012-13,Allan Hancock,allanhancock,Apr 26,home,Ventura,W,11,10,20130426_i14y,9,60,55,11.0,19.0,1.0,1.0,1.0,9.0,5.0,1.0,3.0,9.0,25,0.0,1.0,1.0,3,0.0,14.0,14.0,1.0,0.345,0.367,0.509,0.876,117.0,0.391,0.476,0.017,0.15,0.05,0.1,0.333
2013,2012-13,Allan Hancock,allanhancock,Apr 4,home,Ventura,L,13,6,20130404_st70,13,41,36,6.0,12.0,3.0,3.0,1.0,6.0,1.0,0.0,4.0,8.0,24,0.0,0.0,1.0,7,1.0,6.0,12.0,0.5,0.333,0.39,0.861,1.251,167.0,0.393,0.333,0.024,0.195,0.098,0.097,0.5
2013,2012-13,Allan Hancock,allanhancock,Apr 6,home,Cuesta,L,13,6,20130406_tm71,10,46,42,6.0,15.0,2.0,3.0,0.0,6.0,1.0,0.0,3.0,10.0,23,1.0,0.0,0.0,5,1.0,11.0,5.0,2.2,0.357,0.413,0.667,1.08,144.0,0.469,0.316,0.0,0.217,0.065,0.152,0.3
2013,2012-13,Allan Hancock,allanhancock,Apr 9,home,Cuesta,L,4,1,20130409_gcs0,9,33,31,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,10.0,3,1.0,0.0,0.0,0,0.0,10.0,8.0,1.25,0.097,0.152,0.097,0.249,33.0,0.143,0.2,0.0,0.303,0.03,0.273,0.1
2013,2012-13,Allan Hancock,allanhancock,Feb 1,home,Sequoias,L,1,0,20130201_py51,11,31,30,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,0.0,1.0,0.0,0,0.0,11.0,9.0,1.222,0.067,0.065,0.067,0.132,18.0,0.087,0.0,0.0,0.226,0.0,0.226,0.0
2013,2012-13,Allan Hancock,allanhancock,Feb 14,home,Bakersfield,L,8,4,20130214_7n07,10,39,35,4.0,8.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,9.0,12,0.0,1.0,0.0,2,0.0,8.0,10.0,0.8,0.229,0.282,0.4,0.682,91.0,0.28,0.3,0.026,0.231,0.077,0.154,0.333
2013,2012-13,Allan Hancock,allanhancock,Feb 15,home,Imperial Valley,W,8,4,20130215_8n5w,11,44,32,8.0,9.0,2.0,0.0,0.0,8.0,3.0,0.0,8.0,8.0,11,2.0,1.0,1.0,2,0.0,7.0,8.0,0.875,0.281,0.432,0.406,0.838,112.0,0.36,0.421,0.0,0.182,0.182,0.0,1.0
2013,2012-13,Allan Hancock,allanhancock,Feb 16,home,West Hills Coalinga,W,7,0,20130216_ftrb,10,44,36,7.0,10.0,3.0,2.0,0.0,6.0,3.0,0.0,7.0,9.0,17,1.0,0.0,0.0,5,2.0,6.0,10.0,0.6,0.278,0.409,0.611,1.02,136.0,0.37,0.389,0.0,0.205,0.159,0.046,0.778
2013,2012-13,Allan Hancock,allanhancock,Feb 2,home,Bakersfield,L,6,3,20130202_n403,9,41,32,3.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,8.0,6,3.0,2.0,0.0,0,0.0,15.0,4.0,3.75,0.188,0.317,0.188,0.505,67.0,0.25,0.231,0.0,0.195,0.098,0.097,0.5
2013,2012-13,Allan Hancock,allanhancock,Feb 21,home,Cypress,L,6,3,20130221_0a3u,13,37,33,3.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,12.0,8,1.0,1.0,0.0,0,1.0,8.0,5.0,1.6,0.242,0.297,0.242,0.539,72.0,0.381,0.273,0.0,0.324,0.054,0.27,0.167
2013,2012-13,Allan Hancock,allanhancock,Feb 22,home,Fullerton,W,4,3,20130222_sqr3,11,46,35,4.0,10.0,3.0,0.0,0.0,3.0,1.0,0.0,7.0,10.0,13,2.0,1.0,1.0,3,0.0,5.0,12.0,0.417,0.286,0.413,0.457,0.87,116.0,0.385,0.211,0.0,0.217,0.152,0.065,0.7
2013,2012-13,Allan Hancock,allanhancock,Feb 23,home,Cypress,L,7,3,20130223_vm9w,13,40,37,3.0,11.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,15,2.0,0.0,0.0,4,1.0,12.0,5.0,2.4,0.297,0.35,0.514,0.864,115.0,0.393,0.214,0.0,0.225,0.025,0.2,0.111
2013,2012-13,Allan Hancock,allanhancock,Feb 26,home,Canyons,L,4,0,20130226_oob9,9,36,33,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9,0.0,1.0,0.0,2,0.0,13.0,13.0,1.0,0.212,0.25,0.333,0.583,78.0,0.219,0.0,0.0,0.028,0.056,-0.028,2.0
2013,2012-13,Allan Hancock,allanhancock,Feb 28,home,Canyons,W,7,5,20130228_d430,10,43,34,7.0,11.0,2.0,0.0,0.0,7.0,2.0,1.0,5.0,8.0,13,3.0,1.0,0.0,2,1.0,9.0,6.0,1.5,0.324,0.442,0.441,0.883,118.0,0.423,0.368,0.0,0.186,0.116,0.07,0.625
2013,2012-13,Allan Hancock,allanhancock,Feb 3,home,Porterville,L,4,3,20130203_n8su,10,36,35,3.0,11.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,14,0.0,1.0,0.0,3,1.0,9.0,10.0,0.9,0.314,0.306,0.486,0.792,106.0,0.367,0.273,0.0,0.139,0.0,0.139,0.0
2013,2012-13,Allan Hancock,allanhancock,Feb 7,home,Porterville,W,11,3,20130207_8xyh,13,46,35,11.0,12.0,3.0,1.0,0.0,10.0,3.0,0.0,9.0,4.0,17,1.0,0.0,1.0,4,0.0,8.0,12.0,0.667,0.343,0.478,0.6,1.078,144.0,0.375,0.5,0.0,0.087,0.196,-0.109,2.25
2013,2012-13,Allan Hancock,allanhancock,Feb 8,home,Canada,W,13,12,20130208_j15d,13,49,39,13.0,16.0,5.0,1.0,0.0,13.0,2.0,0.0,5.0,5.0,23,2.0,2.0,1.0,6,1.0,7.0,13.0,0.538,0.41,0.469,0.744,1.213,162.0,0.457,0.565,0.0,0.102,0.102,0.0,1.0
2013,2012-13,Allan Hancock,allanhancock,Mar 12,home,Santa Barbara,L,6,5,20130312_6dii,9,37,34,5.0,9.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,11.0,11,0.0,2.0,0.0,1,0.0,9.0,6.0,1.5,0.265,0.27,0.353,0.623,83.0,0.391,0.5,0.0,0.297,0.027,0.27,0.091
2013,2012-13,Allan Hancock,allanhancock,Mar 14,home,Oxnard,W,2,0,20130314_jcpn,11,33,28,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,6,0.0,3.0,0.0,0,0.0,15.0,7.0,2.143,0.214,0.242,0.214,0.456,61.0,0.24,0.25,0.0,0.091,0.061,0.03,0.667
2013,2012-13,Allan Hancock,allanhancock,Mar 16,home,Oxnard,L,8,6,20130316_djrr,12,47,40,6.0,14.0,2.0,1.0,0.0,5.0,4.0,1.0,5.0,11.0,18,2.0,0.0,0.0,3,0.0,6.0,8.0,0.75,0.35,0.447,0.525,0.972,130.0,0.483,0.286,0.0,0.234,0.106,0.128,0.455
2013,2012-13,Allan Hancock,allanhancock,Mar 19,home,LA Pierce,W,4,1,20130319_x9vv,9,34,29,4.0,8.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,4.0,9,1.0,1.0,0.0,1,2.0,9.0,9.0,1.0,0.276,0.353,0.345,0.698,93.0,0.32,0.333,0.0,0.118,0.088,0.03,0.75
2013,2012-13,Allan Hancock,allanhancock,Mar 21,home,LA Pierce,L,2,1,20130321_qq08,10,39,35,1.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,10,0.0,0.0,0.0,1,1.0,9.0,12.0,0.75,0.257,0.333,0.314,0.647,86.0,0.281,0.077,0.0,0.077,0.103,-0.026,1.333
2013,2012-13,Allan Hancock,allanhancock,Mar 22,home,Ventura,W,2,0,20130322_08aa,9,32,26,2.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,10,0.0,2.0,1.0,1,1.0,9.0,10.0,0.9,0.308,0.344,0.423,0.767,102.0,0.308,0.182,0.0,0.031,0.094,-0.063,3.0
2013,2012-13,Allan Hancock,allanhancock,Mar 26,home,East Los Angeles,L,6,2,20130326_so2w,9,34,33,2.0,6.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0,10,0.0,0.0,0.0,3,0.0,6.0,15.0,0.4,0.182,0.206,0.394,0.6,80.0,0.222,0.286,0.0,0.176,0.029,0.147,0.167
2013,2012-13,Allan Hancock,allanhancock,Mar 27,home,Cerritos,W,5,4,20130327_hzmr,12,39,31,5.0,8.0,2.0,0.0,0.0,4.0,3.0,1.0,7.0,6.0,10,1.0,0.0,0.0,2,0.0,10.0,7.0,1.429,0.258,0.41,0.387,0.797,106.0,0.32,0.312,0.0,0.154,0.179,-0.025,1.167
2013,2012-13,Allan Hancock,allanhancock,Mar 28,home,Fresno City,W,8,7,20130328_ojw3,10,44,33,8.0,12.0,2.0,0.0,0.0,7.0,2.0,0.0,7.0,7.0,14,1.0,2.0,1.0,2,0.0,10.0,7.0,1.429,0.364,0.455,0.485,0.94,125.0,0.444,0.4,0.0,0.159,0.159,0.0,1.0
2013,2012-13,Allan Hancock,allanhancock,Mar 5,home,Cuesta,W,1,0,20130305_g2gb,9,29,28,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9,0.0,0.0,0.0,2,0.0,7.0,7.0,1.0,0.25,0.276,0.393,0.669,89.0,0.318,0.125,0.0,0.207,0.034,0.173,0.167
2013,2012-13,Allan Hancock,allanhancock,Mar 7,home,Cuesta,W,7,0,20130307_dien,10,42,34,7.0,9.0,1.0,0.0,1.0,7.0,3.0,1.0,7.0,9.0,13,1.0,0.0,0.0,2,1.0,7.0,9.0,0.778,0.265,0.405,0.441,0.846,113.0,0.333,0.375,0.024,0.214,0.167,0.047,0.778
2013,2012-13,Allan Hancock,allanhancock,Mar 9,home,Santa Barbara,L,5,2,20130309_v5e8,12,34,31,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,3,2.0,0.0,0.0,0,0.0,4.0,10.0,0.4,0.097,0.176,0.097,0.273,36.0,0.158,0.333,0.0,0.353,0.029,0.324,0.083
2013,2012-13,American River,americanriver,Apr 11,home,Diablo Valley,L,5,2,20130411_svn4,10,36,30,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,6,0.0,2.0,0.0,1,1.0,12.0,7.0,1.714,0.167,0.25,0.233,0.483,64.0,0.227,0.222,0.0,0.222,0.111,0.111,0.5
2013,2012-13,American River,americanriver,Apr 13,home,Diablo Valley,W,11,6,20130413_x0yi,10,45,34,11.0,13.0,1.0,0.0,0.0,9.0,1.0,0.0,7.0,1.0,14,2.0,1.0,1.0,1,2.0,12.0,9.0,1.333,0.382,0.489,0.441,0.93,124.0,0.382,0.5,0.0,0.022,0.156,-0.134,7.0
2013,2012-13,American River,americanriver,Apr 16,home,Sierra,W,9,4,20130416_1tyg,9,43,41,9.0,14.0,4.0,0.0,1.0,8.0,2.0,0.0,1.0,6.0,21,1.0,0.0,0.0,5,2.0,16.0,3.0,5.333,0.341,0.372,0.634,1.006,134.0,0.382,0.533,0.023,0.14,0.023,0.117,0.167
2013,2012-13,American River,americanriver,Apr 18,home,Sierra,L,3,1,20130418_m9ei,13,32,29,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,9.0,5,2.0,0.0,0.0,1,0.0,10.0,5.0,2.0,0.138,0.219,0.207,0.426,57.0,0.2,0.143,0.0,0.281,0.031,0.25,0.111
2013,2012-13,American River,americanriver,Apr 2,home,Sacramento City,W,9,5,20130402_bcd2,12,40,34,9.0,11.0,2.0,0.0,0.0,7.0,2.0,0.0,4.0,6.0,13,0.0,1.0,1.0,2,0.0,8.0,10.0,0.8,0.324,0.375,0.441,0.816,109.0,0.379,0.6,0.0,0.15,0.1,0.05,0.667
2013,2012-13,American River,americanriver,Apr 20,home,Sierra,L,19,7,20130420_6ams,17,43,36,7.0,12.0,3.0,0.0,0.0,7.0,0.0,0.0,3.0,7.0,15,1.0,1.0,2.0,3,1.0,8.0,11.0,0.727,0.333,0.372,0.5,0.872,116.0,0.387,0.438,0.0,0.163,0.07,0.093,0.429
2013,2012-13,American River,americanriver,Apr 23,home,Santa Rosa,L,17,8,20130423_px5d,13,39,32,8.0,11.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,13,4.0,2.0,1.0,2,1.0,15.0,8.0,1.875,0.344,0.385,0.469,0.854,114.0,0.344,0.533,0.0,0.026,0.0,0.026,0.0
2013,2012-13,American River,americanriver,Apr 25,home,Cosumnes River,L,8,7,20130425_aa79,13,46,41,7.0,16.0,2.0,0.0,0.0,6.0,2.0,1.0,3.0,4.0,18,2.0,0.0,0.0,2,0.0,12.0,7.0,1.714,0.39,0.457,0.488,0.945,126.0,0.432,0.333,0.0,0.087,0.065,0.022,0.75
2013,2012-13,American River,americanriver,Apr 26,home,Diablo Valley,L,8,3,20130426_gwqq,16,36,31,3.0,8.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,5.0,11,3.0,0.0,1.0,2,3.0,6.0,12.0,0.5,0.258,0.333,0.419,0.752,100.0,0.296,0.25,0.0,0.139,0.028,0.111,0.2
2013,2012-13,American River,americanriver,Apr 5,home,Sacramento City,L,2,1,20130405_rqak,14,42,35,1.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,3.0,7,1.0,1.0,0.0,1,1.0,15.0,10.0,1.5,0.171,0.286,0.229,0.515,69.0,0.188,0.083,0.0,0.071,0.119,-0.048,1.667
2013,2012-13,American River,americanriver,Apr 6,home,Sacramento City,L,7,1,20130406_aaf7,15,33,30,1.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,7,0.0,0.0,0.0,0,4.0,13.0,6.0,2.167,0.233,0.303,0.233,0.536,71.0,0.269,0.1,0.0,0.121,0.091,0.03,0.75
