season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,2015-16,Allan Hancock,allanhancock,Feb 20,home,Ventura,L,2,1,20160220_bo7d,15,35,31,1.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,8,0.0,0.0,0.0,3,0.0,8.0,11.0,0.727,0.161,0.257,0.355,0.612,77.0,0.208,0.111,0.0,0.2,0.114,0.086,0.571
2016,2015-16,Allan Hancock,allanhancock,Feb 23,home,Ventura,W,1,0,20160223_fk5s,11,29,25,1.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,9.0,5,1.0,0.0,0.0,2,0.0,2.0,11.0,0.182,0.12,0.241,0.28,0.521,65.0,0.188,0.143,0.0,0.31,0.103,0.207,0.333
2016,2015-16,Allan Hancock,allanhancock,Feb 25,home,Cuesta,L,3,1,20160225_iaqr,14,36,32,1.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,9.0,12,0.0,0.0,1.0,4,1.0,8.0,8.0,1.0,0.219,0.278,0.5,0.778,98.0,0.292,0.1,0.0,0.25,0.083,0.167,0.333
2016,2015-16,Allan Hancock,allanhancock,Feb 27,home,Cuesta,L,10,7,20160227_ysdi,11,39,36,7.0,6.0,3.0,1.0,0.0,7.0,0.0,0.0,2.0,12.0,11,1.0,0.0,0.0,4,1.0,12.0,2.0,6.0,0.167,0.231,0.417,0.648,81.0,0.25,0.778,0.0,0.308,0.051,0.257,0.167
2016,2015-16,Allan Hancock,allanhancock,Feb 5,home,West Hills Coalinga,W,10,6,20160205_hh5j,11,48,39,10.0,14.0,3.0,0.0,0.0,10.0,5.0,1.0,6.0,3.0,17,1.0,2.0,0.0,3,0.0,10.0,13.0,0.769,0.359,0.438,0.513,0.951,119.0,0.389,0.476,0.0,0.062,0.125,-0.063,2.0
2016,2015-16,Allan Hancock,allanhancock,Feb 9,home,Bakersfield,L,5,2,20160209_2q74,14,39,35,2.0,10.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,8.0,12,1.0,0.0,0.0,2,1.0,8.0,9.0,0.889,0.286,0.359,0.4,0.759,95.0,0.37,0.143,0.0,0.205,0.077,0.128,0.375
2016,2015-16,Allan Hancock,allanhancock,Jan 30,home,Bakersfield,W,8,5,20160130_3ch3,15,47,35,8.0,10.0,2.0,0.0,0.0,8.0,2.0,1.0,8.0,6.0,12,1.0,3.0,0.0,2,0.0,10.0,9.0,1.111,0.286,0.404,0.4,0.804,101.0,0.345,0.421,0.0,0.128,0.17,-0.042,1.333
2016,2015-16,Allan Hancock,allanhancock,Mar 1,home,LA Pierce,W,6,3,20160301_syd2,10,40,37,6.0,11.0,6.0,0.0,0.0,5.0,0.0,0.0,2.0,8.0,17,1.0,0.0,0.0,6,0.0,3.0,14.0,0.214,0.297,0.35,0.622,0.972,122.0,0.379,0.429,0.0,0.2,0.05,0.15,0.25
2016,2015-16,Allan Hancock,allanhancock,Mar 12,home,Porterville,W,4,0,20160312_kji2,10,34,29,4.0,7.0,1.0,0.0,0.0,4.0,4.0,0.0,3.0,5.0,8,1.0,0.0,1.0,1,1.0,7.0,9.0,0.778,0.241,0.324,0.31,0.634,80.0,0.28,0.364,0.0,0.147,0.088,0.059,0.6
2016,2015-16,Allan Hancock,allanhancock,Mar 12,home,Porterville,W,13,3,20160312_8kt8,15,47,38,13.0,15.0,2.0,0.0,1.0,12.0,0.0,0.0,3.0,9.0,20,4.0,1.0,1.0,3,0.0,6.0,8.0,0.75,0.395,0.468,0.605,1.073,135.0,0.483,0.571,0.021,0.191,0.064,0.127,0.333
2016,2015-16,Allan Hancock,allanhancock,Mar 15,home,Moorpark,W,5,1,20160315_bqcp,11,36,28,5.0,10.0,1.0,1.0,0.0,5.0,1.0,1.0,2.0,2.0,13,0.0,6.0,0.0,2,0.0,12.0,9.0,1.333,0.357,0.333,0.536,0.869,109.0,0.385,0.417,0.0,0.056,0.056,0.0,1.0
2016,2015-16,Allan Hancock,allanhancock,Mar 17,home,Moorpark,L,11,7,20160317_vg35,10,43,41,7.0,17.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,6.0,24,0.0,2.0,0.0,5,1.0,9.0,10.0,0.9,0.415,0.395,0.707,1.102,138.0,0.471,0.375,0.023,0.14,0.0,0.14,0.0
