season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2017,2016-17,Allan Hancock,allanhancock,Apr 1,home,Santa Barbara,L,9,0,20170401_ifc8,16,33,31,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,4,1.0,0.0,0.0,0,0.0,8.0,5.0,1.6,0.129,0.182,0.129,0.311,39.0,0.235,0.0,0.0,0.424,0.03,0.394,0.071
2017,2016-17,Allan Hancock,allanhancock,Apr 11,home,East Los Angeles,L,11,10,20170411_to6k,13,44,35,10.0,12.0,4.0,2.0,0.0,9.0,2.0,1.0,6.0,6.0,20,3.0,0.0,0.0,6,2.0,5.0,11.0,0.455,0.343,0.477,0.743,1.22,152.0,0.414,0.476,0.0,0.136,0.136,0.0,1.0
2017,2016-17,Allan Hancock,allanhancock,Apr 12,home,Fresno City,W,14,7,20170412_qn3x,10,48,39,14.0,18.0,4.0,1.0,0.0,12.0,2.0,1.0,8.0,7.0,24,0.0,1.0,0.0,5,1.0,9.0,6.0,1.5,0.462,0.542,0.744,1.286,160.0,0.562,0.538,0.0,0.146,0.167,-0.021,1.143
2017,2016-17,Allan Hancock,allanhancock,Apr 13,home,Cerritos,L,8,1,20170413_zwet,14,35,32,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,7.0,4,0.0,0.0,0.0,1,0.0,11.0,10.0,1.1,0.094,0.171,0.156,0.327,41.0,0.12,0.167,0.0,0.2,0.086,0.114,0.429
2017,2016-17,Allan Hancock,allanhancock,Apr 18,home,Moorpark,W,8,3,20170418_ynq2,11,43,38,8.0,9.0,2.0,0.0,1.0,7.0,2.0,1.0,3.0,8.0,14,1.0,1.0,0.0,3,0.0,11.0,7.0,1.571,0.237,0.302,0.447,0.749,93.0,0.276,0.583,0.023,0.186,0.07,0.116,0.375
2017,2016-17,Allan Hancock,allanhancock,Apr 20,home,Ventura,L,5,4,20170420_mgjl,10,41,38,4.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,8.0,15,0.0,1.0,0.0,1,0.0,10.0,8.0,1.25,0.342,0.366,0.421,0.787,98.0,0.433,0.267,0.0,0.195,0.049,0.146,0.25
2017,2016-17,Allan Hancock,allanhancock,Apr 21,home,Moorpark,W,4,3,20170421_bc9l,13,44,36,4.0,13.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,6.0,17,0.0,4.0,0.0,3,1.0,10.0,10.0,1.0,0.361,0.386,0.556,0.942,117.0,0.433,0.235,0.0,0.136,0.091,0.045,0.667
2017,2016-17,Allan Hancock,allanhancock,Apr 22,home,Ventura,W,7,6,20170422_y4g2,11,42,42,7.0,17.0,3.0,0.0,2.0,7.0,2.0,0.0,0.0,6.0,26,0.0,0.0,0.0,5,2.0,13.0,6.0,2.167,0.405,0.405,0.738,1.143,142.0,0.441,0.333,0.048,0.143,0.0,0.143,0.0
2017,2016-17,Allan Hancock,allanhancock,Apr 25,home,Cuesta,L,7,4,20170425_mz0c,11,40,34,4.0,7.0,2.0,0.0,1.0,3.0,1.0,0.0,3.0,9.0,12,2.0,1.0,0.0,3,0.0,5.0,13.0,0.385,0.206,0.3,0.441,0.741,92.0,0.25,0.273,0.025,0.225,0.075,0.15,0.333
2017,2016-17,Allan Hancock,allanhancock,Apr 27,home,Cuesta,W,4,3,20170427_f28b,11,39,34,4.0,8.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,11.0,10,3.0,0.0,0.0,2,2.0,12.0,3.0,4.0,0.235,0.333,0.353,0.686,85.0,0.348,0.308,0.0,0.282,0.051,0.231,0.182
