season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2017,2016-17,Allan Hancock,allanhancock,15,12,8,3,0.87,162.0,91.0,71.0,0.78,63.0,127.0
2017,2016-17,American River,americanriver,1,1,2,0,1.0,13.0,10.0,10.0,1.0,11.0,8.0
2017,2016-17,Antelope Valley,antelopevalley,20,3,11,2,0.875,241.0,167.0,125.0,0.749,65.0,81.0
2017,2016-17,Bakersfield,bakersfield,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2017,2016-17,Barstow,barstow,0,1,3,0,1.0,34.0,35.0,28.0,0.8,17.0,9.0
2017,2016-17,Butte,butte,0,0,0,0,,1.0,0.0,0.0,,0.0,0.0
2017,2016-17,Cabrillo,cabrillo,12,12,2,10,0.583,128.0,70.0,55.0,0.786,58.0,166.0
2017,2016-17,Canada,canada,18,2,15,2,0.895,174.0,129.0,114.0,0.884,60.0,88.0
2017,2016-17,Canyons,canyons,0,0,0,0,,0.0,0.0,0.0,,1.0,1.0
2017,2016-17,Cerritos,cerritos,19,5,10,2,0.882,135.0,73.0,58.0,0.795,65.0,93.0
2017,2016-17,Cerro Coso,cerrocoso,12,5,9,3,0.824,152.0,96.0,75.0,0.781,36.0,63.0
2017,2016-17,Chabot,chabot,0,0,0,0,,0.0,2.0,0.0,0.0,2.0,0.0
2017,2016-17,Chaffey,chaffey,9,3,3,0,1.0,44.0,23.0,18.0,0.783,16.0,24.0
2017,2016-17,Citrus,citrus,2,0,5,0,1.0,35.0,20.0,16.0,0.8,12.0,17.0
2017,2016-17,Contra Costa,contracosta,6,2,3,1,0.833,92.0,60.0,51.0,0.85,40.0,30.0
2017,2016-17,Cosumnes River,cosumnesriver,5,9,7,10,0.615,155.0,102.0,76.0,0.745,83.0,98.0
2017,2016-17,Cuesta,cuesta,2,2,5,5,0.583,27.0,24.0,17.0,0.708,16.0,39.0
2017,2016-17,Cypress,cypress,0,0,0,0,,2.0,2.0,1.0,0.5,1.0,4.0
2017,2016-17,De Anza,deanza,2,2,6,3,0.727,74.0,37.0,30.0,0.811,31.0,65.0
2017,2016-17,Desert,desert,14,7,12,3,0.864,216.0,155.0,125.0,0.806,81.0,100.0
2017,2016-17,Diablo Valley,diablovalley,0,0,0,0,,24.0,25.0,20.0,0.8,28.0,13.0
2017,2016-17,EC-Compton Center,eccomptoncenter,4,4,1,0,1.0,45.0,26.0,21.0,0.808,17.0,14.0
2017,2016-17,East Los Angeles,eastlosangeles,19,2,11,1,0.929,135.0,78.0,60.0,0.769,50.0,96.0
2017,2016-17,El Camino,elcamino,15,12,3,10,0.6,166.0,84.0,72.0,0.857,59.0,107.0
2017,2016-17,Feather River,featherriver,13,6,3,1,0.9,63.0,41.0,35.0,0.854,34.0,59.0
2017,2016-17,Folsom Lake,folsomlake,21,10,10,4,0.833,216.0,150.0,121.0,0.807,83.0,116.0
2017,2016-17,Fresno City,fresno,4,4,0,2,0.667,50.0,21.0,21.0,1.0,31.0,61.0
2017,2016-17,Fullerton,fullerton,0,0,1,1,0.5,25.0,12.0,11.0,0.917,15.0,19.0
2017,2016-17,Gavilan,gavilan,11,1,13,1,0.933,154.0,119.0,91.0,0.765,55.0,56.0
2017,2016-17,Glendale,glendale,10,5,2,0,1.0,64.0,34.0,25.0,0.735,25.0,38.0
2017,2016-17,Golden West,goldenwest,0,2,1,0,1.0,35.0,21.0,15.0,0.714,19.0,26.0
2017,2016-17,Grossmont,grossmont,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
