season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2016,2015-16,Allan Hancock,allanhancock,22,12,7,2,0.905,171.0,84.0,56.0,0.667,49.0,92.0
2016,2015-16,American River,americanriver,3,0,1,0,1.0,14.0,7.0,3.0,0.429,10.0,6.0
2016,2015-16,Antelope Valley,antelopevalley,23,5,17,0,1.0,185.0,125.0,96.0,0.768,60.0,98.0
2016,2015-16,Bakersfield,bakersfield,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Barstow,barstow,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Butte,butte,0,0,0,0,,21.0,8.0,7.0,0.875,5.0,6.0
2016,2015-16,Cabrillo,cabrillo,2,4,2,6,0.5,51.0,29.0,26.0,0.897,25.0,58.0
2016,2015-16,Canada,canada,10,7,0,0,1.0,60.0,32.0,27.0,0.844,28.0,49.0
2016,2015-16,Canyons,canyons,0,0,0,0,,4.0,5.0,5.0,1.0,3.0,4.0
2016,2015-16,Cerritos,cerritos,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Cerro Coso,cerrocoso,2,0,2,0,1.0,24.0,17.0,15.0,0.882,15.0,9.0
2016,2015-16,Chabot,chabot,0,1,1,2,0.5,5.0,2.0,1.0,0.5,3.0,12.0
2016,2015-16,Chaffey,chaffey,0,1,0,0,1.0,2.0,1.0,0.0,0.0,1.0,6.0
2016,2015-16,Citrus,citrus,4,1,2,2,0.6,40.0,27.0,23.0,0.852,15.0,30.0
2016,2015-16,Contra Costa,contracosta,11,4,8,0,1.0,100.0,65.0,44.0,0.677,72.0,75.0
2016,2015-16,Cosumnes River,cosumnesriver,20,18,6,6,0.8,207.0,100.0,86.0,0.86,75.0,117.0
2016,2015-16,Cuesta,cuesta,1,0,0,0,,22.0,18.0,15.0,0.833,18.0,26.0
2016,2015-16,Cypress,cypress,6,10,3,3,0.812,111.0,53.0,41.0,0.774,20.0,78.0
2016,2015-16,De Anza,deanza,7,11,5,4,0.8,106.0,55.0,43.0,0.782,55.0,97.0
2016,2015-16,Desert,desert,10,4,5,0,1.0,103.0,60.0,48.0,0.8,45.0,28.0
2016,2015-16,Diablo Valley,diablovalley,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,East Los Angeles,eastlosangeles,22,12,8,2,0.909,146.0,62.0,34.0,0.548,48.0,135.0
2016,2015-16,El Camino,elcamino,13,10,5,3,0.833,111.0,54.0,37.0,0.685,29.0,73.0
2016,2015-16,El Camino-Compton Center,elcaminocomptoncenter,2,0,6,1,0.857,61.0,47.0,42.0,0.894,21.0,15.0
2016,2015-16,Feather River,featherriver,1,1,1,2,0.5,10.0,10.0,6.0,0.6,5.0,7.0
2016,2015-16,Folsom Lake,folsomlake,0,0,0,0,,6.0,7.0,2.0,0.286,3.0,2.0
2016,2015-16,Fresno City,fresno,2,3,1,0,1.0,22.0,15.0,11.0,0.733,13.0,19.0
2016,2015-16,Fullerton,fullerton,0,1,0,1,0.5,8.0,3.0,1.0,0.333,6.0,7.0
2016,2015-16,Gavilan,gavilan,14,7,4,1,0.917,101.0,62.0,46.0,0.742,30.0,46.0
2016,2015-16,Glendale,glendale,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Golden West,goldenwest,14,5,6,0,1.0,90.0,45.0,40.0,0.889,23.0,63.0
2016,2015-16,Grossmont,grossmont,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,Hartnell,hartnell,9,1,7,0,1.0,55.0,37.0,28.0,0.757,18.0,21.0
2016,2015-16,Imperial Valley,imperialvalley,35,4,32,0,1.0,500.0,364.0,282.0,0.775,118.0,133.0
2016,2015-16,Irvine Valley,irvinevalley,2,2,0,0,1.0,28.0,12.0,12.0,1.0,6.0,15.0
2016,2015-16,LA Harbor,laharbor,1,1,5,1,0.857,107.0,73.0,52.0,0.712,32.0,45.0
2016,2015-16,LA Mission,lamission,12,4,6,2,0.833,97.0,62.0,42.0,0.677,30.0,62.0
