season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2012,2011-12,Allan Hancock,allanhancock,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,12,2,7,0,1.0,91.0,63.0,50.0,0.794,38.0,44.0
2012,2011-12,Antelope Valley,antelopevalley,19,7,8,0,1.0,159.0,112.0,95.0,0.848,51.0,57.0
2012,2011-12,Bakersfield,bakersfield,13,7,2,0,1.0,69.0,34.0,21.0,0.618,39.0,71.0
2012,2011-12,Barstow,barstow,33,7,24,2,0.939,376.0,249.0,166.0,0.667,102.0,182.0
2012,2011-12,Butte,butte,7,5,2,2,0.778,76.0,37.0,23.0,0.622,17.0,46.0
2012,2011-12,Cabrillo,cabrillo,7,4,7,4,0.733,65.0,48.0,39.0,0.812,43.0,53.0
2012,2011-12,Canada,canada,3,0,2,1,0.667,29.0,19.0,18.0,0.947,10.0,10.0
2012,2011-12,Canyons,canyons,0,0,0,2,0.0,2.0,4.0,4.0,1.0,6.0,2.0
2012,2011-12,Cerritos,cerritos,8,1,7,0,1.0,75.0,39.0,26.0,0.667,20.0,44.0
2012,2011-12,Cerro Coso,cerrocoso,6,0,5,1,0.833,160.0,130.0,115.0,0.885,60.0,26.0
2012,2011-12,Chabot,chabot,20,7,7,0,1.0,104.0,52.0,32.0,0.615,50.0,75.0
2012,2011-12,Chaffey,chaffey,11,6,3,2,0.818,76.0,32.0,16.0,0.5,28.0,115.0
2012,2011-12,Citrus,citrus,0,0,0,0,,1.0,0.0,0.0,,1.0,0.0
2012,2011-12,Compton,compton,18,11,3,3,0.824,121.0,59.0,46.0,0.78,55.0,124.0
2012,2011-12,Contra Costa,contracosta,5,3,6,0,1.0,97.0,53.0,48.0,0.906,38.0,34.0
2012,2011-12,Cosumnes River,cosumnesriver,7,8,4,2,0.857,104.0,54.0,41.0,0.759,50.0,57.0
2012,2011-12,Cuesta,cuesta,11,8,5,2,0.867,108.0,63.0,46.0,0.73,35.0,59.0
2012,2011-12,Cypress,cypress,1,0,0,0,,5.0,3.0,1.0,0.333,2.0,6.0
2012,2011-12,De Anza,deanza,9,1,5,5,0.545,76.0,53.0,40.0,0.755,41.0,30.0
2012,2011-12,Desert,desert,8,5,3,0,1.0,77.0,54.0,45.0,0.833,20.0,47.0
2012,2011-12,Diablo Valley,diablovalley,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,East Los Angeles,eastlosangeles,16,14,9,3,0.885,139.0,62.0,49.0,0.79,36.0,85.0
