season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2023,2022-23,Desert,desert,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Diablo Valley,diablovalley,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,East Los Angeles,eastlosangeles,0,0,1,0,1.0,25.0,18.0,15.0,0.833,13.0,11.0
2023,2022-23,El Camino,elcamino,0,0,0,1,0.0,16.0,7.0,6.0,0.857,5.0,9.0
2023,2022-23,Feather River,featherriver,4,3,3,1,0.857,32.0,26.0,19.0,0.731,17.0,24.0
2023,2022-23,Folsom Lake,folsomlake,5,4,0,1,0.8,41.0,17.0,16.0,0.941,11.0,39.0
2023,2022-23,Fresno City,fresnocitycollege,0,0,0,0,,3.0,1.0,0.0,0.0,3.0,6.0
2023,2022-23,Fullerton,fullerton,0,0,0,0,,0.0,0.0,0.0,,1.0,2.0
2023,2022-23,Gavilan,gavilan,1,0,2,0,1.0,73.0,84.0,80.0,0.952,44.0,25.0
2023,2022-23,Glendale,glendale,0,2,0,0,1.0,10.0,5.0,5.0,1.0,2.0,7.0
2023,2022-23,Golden West,goldenwest,0,1,1,0,1.0,34.0,23.0,20.0,0.87,25.0,39.0
2023,2022-23,Grossmont,grossmont,0,0,0,0,,2.0,0.0,0.0,,0.0,1.0
2023,2022-23,Hartnell,hartnell,5,2,1,0,1.0,41.0,35.0,34.0,0.971,22.0,26.0
2023,2022-23,Imperial Valley,imperialvalley,20,3,16,0,1.0,218.0,214.0,166.0,0.776,119.0,96.0
2023,2022-23,Irvine Valley,irvinevalley,3,2,3,2,0.714,51.0,36.0,23.0,0.639,15.0,25.0
2023,2022-23,LA Harbor,laharbor,3,2,2,2,0.667,39.0,31.0,24.0,0.774,37.0,37.0
2023,2022-23,LA Mission,lamission,0,1,0,2,0.333,16.0,12.0,11.0,0.917,14.0,20.0
2023,2022-23,LA Pierce,lapierce,13,4,12,0,1.0,132.0,139.0,120.0,0.863,74.0,93.0
2023,2022-23,LA Valley,lavalley,0,0,1,1,0.5,3.0,2.0,2.0,1.0,3.0,5.0
2023,2022-23,Laney,laney,5,1,2,0,1.0,59.0,36.0,33.0,0.917,24.0,36.0
2023,2022-23,Lassen,lassen,2,1,4,0,1.0,52.0,26.0,26.0,1.0,13.0,18.0
2023,2022-23,Long Beach,longbeach,6,3,1,0,1.0,42.0,20.0,13.0,0.65,15.0,25.0
2023,2022-23,Los Medanos,losmedanos,9,6,2,1,0.889,64.0,36.0,29.0,0.806,36.0,82.0
2023,2022-23,Marin,marin,0,1,1,0,1.0,7.0,4.0,0.0,0.0,10.0,8.0
2023,2022-23,Mendocino,mendocino,2,1,2,1,0.75,22.0,16.0,13.0,0.812,10.0,8.0
2023,2022-23,Merced,merced,8,5,3,5,0.615,81.0,52.0,48.0,0.923,27.0,51.0
2023,2022-23,Mission,mission,6,1,2,0,1.0,34.0,18.0,17.0,0.944,8.0,24.0
2023,2022-23,Modesto,modesto,0,2,2,1,0.8,21.0,15.0,14.0,0.933,14.0,17.0
2023,2022-23,Monterey Peninsula,montereypeninsula,1,0,3,2,0.6,26.0,23.0,23.0,1.0,15.0,26.0
2023,2022-23,Moorpark,moorpark,0,3,1,2,0.667,46.0,37.0,30.0,0.811,16.0,32.0
2023,2022-23,Mt. San Antonio,mtsanantonio,9,2,2,0,1.0,36.0,16.0,11.0,0.688,8.0,55.0
2023,2022-23,Mt. San Jacinto,mtsanjacinto,2,2,0,1,0.667,18.0,7.0,4.0,0.571,6.0,12.0
2023,2022-23,Napa Valley,napavalley,11,2,10,0,1.0,138.0,121.0,109.0,0.901,70.0,56.0
2023,2022-23,Ohlone,ohlone,0,0,0,0,,7.0,4.0,4.0,1.0,10.0,5.0
2023,2022-23,Orange Coast,orangecoast,0,0,0,0,,0.0,0.0,0.0,,1.0,1.0
2023,2022-23,Oxnard,oxnard,13,3,9,0,1.0,133.0,112.0,89.0,0.795,39.0,42.0
2023,2022-23,Palomar,palomar,9,5,2,0,1.0,37.0,22.0,17.0,0.773,12.0,56.0
2023,2022-23,Pasadena City,pasadenacity,4,3,2,1,0.833,32.0,20.0,18.0,0.9,11.0,35.0
2023,2022-23,Porterville,porterville,5,2,3,0,1.0,63.0,60.0,55.0,0.917,41.0,43.0
2023,2022-23,Redwoods,redwoods,3,1,5,1,0.857,46.0,38.0,31.0,0.816,27.0,20.0
2023,2022-23,Reedley,reedley,6,3,0,0,1.0,29.0,21.0,18.0,0.857,25.0,45.0
2023,2022-23,Rio Hondo,riohondo,0,3,0,1,0.75,23.0,10.0,9.0,0.9,11.0,15.0
2023,2022-23,Riverside,riverside,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Sacramento City,sacramentocity,0,0,0,0,,1.0,1.0,1.0,1.0,0.0,1.0
2023,2022-23,Saddleback,saddleback,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,San Bernardino Valley,sanbernardinovalley,7,2,3,1,0.833,63.0,44.0,30.0,0.682,18.0,25.0
2023,2022-23,San Diego City,sandiegocity,0,0,0,0,,11.0,7.0,7.0,1.0,7.0,7.0
2023,2022-23,San Diego Mesa,sandiegomesa,15,3,8,1,0.917,95.0,70.0,55.0,0.786,49.0,85.0
2023,2022-23,San Francisco,sanfrancisco,2,1,3,0,1.0,35.0,24.0,18.0,0.75,15.0,34.0
2023,2022-23,San Joaquin Delta,sanjoaquindelta,5,5,1,1,0.857,54.0,37.0,25.0,0.676,32.0,88.0
2023,2022-23,San Mateo,sanmateo,0,0,0,3,0.0,8.0,5.0,1.0,0.2,7.0,13.0
2023,2022-23,Santa Ana,santaana,9,1,3,0,1.0,55.0,41.0,31.0,0.756,32.0,52.0
2023,2022-23,Santa Barbara,santabarbara,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,Santa Rosa,santarosa,9,7,2,7,0.562,93.0,60.0,55.0,0.917,51.0,90.0
2023,2022-23,Sequoias,sequoias,5,2,3,5,0.5,72.0,45.0,36.0,0.8,26.0,45.0
2023,2022-23,Shasta,shasta,5,2,2,2,0.667,29.0,19.0,17.0,0.895,9.0,9.0
2023,2022-23,Sierra,sierra,0,0,1,1,0.5,3.0,2.0,2.0,1.0,1.0,4.0
2023,2022-23,Siskiyous,siskiyous,10,4,3,1,0.875,63.0,38.0,34.0,0.895,33.0,51.0
2023,2022-23,Skyline,skyline,3,4,0,0,1.0,28.0,10.0,7.0,0.7,12.0,32.0
2023,2022-23,Solano,solano,6,3,3,1,0.857,54.0,48.0,40.0,0.833,39.0,35.0
2023,2022-23,Southwestern,southwestern,0,0,4,0,1.0,25.0,23.0,20.0,0.87,17.0,13.0
2023,2022-23,Taft,taft,6,3,4,3,0.7,71.0,48.0,38.0,0.792,28.0,42.0
2023,2022-23,Ventura,ventura,2,0,1,3,0.25,22.0,17.0,12.0,0.706,12.0,21.0
2023,2022-23,Victor Valley,victorvalley,6,0,4,0,1.0,90.0,74.0,68.0,0.919,26.0,24.0
2023,2022-23,West Hills Coalinga,westhillscoalinga,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2023,2022-23,West LA,westla,6,1,5,0,1.0,48.0,46.0,37.0,0.804,21.0,23.0
2023,2022-23,West Valley,westvalley,10,2,5,1,0.875,60.0,47.0,32.0,0.681,28.0,46.0
2023,2022-23,Yuba,yuba,2,0,2,0,1.0,16.0,21.0,19.0,0.905,8.0,2.0
