season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2020,2019-20,Allan Hancock,allanhancock,3,5,1,2,0.75,60.0,48.0,35.0,0.729,34.0,52.0
2020,2019-20,American River,americanriver,6,2,2,0,1.0,36.0,25.0,20.0,0.8,9.0,24.0
2020,2019-20,Antelope Valley,antelopevalley,3,2,2,2,0.667,37.0,18.0,12.0,0.667,17.0,15.0
2020,2019-20,Bakersfield,bakersfield,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2020,2019-20,Barstow,barstow,11,2,9,1,0.917,119.0,105.0,63.0,0.6,67.0,74.0
2020,2019-20,Butte,butte,12,9,7,1,0.941,127.0,58.0,44.0,0.759,26.0,113.0
2020,2019-20,Cabrillo,cabrillo,5,3,3,1,0.857,54.0,30.0,21.0,0.7,16.0,56.0
2020,2019-20,Canada,canada,0,0,1,0,1.0,10.0,9.0,5.0,0.556,3.0,1.0
2020,2019-20,Canyons,canyons,7,3,6,1,0.9,89.0,64.0,47.0,0.734,48.0,49.0
2020,2019-20,Cerritos,cerritos,8,5,3,0,1.0,46.0,31.0,25.0,0.806,26.0,53.0
2020,2019-20,Cerro Coso,cerrocoso,3,0,4,0,1.0,41.0,30.0,23.0,0.767,22.0,31.0
2020,2019-20,Chabot,chabot,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2020,2019-20,Chaffey,chaffey,0,1,0,2,0.333,13.0,9.0,9.0,1.0,5.0,12.0
2020,2019-20,Citrus,citrus,4,0,3,0,1.0,31.0,23.0,7.0,0.304,6.0,18.0
2020,2019-20,Compton,compton,8,2,8,0,1.0,101.0,101.0,69.0,0.683,57.0,53.0
2020,2019-20,Contra Costa,contracosta,2,1,2,0,1.0,33.0,36.0,22.0,0.611,30.0,13.0
2020,2019-20,Cosumnes River,cosumnesriver,0,1,0,0,1.0,14.0,5.0,5.0,1.0,5.0,7.0
2020,2019-20,Cuesta,cuesta,0,1,0,1,0.5,10.0,7.0,6.0,0.857,3.0,4.0
2020,2019-20,Cypress,cypress,0,0,0,0,,5.0,7.0,6.0,0.857,8.0,6.0
2020,2019-20,De Anza,deanza,4,1,5,0,1.0,71.0,69.0,64.0,0.928,41.0,30.0
2020,2019-20,Desert,desert,0,2,4,1,0.857,59.0,39.0,30.0,0.769,16.0,38.0
2020,2019-20,Diablo Valley,diablovalley,20,7,13,5,0.8,167.0,124.0,98.0,0.79,92.0,187.0
2020,2019-20,East Los Angeles,eastlosangeles,3,0,1,0,1.0,20.0,10.0,9.0,0.9,7.0,18.0
2020,2019-20,El Camino,elcamino,15,11,5,5,0.762,121.0,68.0,53.0,0.779,37.0,104.0
2020,2019-20,Feather River,featherriver,8,1,3,2,0.667,55.0,44.0,34.0,0.773,26.0,34.0
2020,2019-20,Folsom Lake,folsomlake,0,0,0,0,,2.0,4.0,1.0,0.25,4.0,3.0
2020,2019-20,Fresno City,fresno,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2020,2019-20,Fullerton,fullerton,3,1,2,0,1.0,23.0,15.0,12.0,0.8,9.0,17.0
2020,2019-20,Gavilan,gavilan,4,1,4,0,1.0,107.0,91.0,67.0,0.736,47.0,52.0
2020,2019-20,Glendale,glendale,6,2,1,1,0.75,19.0,16.0,13.0,0.812,22.0,41.0
2020,2019-20,Golden West,goldenwest,0,0,1,0,1.0,8.0,3.0,3.0,1.0,4.0,9.0
2020,2019-20,Grossmont,grossmont,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
